Trial,Agent,Matched_Partner,Stability,Efficiency
1,Seeker_A,Company_D,False,False
1,Seeker_B,Company_C,False,False
1,Seeker_C,Company_E,False,False
1,Seeker_D,Company_B,False,False
1,Seeker_E,Company_A,False,False
2,Seeker_A,Company_E,False,False
2,Seeker_B,Company_B,False,False
2,Seeker_C,Company_D,False,False
2,Seeker_D,Company_A,False,False
2,Seeker_E,Company_C,False,False
3,Seeker_A,Company_B,False,False
3,Seeker_B,Company_C,False,False
3,Seeker_C,Company_E,False,False
3,Seeker_D,Company_A,False,False
3,Seeker_E,Company_D,False,False
4,Seeker_A,Company_D,False,False
4,Seeker_B,Company_C,False,False
4,Seeker_C,Company_B,False,False
4,Seeker_D,Company_A,False,False
4,Seeker_E,Company_E,False,False
5,Seeker_A,Company_E,False,False
5,Seeker_B,Company_B,False,False
5,Seeker_C,Company_D,False,False
5,Seeker_D,Company_C,False,False
5,Seeker_E,Company_A,False,False
6,Seeker_A,Company_E,False,False
6,Seeker_B,Company_C,False,False
6,Seeker_C,Company_B,False,False
6,Seeker_D,Company_D,False,False
6,Seeker_E,Company_A,False,False
7,Seeker_A,Company_D,False,False
7,Seeker_B,Company_B,False,False
7,Seeker_C,Company_E,False,False
7,Seeker_D,Company_A,False,False
7,Seeker_E,Company_C,False,False
8,Seeker_A,Company_E,False,False
8,Seeker_B,Company_A,False,False
8,Seeker_C,Company_C,False,False
8,Seeker_D,Company_D,False,False
8,Seeker_E,Company_B,False,False
9,Seeker_A,Company_E,False,False
9,Seeker_B,Company_B,False,False
9,Seeker_C,Company_D,False,False
9,Seeker_D,Company_C,False,False
9,Seeker_E,Company_A,False,False
10,Seeker_A,Company_E,False,True
10,Seeker_B,Company_A,False,True
10,Seeker_C,Company_D,False,True
10,Seeker_D,Company_B,False,True
10,Seeker_E,Company_C,False,True
11,Seeker_A,Company_E,False,False
11,Seeker_B,Company_C,False,False
11,Seeker_C,Company_B,False,False
11,Seeker_D,Company_A,False,False
11,Seeker_E,Company_D,False,False
12,Seeker_A,Company_D,False,False
12,Seeker_B,Company_C,False,False
12,Seeker_C,Company_B,False,False
12,Seeker_D,Company_E,False,False
12,Seeker_E,Company_A,False,False
13,Seeker_A,Company_E,False,False
13,Seeker_B,Company_C,False,False
13,Seeker_C,Company_B,False,False
13,Seeker_D,Company_D,False,False
13,Seeker_E,Company_A,False,False
14,Seeker_A,Company_D,False,False
14,Seeker_B,Company_C,False,False
14,Seeker_C,Company_E,False,False
14,Seeker_D,Company_A,False,False
14,Seeker_E,Company_B,False,False
15,Seeker_A,Company_E,False,False
15,Seeker_B,Company_C,False,False
15,Seeker_C,Company_B,False,False
15,Seeker_D,Company_D,False,False
15,Seeker_E,Company_A,False,False
16,Seeker_A,Company_E,False,False
16,Seeker_B,Company_B,False,False
16,Seeker_C,Company_D,False,False
16,Seeker_D,Company_A,False,False
16,Seeker_E,Company_C,False,False
17,Seeker_A,Company_D,False,False
17,Seeker_B,Company_B,False,False
17,Seeker_C,Company_C,False,False
17,Seeker_D,Company_E,False,False
17,Seeker_E,Company_A,False,False
18,Seeker_A,Company_E,False,False
18,Seeker_B,Company_B,False,False
18,Seeker_C,Company_D,False,False
18,Seeker_D,Company_A,False,False
18,Seeker_E,Company_C,False,False
19,Seeker_A,Company_A,False,False
19,Seeker_B,Company_B,False,False
19,Seeker_C,Company_C,False,False
19,Seeker_D,Company_E,False,False
19,Seeker_E,Company_D,False,False
20,Seeker_A,Company_E,False,False
20,Seeker_B,Company_B,False,False
20,Seeker_C,Company_D,False,False
20,Seeker_D,Company_A,False,False
20,Seeker_E,Company_C,False,False
21,Seeker_A,Company_E,False,False
21,Seeker_B,Company_C,False,False
21,Seeker_C,Company_B,False,False
21,Seeker_D,Company_A,False,False
21,Seeker_E,Company_D,False,False
22,Seeker_A,Company_E,False,False
22,Seeker_B,Company_D,False,False
22,Seeker_C,Company_B,False,False
22,Seeker_D,Company_C,False,False
22,Seeker_E,Company_A,False,False
23,Seeker_A,Company_D,False,False
23,Seeker_B,Company_C,False,False
23,Seeker_C,Company_B,False,False
23,Seeker_D,Company_A,False,False
23,Seeker_E,Company_E,False,False
24,Seeker_A,Company_A,False,False
24,Seeker_B,Company_C,False,False
24,Seeker_C,Company_B,False,False
24,Seeker_D,Company_E,False,False
24,Seeker_E,Unmatched,False,False
25,Seeker_A,Company_E,True,False
25,Seeker_B,Company_B,True,False
25,Seeker_C,Company_C,True,False
25,Seeker_D,Company_D,True,False
25,Seeker_E,Company_A,True,False
26,Seeker_A,Company_E,False,False
26,Seeker_B,Company_B,False,False
26,Seeker_C,Company_D,False,False
26,Seeker_D,Company_A,False,False
26,Seeker_E,Company_C,False,False
27,Seeker_A,Company_E,True,False
27,Seeker_B,Company_B,True,False
27,Seeker_C,Company_C,True,False
27,Seeker_D,Company_A,True,False
27,Seeker_E,Company_D,True,False
28,Seeker_A,Company_D,False,False
28,Seeker_B,Company_B,False,False
28,Seeker_C,Company_E,False,False
28,Seeker_D,Company_A,False,False
28,Seeker_E,Company_C,False,False
29,Seeker_A,Company_E,False,False
29,Seeker_B,Company_C,False,False
29,Seeker_C,Company_D,False,False
29,Seeker_D,Company_B,False,False
29,Seeker_E,Company_A,False,False
30,Seeker_A,Company_D,False,False
30,Seeker_B,Company_C,False,False
30,Seeker_C,Company_B,False,False
30,Seeker_D,Company_A,False,False
30,Seeker_E,Company_E,False,False
31,Seeker_A,Company_E,False,False
31,Seeker_B,Company_B,False,False
31,Seeker_C,Company_D,False,False
31,Seeker_D,Company_C,False,False
31,Seeker_E,Company_A,False,False
32,Seeker_A,Company_A,False,False
32,Seeker_B,Company_B,False,False
32,Seeker_C,Company_E,False,False
32,Seeker_D,Company_C,False,False
32,Seeker_E,Company_D,False,False
33,Seeker_A,Company_D,False,False
33,Seeker_B,Company_B,False,False
33,Seeker_C,Company_C,False,False
33,Seeker_D,Company_E,False,False
33,Seeker_E,Company_A,False,False
34,Seeker_A,Company_E,False,False
34,Seeker_B,Company_C,False,False
34,Seeker_C,Company_D,False,False
34,Seeker_D,Company_B,False,False
34,Seeker_E,Company_A,False,False
35,Seeker_A,Company_B,False,True
35,Seeker_B,Company_A,False,True
35,Seeker_C,Company_E,False,True
35,Seeker_D,Company_C,False,True
35,Seeker_E,Company_D,False,True
36,Seeker_A,Company_A,False,False
36,Seeker_B,Company_B,False,False
36,Seeker_C,Company_E,False,False
36,Seeker_D,Company_C,False,False
36,Seeker_E,Company_D,False,False
37,Seeker_A,Company_E,False,False
37,Seeker_B,Company_B,False,False
37,Seeker_C,Company_D,False,False
37,Seeker_D,Company_A,False,False
37,Seeker_E,Company_C,False,False
38,Seeker_A,Company_E,False,False
38,Seeker_B,Company_C,False,False
38,Seeker_C,Company_B,False,False
38,Seeker_D,Company_A,False,False
38,Seeker_E,Unmatched,False,False
39,Seeker_A,Company_E,True,False
39,Seeker_B,Company_B,True,False
39,Seeker_C,Company_C,True,False
39,Seeker_D,Company_D,True,False
39,Seeker_E,Company_A,True,False
40,Seeker_A,Company_E,False,False
40,Seeker_B,Company_C,False,False
40,Seeker_C,Company_D,False,False
40,Seeker_D,Company_B,False,False
40,Seeker_E,Company_A,False,False
41,Seeker_A,Company_E,False,False
41,Seeker_B,Company_C,False,False
41,Seeker_C,Company_D,False,False
41,Seeker_D,Company_A,False,False
41,Seeker_E,Company_B,False,False
42,Seeker_A,Company_E,False,False
42,Seeker_B,Unmatched,False,False
42,Seeker_C,Company_B,False,False
42,Seeker_D,Company_A,False,False
42,Seeker_E,Company_C,False,False
43,Seeker_A,Company_D,False,False
43,Seeker_B,Company_B,False,False
43,Seeker_C,Company_E,False,False
43,Seeker_D,Company_C,False,False
43,Seeker_E,Company_A,False,False
44,Seeker_A,Company_E,False,False
44,Seeker_B,Company_B,False,False
44,Seeker_C,Company_D,False,False
44,Seeker_D,Company_A,False,False
44,Seeker_E,Company_C,False,False
45,Seeker_A,Company_E,True,False
45,Seeker_B,Company_B,True,False
45,Seeker_C,Company_C,True,False
45,Seeker_D,Company_A,True,False
45,Seeker_E,Company_D,True,False
46,Seeker_A,Company_E,False,False
46,Seeker_B,Company_C,False,False
46,Seeker_C,Company_B,False,False
46,Seeker_D,Company_D,False,False
46,Seeker_E,Company_A,False,False
47,Seeker_A,Company_E,False,False
47,Seeker_B,Company_C,False,False
47,Seeker_C,Company_D,False,False
47,Seeker_D,Company_A,False,False
47,Seeker_E,Company_B,False,False
48,Seeker_A,Company_D,False,False
48,Seeker_B,Company_C,False,False
48,Seeker_C,Company_E,False,False
48,Seeker_D,Company_B,False,False
48,Seeker_E,Company_A,False,False
49,Seeker_A,Company_E,True,False
49,Seeker_B,Company_B,True,False
49,Seeker_C,Company_C,True,False
49,Seeker_D,Company_A,True,False
49,Seeker_E,Company_D,True,False
50,Seeker_A,Company_E,False,False
50,Seeker_B,Company_B,False,False
50,Seeker_C,Company_D,False,False
50,Seeker_D,Company_C,False,False
50,Seeker_E,Company_A,False,False
51,Seeker_A,Company_E,False,False
51,Seeker_B,Unmatched,False,False
51,Seeker_C,Company_B,False,False
51,Seeker_D,Company_C,False,False
51,Seeker_E,Company_A,False,False
52,Seeker_A,Company_D,False,False
52,Seeker_B,Company_E,False,False
52,Seeker_C,Company_B,False,False
52,Seeker_D,Company_C,False,False
52,Seeker_E,Company_A,False,False
53,Seeker_A,Unmatched,False,False
53,Seeker_B,Company_C,False,False
53,Seeker_C,Company_E,False,False
53,Seeker_D,Company_A,False,False
53,Seeker_E,Company_D,False,False
54,Seeker_A,Company_B,False,False
54,Seeker_B,Company_C,False,False
54,Seeker_C,Company_E,False,False
54,Seeker_D,Company_A,False,False
54,Seeker_E,Company_D,False,False
55,Seeker_A,Company_A,False,False
55,Seeker_B,Company_B,False,False
55,Seeker_C,Company_C,False,False
55,Seeker_D,Company_D,False,False
55,Seeker_E,Company_E,False,False
56,Seeker_A,Company_E,False,False
56,Seeker_B,Company_B,False,False
56,Seeker_C,Company_D,False,False
56,Seeker_D,Company_C,False,False
56,Seeker_E,Company_A,False,False
57,Seeker_A,Company_E,False,False
57,Seeker_B,Company_C,False,False
57,Seeker_C,Company_B,False,False
57,Seeker_D,Company_D,False,False
57,Seeker_E,Company_A,False,False
58,Seeker_A,Company_E,True,False
58,Seeker_B,Company_B,True,False
58,Seeker_C,Company_C,True,False
58,Seeker_D,Company_A,True,False
58,Seeker_E,Company_D,True,False
59,Seeker_A,Company_E,False,False
59,Seeker_B,Company_B,False,False
59,Seeker_C,Company_D,False,False
59,Seeker_D,Company_A,False,False
59,Seeker_E,Company_C,False,False
60,Seeker_A,Company_E,False,False
60,Seeker_B,Company_C,False,False
60,Seeker_C,Company_B,False,False
60,Seeker_D,Company_D,False,False
60,Seeker_E,Company_A,False,False
61,Seeker_A,Company_E,False,False
61,Seeker_B,Company_C,False,False
61,Seeker_C,Company_B,False,False
61,Seeker_D,Company_A,False,False
61,Seeker_E,Company_D,False,False
62,Seeker_A,Company_E,True,False
62,Seeker_B,Company_B,True,False
62,Seeker_C,Company_C,True,False
62,Seeker_D,Company_D,True,False
62,Seeker_E,Company_A,True,False
63,Seeker_A,Company_E,False,False
63,Seeker_B,Company_B,False,False
63,Seeker_C,Company_D,False,False
63,Seeker_D,Company_C,False,False
63,Seeker_E,Company_A,False,False
64,Seeker_A,Company_D,False,False
64,Seeker_B,Company_C,False,False
64,Seeker_C,Company_E,False,False
64,Seeker_D,Company_B,False,False
64,Seeker_E,Company_A,False,False
65,Seeker_A,Company_E,False,False
65,Seeker_B,Company_B,False,False
65,Seeker_C,Company_D,False,False
65,Seeker_D,Company_A,False,False
65,Seeker_E,Company_C,False,False
66,Seeker_A,Company_E,True,False
66,Seeker_B,Company_B,True,False
66,Seeker_C,Company_C,True,False
66,Seeker_D,Company_A,True,False
66,Seeker_E,Company_D,True,False
67,Seeker_A,Company_E,False,True
67,Seeker_B,Company_D,False,True
67,Seeker_C,Company_B,False,True
67,Seeker_D,Company_A,False,True
67,Seeker_E,Company_C,False,True
68,Seeker_A,Company_E,False,False
68,Seeker_B,Company_C,False,False
68,Seeker_C,Company_B,False,False
68,Seeker_D,Company_D,False,False
68,Seeker_E,Company_A,False,False
69,Seeker_A,Company_E,False,False
69,Seeker_B,Company_B,False,False
69,Seeker_C,Company_D,False,False
69,Seeker_D,Company_C,False,False
69,Seeker_E,Company_A,False,False
70,Seeker_A,Company_E,False,False
70,Seeker_B,Company_B,False,False
70,Seeker_C,Company_A,False,False
70,Seeker_D,Company_C,False,False
70,Seeker_E,Company_D,False,False
71,Seeker_A,Company_E,False,False
71,Seeker_B,Company_D,False,False
71,Seeker_C,Company_C,False,False
71,Seeker_D,Company_A,False,False
71,Seeker_E,Company_B,False,False
72,Seeker_A,Company_E,False,False
72,Seeker_B,Company_C,False,False
72,Seeker_C,Company_B,False,False
72,Seeker_D,Company_A,False,False
72,Seeker_E,Company_D,False,False
73,Seeker_A,Company_E,False,False
73,Seeker_B,Company_D,False,False
73,Seeker_C,Company_B,False,False
73,Seeker_D,Company_C,False,False
73,Seeker_E,Company_A,False,False
74,Seeker_A,Company_E,True,False
74,Seeker_B,Company_B,True,False
74,Seeker_C,Company_C,True,False
74,Seeker_D,Company_D,True,False
74,Seeker_E,Company_A,True,False
75,Seeker_A,Company_E,False,False
75,Seeker_B,Company_D,False,False
75,Seeker_C,Company_B,False,False
75,Seeker_D,Company_C,False,False
75,Seeker_E,Company_A,False,False
76,Seeker_A,Company_E,False,False
76,Seeker_B,Company_B,False,False
76,Seeker_C,Company_C,False,False
76,Seeker_D,Company_A,False,False
76,Seeker_E,Unmatched,False,False
77,Seeker_A,Company_D,False,False
77,Seeker_B,Company_C,False,False
77,Seeker_C,Company_E,False,False
77,Seeker_D,Company_B,False,False
77,Seeker_E,Company_A,False,False
78,Seeker_A,Company_E,False,False
78,Seeker_B,Company_C,False,False
78,Seeker_C,Company_B,False,False
78,Seeker_D,Company_A,False,False
78,Seeker_E,Unmatched,False,False
79,Seeker_A,Company_E,False,False
79,Seeker_B,Company_B,False,False
79,Seeker_C,Company_D,False,False
79,Seeker_D,Company_A,False,False
79,Seeker_E,Company_C,False,False
80,Seeker_A,Company_E,False,False
80,Seeker_B,Company_B,False,False
80,Seeker_C,Company_D,False,False
80,Seeker_D,Company_A,False,False
80,Seeker_E,Company_C,False,False
81,Seeker_A,Company_E,False,False
81,Seeker_B,Company_B,False,False
81,Seeker_C,Company_D,False,False
81,Seeker_D,Company_C,False,False
81,Seeker_E,Company_A,False,False
82,Seeker_A,Company_E,True,False
82,Seeker_B,Company_B,True,False
82,Seeker_C,Company_C,True,False
82,Seeker_D,Company_A,True,False
