Trial,Agent,Matched_Partner,Stability,Efficiency
1,Seeker_A,Company_B,True,True
1,Seeker_B,Company_E,True,True
1,Seeker_C,Company_D,True,True
1,Seeker_D,Company_A,True,True
1,Seeker_E,Company_C,True,True
2,Seeker_A,Company_B,True,True
2,Seeker_B,Company_E,True,True
2,Seeker_C,Company_D,True,True
2,Seeker_D,Company_A,True,True
2,Seeker_E,Company_C,True,True
3,Seeker_A,Company_B,True,True
3,Seeker_B,Company_E,True,True
3,Seeker_C,Company_D,True,True
3,Seeker_D,Company_A,True,True
3,Seeker_E,Company_C,True,True
4,Seeker_A,Company_B,True,True
4,Seeker_B,Company_E,True,True
4,Seeker_C,Company_D,True,True
4,Seeker_D,Company_A,True,True
4,Seeker_E,Company_C,True,True
5,Seeker_A,Company_B,True,True
5,Seeker_B,Company_E,True,True
5,Seeker_C,Company_D,True,True
5,Seeker_D,Company_A,True,True
5,Seeker_E,Company_C,True,True
6,Seeker_A,Company_B,True,True
6,Seeker_B,Company_E,True,True
6,Seeker_C,Company_D,True,True
6,Seeker_D,Company_A,True,True
6,Seeker_E,Company_C,True,True
7,Seeker_A,Company_B,True,True
7,Seeker_B,Company_E,True,True
7,Seeker_C,Company_D,True,True
7,Seeker_D,Company_A,True,True
7,Seeker_E,Company_C,True,True
8,Seeker_A,Company_B,True,True
8,Seeker_B,Company_E,True,True
8,Seeker_C,Company_D,True,True
8,Seeker_D,Company_A,True,True
8,Seeker_E,Company_C,True,True
9,Seeker_A,Company_B,True,True
9,Seeker_B,Company_E,True,True
9,Seeker_C,Company_D,True,True
9,Seeker_D,Company_A,True,True
9,Seeker_E,Company_C,True,True
10,Seeker_A,Company_B,True,True
10,Seeker_B,Company_E,True,True
10,Seeker_C,Company_D,True,True
10,Seeker_D,Company_A,True,True
10,Seeker_E,Company_C,True,True
11,Seeker_A,Company_B,True,True
11,Seeker_B,Company_E,True,True
11,Seeker_C,Company_D,True,True
11,Seeker_D,Company_A,True,True
11,Seeker_E,Company_C,True,True
12,Seeker_A,Company_B,True,True
12,Seeker_B,Company_E,True,True
12,Seeker_C,Company_D,True,True
12,Seeker_D,Company_A,True,True
12,Seeker_E,Company_C,True,True
13,Seeker_A,Company_B,True,True
13,Seeker_B,Company_E,True,True
13,Seeker_C,Company_D,True,True
13,Seeker_D,Company_A,True,True
13,Seeker_E,Company_C,True,True
14,Seeker_A,Company_B,True,True
14,Seeker_B,Company_E,True,True
14,Seeker_C,Company_D,True,True
14,Seeker_D,Company_A,True,True
14,Seeker_E,Company_C,True,True
15,Seeker_A,Company_B,True,True
15,Seeker_B,Company_E,True,True
15,Seeker_C,Company_D,True,True
15,Seeker_D,Company_A,True,True
15,Seeker_E,Company_C,True,True
16,Seeker_A,Company_B,True,True
16,Seeker_B,Company_E,True,True
16,Seeker_C,Company_D,True,True
16,Seeker_D,Company_A,True,True
16,Seeker_E,Company_C,True,True
17,Seeker_A,Company_B,True,True
17,Seeker_B,Company_E,True,True
17,Seeker_C,Company_D,True,True
17,Seeker_D,Company_A,True,True
17,Seeker_E,Company_C,True,True
18,Seeker_A,Company_B,True,True
18,Seeker_B,Company_E,True,True
18,Seeker_C,Company_D,True,True
18,Seeker_D,Company_A,True,True
18,Seeker_E,Company_C,True,True
19,Seeker_A,Company_B,True,True
19,Seeker_B,Company_E,True,True
19,Seeker_C,Company_D,True,True
19,Seeker_D,Company_A,True,True
19,Seeker_E,Company_C,True,True
20,Seeker_A,Company_B,True,True
20,Seeker_B,Company_E,True,True
20,Seeker_C,Company_D,True,True
20,Seeker_D,Company_A,True,True
20,Seeker_E,Company_C,True,True
21,Seeker_A,Company_B,True,True
21,Seeker_B,Company_E,True,True
21,Seeker_C,Company_D,True,True
21,Seeker_D,Company_A,True,True
21,Seeker_E,Company_C,True,True
22,Seeker_A,Company_B,True,True
22,Seeker_B,Company_E,True,True
22,Seeker_C,Company_D,True,True
22,Seeker_D,Company_A,True,True
22,Seeker_E,Company_C,True,True
23,Seeker_A,Company_B,True,True
23,Seeker_B,Company_E,True,True
23,Seeker_C,Company_D,True,True
23,Seeker_D,Company_A,True,True
23,Seeker_E,Company_C,True,True
24,Seeker_A,Company_B,True,True
24,Seeker_B,Company_E,True,True
24,Seeker_C,Company_D,True,True
24,Seeker_D,Company_A,True,True
24,Seeker_E,Company_C,True,True
25,Seeker_A,Company_B,True,True
25,Seeker_B,Company_E,True,True
25,Seeker_C,Company_D,True,True
25,Seeker_D,Company_A,True,True
25,Seeker_E,Company_C,True,True
26,Seeker_A,Company_B,True,True
26,Seeker_B,Company_E,True,True
26,Seeker_C,Company_D,True,True
26,Seeker_D,Company_A,True,True
26,Seeker_E,Company_C,True,True
27,Seeker_A,Company_B,True,True
27,Seeker_B,Company_E,True,True
27,Seeker_C,Company_D,True,True
27,Seeker_D,Company_A,True,True
27,Seeker_E,Company_C,True,True
28,Seeker_A,Company_B,True,True
28,Seeker_B,Company_E,True,True
28,Seeker_C,Company_D,True,True
28,Seeker_D,Company_A,True,True
28,Seeker_E,Company_C,True,True
29,Seeker_A,Company_B,True,True
29,Seeker_B,Company_E,True,True
29,Seeker_C,Company_D,True,True
29,Seeker_D,Company_A,True,True
29,Seeker_E,Company_C,True,True
30,Seeker_A,Company_B,True,True
30,Seeker_B,Company_E,True,True
30,Seeker_C,Company_D,True,True
30,Seeker_D,Company_A,True,True
30,Seeker_E,Company_C,True,True
31,Seeker_A,Company_B,True,True
31,Seeker_B,Company_E,True,True
31,Seeker_C,Company_D,True,True
31,Seeker_D,Company_A,True,True
31,Seeker_E,Company_C,True,True
32,Seeker_A,Company_B,True,True
32,Seeker_B,Company_E,True,True
32,Seeker_C,Company_D,True,True
32,Seeker_D,Company_A,True,True
32,Seeker_E,Company_C,True,True
33,Seeker_A,Company_B,True,True
33,Seeker_B,Company_E,True,True
33,Seeker_C,Company_D,True,True
33,Seeker_D,Company_A,True,True
33,Seeker_E,Company_C,True,True
34,Seeker_A,Company_B,True,True
34,Seeker_B,Company_E,True,True
34,Seeker_C,Company_D,True,True
34,Seeker_D,Company_A,True,True
34,Seeker_E,Company_C,True,True
35,Seeker_A,Company_B,True,True
35,Seeker_B,Company_E,True,True
35,Seeker_C,Company_D,True,True
35,Seeker_D,Company_A,True,True
35,Seeker_E,Company_C,True,True
36,Seeker_A,Company_B,True,True
36,Seeker_B,Company_E,True,True
36,Seeker_C,Company_D,True,True
36,Seeker_D,Company_A,True,True
36,Seeker_E,Company_C,True,True
37,Seeker_A,Company_B,True,True
37,Seeker_B,Company_E,True,True
37,Seeker_C,Company_D,True,True
37,Seeker_D,Company_A,True,True
37,Seeker_E,Company_C,True,True
38,Seeker_A,Company_B,True,True
38,Seeker_B,Company_E,True,True
38,Seeker_C,Company_D,True,True
38,Seeker_D,Company_A,True,True
38,Seeker_E,Company_C,True,True
39,Seeker_A,Company_B,True,True
39,Seeker_B,Company_E,True,True
39,Seeker_C,Company_D,True,True
39,Seeker_D,Company_A,True,True
39,Seeker_E,Company_C,True,True
40,Seeker_A,Company_B,True,True
40,Seeker_B,Company_E,True,True
40,Seeker_C,Company_D,True,True
40,Seeker_D,Company_A,True,True
40,Seeker_E,Company_C,True,True
41,Seeker_A,Company_B,True,True
41,Seeker_B,Company_E,True,True
41,Seeker_C,Company_D,True,True
41,Seeker_D,Company_A,True,True
41,Seeker_E,Company_C,True,True
42,Seeker_A,Company_B,True,True
42,Seeker_B,Company_E,True,True
42,Seeker_C,Company_D,True,True
42,Seeker_D,Company_A,True,True
42,Seeker_E,Company_C,True,True
43,Seeker_A,Company_B,True,True
43,Seeker_B,Company_E,True,True
43,Seeker_C,Company_D,True,True
43,Seeker_D,Company_A,True,True
43,Seeker_E,Company_C,True,True
44,Seeker_A,Company_B,True,True
44,Seeker_B,Company_E,True,True
44,Seeker_C,Company_D,True,True
44,Seeker_D,Company_A,True,True
44,Seeker_E,Company_C,True,True
45,Seeker_A,Company_B,True,True
45,Seeker_B,Company_E,True,True
45,Seeker_C,Company_D,True,True
45,Seeker_D,Company_A,True,True
45,Seeker_E,Company_C,True,True
46,Seeker_A,Company_B,True,True
46,Seeker_B,Company_E,True,True
46,Seeker_C,Company_D,True,True
46,Seeker_D,Company_A,True,True
46,Seeker_E,Company_C,True,True
47,Seeker_A,Company_B,True,True
47,Seeker_B,Company_E,True,True
47,Seeker_C,Company_D,True,True
47,Seeker_D,Company_A,True,True
47,Seeker_E,Company_C,True,True
48,Seeker_A,Company_B,True,True
48,Seeker_B,Company_E,True,True
48,Seeker_C,Company_D,True,True
48,Seeker_D,Company_A,True,True
48,Seeker_E,Company_C,True,True
49,Seeker_A,Company_B,True,True
49,Seeker_B,Company_E,True,True
49,Seeker_C,Company_D,True,True
49,Seeker_D,Company_A,True,True
49,Seeker_E,Company_C,True,True
50,Seeker_A,Company_B,True,True
50,Seeker_B,Company_E,True,True
50,Seeker_C,Company_D,True,True
50,Seeker_D,Company_A,True,True
50,Seeker_E,Company_C,True,True
51,Seeker_A,Company_B,True,True
51,Seeker_B,Company_E,True,True
51,Seeker_C,Company_D,True,True
51,Seeker_D,Company_A,True,True
51,Seeker_E,Company_C,True,True
52,Seeker_A,Company_B,True,True
52,Seeker_B,Company_E,True,True
52,Seeker_C,Company_D,True,True
52,Seeker_D,Company_A,True,True
52,Seeker_E,Company_C,True,True
53,Seeker_A,Company_B,True,True
53,Seeker_B,Company_E,True,True
53,Seeker_C,Company_D,True,True
53,Seeker_D,Company_A,True,True
53,Seeker_E,Company_C,True,True
54,Seeker_A,Company_B,True,True
54,Seeker_B,Company_E,True,True
54,Seeker_C,Company_D,True,True
54,Seeker_D,Company_A,True,True
54,Seeker_E,Company_C,True,True
55,Seeker_A,Company_B,True,True
55,Seeker_B,Company_E,True,True
55,Seeker_C,Company_D,True,True
55,Seeker_D,Company_A,True,True
55,Seeker_E,Company_C,True,True
56,Seeker_A,Company_B,True,True
56,Seeker_B,Company_E,True,True
56,Seeker_C,Company_D,True,True
56,Seeker_D,Company_A,True,True
56,Seeker_E,Company_C,True,True
57,Seeker_A,Company_B,True,True
57,Seeker_B,Company_E,True,True
57,Seeker_C,Company_D,True,True
57,Seeker_D,Company_A,True,True
57,Seeker_E,Company_C,True,True
58,Seeker_A,Company_B,True,True
58,Seeker_B,Company_E,True,True
58,Seeker_C,Company_D,True,True
58,Seeker_D,Company_A,True,True
58,Seeker_E,Company_C,True,True
59,Seeker_A,Company_B,True,True
59,Seeker_B,Company_E,True,True
59,Seeker_C,Company_D,True,True
59,Seeker_D,Company_A,True,True
59,Seeker_E,Company_C,True,True
60,Seeker_A,Company_B,True,True
60,Seeker_B,Company_E,True,True
60,Seeker_C,Company_D,True,True
60,Seeker_D,Company_A,True,True
60,Seeker_E,Company_C,True,True
61,Seeker_A,Company_B,True,True
61,Seeker_B,Company_E,True,True
61,Seeker_C,Company_D,True,True
61,Seeker_D,Company_A,True,True
61,Seeker_E,Company_C,True,True
62,Seeker_A,Company_B,True,True
62,Seeker_B,Company_E,True,True
62,Seeker_C,Company_D,True,True
62,Seeker_D,Company_A,True,True
62,Seeker_E,Company_C,True,True
63,Seeker_A,Company_B,True,True
63,Seeker_B,Company_E,True,True
63,Seeker_C,Company_D,True,True
63,Seeker_D,Company_A,True,True
63,Seeker_E,Company_C,True,True
64,Seeker_A,Company_B,True,True
64,Seeker_B,Company_E,True,True
64,Seeker_C,Company_D,True,True
64,Seeker_D,Company_A,True,True
64,Seeker_E,Company_C,True,True
65,Seeker_A,Company_B,True,True
65,Seeker_B,Company_E,True,True
65,Seeker_C,Company_D,True,True
65,Seeker_D,Company_A,True,True
65,Seeker_E,Company_C,True,True
66,Seeker_A,Company_B,True,True
66,Seeker_B,Company_E,True,True
66,Seeker_C,Company_D,True,True
66,Seeker_D,Company_A,True,True
66,Seeker_E,Company_C,True,True
67,Seeker_A,Company_B,True,True
67,Seeker_B,Company_E,True,True
67,Seeker_C,Company_D,True,True
67,Seeker_D,Company_A,True,True
67,Seeker_E,Company_C,True,True
68,Seeker_A,Company_B,True,True
68,Seeker_B,Company_E,True,True
68,Seeker_C,Company_D,True,True
68,Seeker_D,Company_A,True,True
68,Seeker_E,Company_C,True,True
69,Seeker_A,Company_B,True,True
69,Seeker_B,Company_E,True,True
69,Seeker_C,Company_D,True,True
69,Seeker_D,Company_A,True,True
69,Seeker_E,Company_C,True,True
70,Seeker_A,Company_B,True,True
70,Seeker_B,Company_E,True,True
70,Seeker_C,Company_D,True,True
70,Seeker_D,Company_A,True,True
70,Seeker_E,Company_C,True,True
71,Seeker_A,Company_B,True,True
71,Seeker_B,Company_E,True,True
71,Seeker_C,Company_D,True,True
71,Seeker_D,Company_A,True,True
71,Seeker_E,Company_C,True,True
72,Seeker_A,Company_B,True,True
72,Seeker_B,Company_E,True,True
72,Seeker_C,Company_D,True,True
72,Seeker_D,Company_A,True,True
72,Seeker_E,Company_C,True,True
73,Seeker_A,Company_B,True,True
73,Seeker_B,Company_E,True,True
73,Seeker_C,Company_D,True,True
73,Seeker_D,Company_A,True,True
73,Seeker_E,Company_C,True,True
74,Seeker_A,Company_B,True,True
74,Seeker_B,Company_E,True,True
74,Seeker_C,Company_D,True,True
74,Seeker_D,Company_A,True,True
74,Seeker_E,Company_C,True,True
75,Seeker_A,Company_B,True,True
75,Seeker_B,Company_E,True,True
75,Seeker_C,Company_D,True,True
75,Seeker_D,Company_A,True,True
75,Seeker_E,Company_C,True,True
76,Seeker_A,Company_B,True,True
76,Seeker_B,Company_E,True,True
76,Seeker_C,Company_D,True,True
76,Seeker_D,Company_A,True,True
76,Seeker_E,Company_C,True,True
77,Seeker_A,Company_B,True,True
77,Seeker_B,Company_E,True,True
77,Seeker_C,Company_D,True,True
77,Seeker_D,Company_A,True,True
77,Seeker_E,Company_C,True,True
78,Seeker_A,Company_B,True,True
78,Seeker_B,Company_E,True,True
78,Seeker_C,Company_D,True,True
78,Seeker_D,Company_A,True,True
78,Seeker_E,Company_C,True,True
