Trial,Agent,Matched_Partner,Stability,Efficiency,Matched_Company,Result_Rank
1,Seeker_A,Company_A,False,True,Company_A,1
1,Seeker_B,Company_B,False,True,Company_B,1
1,Seeker_C,Company_D,False,True,Company_D,1
1,Seeker_D,Company_C,False,True,Company_C,1
1,Seeker_E,Company_E,False,True,Company_E,5
2,Seeker_A,Company_A,False,True,Company_A,1
2,Seeker_B,Company_B,False,True,Company_B,1
2,Seeker_C,Company_E,False,True,Company_E,5
2,Seeker_D,Company_C,False,True,Company_C,1
2,Seeker_E,Company_D,False,True,Company_D,4
3,Seeker_A,Company_B,False,False,Company_B,4
3,Seeker_B,Company_A,False,False,Company_A,3
3,Seeker_C,Company_C,False,False,Company_C,4
3,Seeker_D,Company_E,False,False,Company_E,4
3,Seeker_E,Company_D,False,False,Company_D,4
4,Seeker_A,Company_E,False,False,Company_E,5
4,Seeker_B,Company_A,False,False,Company_A,3
4,Seeker_C,Company_D,False,False,Company_D,1
4,Seeker_D,Company_B,False,False,Company_B,3
4,Seeker_E,Company_C,False,False,Company_C,1
5,Seeker_A,Company_E,False,False,Company_E,5
5,Seeker_B,Company_B,False,False,Company_B,1
5,Seeker_C,Company_A,False,False,Company_A,2
5,Seeker_D,Company_C,False,False,Company_C,1
5,Seeker_E,Company_D,False,False,Company_D,4
6,Seeker_A,Company_B,False,False,Company_B,4
6,Seeker_B,Company_A,False,False,Company_A,3
6,Seeker_C,Company_D,False,False,Company_D,1
6,Seeker_D,Company_C,False,False,Company_C,1
6,Seeker_E,Company_E,False,False,Company_E,5
7,Seeker_A,Company_A,False,True,Company_A,1
7,Seeker_B,Company_B,False,True,Company_B,1
7,Seeker_C,Company_E,False,True,Company_E,5
7,Seeker_D,Company_C,False,True,Company_C,1
7,Seeker_E,Company_D,False,True,Company_D,4
8,Seeker_A,Company_B,False,False,Company_B,4
8,Seeker_B,Company_A,False,False,Company_A,3
8,Seeker_C,Company_E,False,False,Company_E,5
8,Seeker_D,Company_C,False,False,Company_C,1
8,Seeker_E,Company_D,False,False,Company_D,4
9,Seeker_A,Company_B,False,False,Company_B,4
9,Seeker_B,Company_A,False,False,Company_A,3
9,Seeker_C,Company_D,False,False,Company_D,1
9,Seeker_D,Company_C,False,False,Company_C,1
9,Seeker_E,Company_E,False,False,Company_E,5
10,Seeker_A,Company_A,False,True,Company_A,1
10,Seeker_B,Company_B,False,True,Company_B,1
10,Seeker_C,Company_D,False,True,Company_D,1
10,Seeker_D,Company_C,False,True,Company_C,1
10,Seeker_E,Company_E,False,True,Company_E,5
11,Seeker_A,Company_B,False,False,Company_B,4
11,Seeker_B,Company_A,False,False,Company_A,3
11,Seeker_C,Company_E,False,False,Company_E,5
11,Seeker_D,Company_C,False,False,Company_C,1
11,Seeker_E,Company_D,False,False,Company_D,4
12,Seeker_A,Company_A,False,True,Company_A,1
12,Seeker_B,Company_B,False,True,Company_B,1
12,Seeker_C,Company_E,False,True,Company_E,5
12,Seeker_D,Company_C,False,True,Company_C,1
12,Seeker_E,Company_D,False,True,Company_D,4
13,Seeker_A,Company_B,False,False,Company_B,4
13,Seeker_B,Company_A,False,False,Company_A,3
13,Seeker_C,Company_D,False,False,Company_D,1
13,Seeker_D,Company_C,False,False,Company_C,1
13,Seeker_E,Company_E,False,False,Company_E,5
14,Seeker_A,Company_B,False,False,Company_B,4
14,Seeker_B,Company_A,False,False,Company_A,3
14,Seeker_C,Company_E,False,False,Company_E,5
14,Seeker_D,Company_C,False,False,Company_C,1
14,Seeker_E,Company_D,False,False,Company_D,4
15,Seeker_A,Company_B,False,False,Company_B,4
15,Seeker_B,Company_A,False,False,Company_A,3
15,Seeker_C,Company_E,False,False,Company_E,5
15,Seeker_D,Company_C,False,False,Company_C,1
15,Seeker_E,Company_D,False,False,Company_D,4
16,Seeker_A,Company_B,False,False,Company_B,4
16,Seeker_B,Company_A,False,False,Company_A,3
16,Seeker_C,Company_D,False,False,Company_D,1
16,Seeker_D,Company_C,False,False,Company_C,1
16,Seeker_E,Company_E,False,False,Company_E,5
17,Seeker_A,Company_B,False,False,Company_B,4
17,Seeker_B,Company_A,False,False,Company_A,3
17,Seeker_C,Company_D,False,False,Company_D,1
17,Seeker_D,Company_C,False,False,Company_C,1
17,Seeker_E,Company_E,False,False,Company_E,5
18,Seeker_A,Company_E,False,True,Company_E,5
18,Seeker_B,Company_B,False,True,Company_B,1
18,Seeker_C,Company_D,False,True,Company_D,1
18,Seeker_D,Company_C,False,True,Company_C,1
18,Seeker_E,Company_A,False,True,Company_A,3
19,Seeker_A,Company_B,False,False,Company_B,4
19,Seeker_B,Company_A,False,False,Company_A,3
19,Seeker_C,Company_D,False,False,Company_D,1
19,Seeker_D,Company_C,False,False,Company_C,1
19,Seeker_E,Company_E,False,False,Company_E,5
20,Seeker_A,Company_A,False,True,Company_A,1
20,Seeker_B,Company_B,False,True,Company_B,1
20,Seeker_C,Company_E,False,True,Company_E,5
20,Seeker_D,Company_C,False,True,Company_C,1
20,Seeker_E,Company_D,False,True,Company_D,4
21,Seeker_A,Company_A,False,True,Company_A,1
21,Seeker_B,Company_B,False,True,Company_B,1
21,Seeker_C,Company_D,False,True,Company_D,1
21,Seeker_D,Company_C,False,True,Company_C,1
21,Seeker_E,Company_E,False,True,Company_E,5
22,Seeker_A,Company_A,False,True,Company_A,1
22,Seeker_B,Company_B,False,True,Company_B,1
22,Seeker_C,Company_E,False,True,Company_E,5
22,Seeker_D,Company_C,False,True,Company_C,1
22,Seeker_E,Company_D,False,True,Company_D,4
23,Seeker_A,Company_A,False,True,Company_A,1
23,Seeker_B,Company_B,False,True,Company_B,1
23,Seeker_C,Company_D,False,True,Company_D,1
23,Seeker_D,Company_C,False,True,Company_C,1
23,Seeker_E,Company_E,False,True,Company_E,5
24,Seeker_A,Company_A,False,True,Company_A,1
24,Seeker_B,Company_B,False,True,Company_B,1
24,Seeker_C,Company_E,False,True,Company_E,5
24,Seeker_D,Company_C,False,True,Company_C,1
24,Seeker_E,Company_D,False,True,Company_D,4
25,Seeker_A,Company_B,False,False,Company_B,4
25,Seeker_B,Company_A,False,False,Company_A,3
25,Seeker_C,Company_E,False,False,Company_E,5
25,Seeker_D,Company_C,False,False,Company_C,1
25,Seeker_E,Company_D,False,False,Company_D,4
26,Seeker_A,Company_A,False,True,Company_A,1
26,Seeker_B,Company_E,False,True,Company_E,4
26,Seeker_C,Company_D,False,True,Company_D,1
26,Seeker_D,Company_C,False,True,Company_C,1
26,Seeker_E,Company_B,False,True,Company_B,2
27,Seeker_A,Company_B,False,False,Company_B,4
27,Seeker_B,Company_A,False,False,Company_A,3
27,Seeker_C,Company_D,False,False,Company_D,1
27,Seeker_D,Company_C,False,False,Company_C,1
27,Seeker_E,Company_E,False,False,Company_E,5
28,Seeker_A,Company_A,False,True,Company_A,1
28,Seeker_B,Company_B,False,True,Company_B,1
28,Seeker_C,Company_D,False,True,Company_D,1
28,Seeker_D,Company_C,False,True,Company_C,1
28,Seeker_E,Company_E,False,True,Company_E,5
29,Seeker_A,Company_A,False,True,Company_A,1
29,Seeker_B,Company_B,False,True,Company_B,1
29,Seeker_C,Company_D,False,True,Company_D,1
29,Seeker_D,Company_C,False,True,Company_C,1
29,Seeker_E,Company_E,False,True,Company_E,5
30,Seeker_A,Company_B,False,False,Company_B,4
30,Seeker_B,Company_A,False,False,Company_A,3
30,Seeker_C,Company_D,False,False,Company_D,1
30,Seeker_D,Company_C,False,False,Company_C,1
30,Seeker_E,Company_E,False,False,Company_E,5
31,Seeker_A,Company_A,False,True,Company_A,1
31,Seeker_B,Company_B,False,True,Company_B,1
31,Seeker_C,Company_D,False,True,Company_D,1
31,Seeker_D,Company_C,False,True,Company_C,1
31,Seeker_E,Company_E,False,True,Company_E,5
32,Seeker_A,Company_A,False,True,Company_A,1
32,Seeker_B,Company_B,False,True,Company_B,1
32,Seeker_C,Company_E,False,True,Company_E,5
32,Seeker_D,Company_C,False,True,Company_C,1
32,Seeker_E,Company_D,False,True,Company_D,4
33,Seeker_A,Company_B,False,False,Company_B,4
33,Seeker_B,Company_A,False,False,Company_A,3
33,Seeker_C,Company_D,False,False,Company_D,1
33,Seeker_D,Company_C,False,False,Company_C,1
33,Seeker_E,Company_E,False,False,Company_E,5
34,Seeker_A,Company_A,False,True,Company_A,1
34,Seeker_B,Company_B,False,True,Company_B,1
34,Seeker_C,Company_E,False,True,Company_E,5
34,Seeker_D,Company_C,False,True,Company_C,1
34,Seeker_E,Company_D,False,True,Company_D,4
35,Seeker_A,Company_B,False,False,Company_B,4
35,Seeker_B,Company_A,False,False,Company_A,3
35,Seeker_C,Company_D,False,False,Company_D,1
35,Seeker_D,Company_C,False,False,Company_C,1
35,Seeker_E,Company_E,False,False,Company_E,5
36,Seeker_A,Company_B,False,False,Company_B,4
36,Seeker_B,Company_A,False,False,Company_A,3
36,Seeker_C,Company_D,False,False,Company_D,1
36,Seeker_D,Company_C,False,False,Company_C,1
36,Seeker_E,Company_E,False,False,Company_E,5
37,Seeker_A,Company_B,False,False,Company_B,4
37,Seeker_B,Company_A,False,False,Company_A,3
37,Seeker_C,Company_D,False,False,Company_D,1
37,Seeker_D,Company_C,False,False,Company_C,1
37,Seeker_E,Company_E,False,False,Company_E,5
38,Seeker_A,Company_B,False,False,Company_B,4
38,Seeker_B,Company_A,False,False,Company_A,3
38,Seeker_C,Company_D,False,False,Company_D,1
38,Seeker_D,Company_C,False,False,Company_C,1
38,Seeker_E,Company_E,False,False,Company_E,5
39,Seeker_A,Company_B,False,False,Company_B,4
39,Seeker_B,Company_A,False,False,Company_A,3
39,Seeker_C,Company_D,False,False,Company_D,1
39,Seeker_D,Company_C,False,False,Company_C,1
39,Seeker_E,Company_E,False,False,Company_E,5
40,Seeker_A,Company_A,False,True,Company_A,1
40,Seeker_B,Company_B,False,True,Company_B,1
40,Seeker_C,Company_D,False,True,Company_D,1
40,Seeker_D,Company_C,False,True,Company_C,1
40,Seeker_E,Company_E,False,True,Company_E,5
41,Seeker_A,Company_A,False,True,Company_A,1
41,Seeker_B,Company_B,False,True,Company_B,1
41,Seeker_C,Company_D,False,True,Company_D,1
41,Seeker_D,Company_C,False,True,Company_C,1
41,Seeker_E,Company_E,False,True,Company_E,5
42,Seeker_A,Company_A,False,True,Company_A,1
42,Seeker_B,Company_B,False,True,Company_B,1
42,Seeker_C,Company_D,False,True,Company_D,1
42,Seeker_D,Company_C,False,True,Company_C,1
42,Seeker_E,Company_E,False,True,Company_E,5
43,Seeker_A,Company_E,False,True,Company_E,5
43,Seeker_B,Company_B,False,True,Company_B,1
43,Seeker_C,Company_D,False,True,Company_D,1
43,Seeker_D,Company_C,False,True,Company_C,1
43,Seeker_E,Company_A,False,True,Company_A,3
44,Seeker_A,Company_E,False,False,Company_E,5
44,Seeker_B,Company_B,False,False,Company_B,1
44,Seeker_C,Company_D,False,False,Company_D,1
44,Seeker_D,Unmatched,False,False,Unmatched,-
44,Seeker_E,Company_A,False,False,Company_A,3
45,Seeker_A,Company_B,False,False,Company_B,4
45,Seeker_B,Company_A,False,False,Company_A,3
45,Seeker_C,Company_E,False,False,Company_E,5
45,Seeker_D,Company_C,False,False,Company_C,1
45,Seeker_E,Company_D,False,False,Company_D,4
46,Seeker_A,Company_A,False,True,Company_A,1
46,Seeker_B,Company_B,False,True,Company_B,1
46,Seeker_C,Company_D,False,True,Company_D,1
46,Seeker_D,Company_C,False,True,Company_C,1
46,Seeker_E,Company_E,False,True,Company_E,5
47,Seeker_A,Company_E,False,True,Company_E,5
47,Seeker_B,Company_B,False,True,Company_B,1
47,Seeker_C,Company_D,False,True,Company_D,1
47,Seeker_D,Company_C,False,True,Company_C,1
47,Seeker_E,Company_A,False,True,Company_A,3
48,Seeker_A,Company_B,False,False,Company_B,4
48,Seeker_B,Company_A,False,False,Company_A,3
48,Seeker_C,Company_D,False,False,Company_D,1
48,Seeker_D,Company_C,False,False,Company_C,1
48,Seeker_E,Company_E,False,False,Company_E,5
49,Seeker_A,Company_A,False,False,Company_A,1
49,Seeker_B,Company_E,False,False,Company_E,4
49,Seeker_C,Company_B,False,False,Company_B,3
49,Seeker_D,Company_C,False,False,Company_C,1
49,Seeker_E,Company_D,False,False,Company_D,4
50,Seeker_A,Company_E,False,True,Company_E,5
50,Seeker_B,Company_B,False,True,Company_B,1
50,Seeker_C,Company_D,False,True,Company_D,1
50,Seeker_D,Company_C,False,True,Company_C,1
50,Seeker_E,Company_A,False,True,Company_A,3
51,Seeker_A,Company_A,False,True,Company_A,1
51,Seeker_B,Company_B,False,True,Company_B,1
51,Seeker_C,Company_D,False,True,Company_D,1
51,Seeker_D,Company_C,False,True,Company_C,1
51,Seeker_E,Company_E,False,True,Company_E,5
52,Seeker_A,Company_A,False,True,Company_A,1
52,Seeker_B,Company_B,False,True,Company_B,1
52,Seeker_C,Company_E,False,True,Company_E,5
52,Seeker_D,Company_C,False,True,Company_C,1
52,Seeker_E,Company_D,False,True,Company_D,4
53,Seeker_A,Company_A,False,True,Company_A,1
53,Seeker_B,Company_B,False,True,Company_B,1
53,Seeker_C,Company_E,False,True,Company_E,5
53,Seeker_D,Company_C,False,True,Company_C,1
53,Seeker_E,Company_D,False,True,Company_D,4
54,Seeker_A,Company_B,False,False,Company_B,4
54,Seeker_B,Company_A,False,False,Company_A,3
54,Seeker_C,Company_D,False,False,Company_D,1
54,Seeker_D,Company_C,False,False,Company_C,1
54,Seeker_E,Company_E,False,False,Company_E,5
55,Seeker_A,Company_B,False,False,Company_B,4
55,Seeker_B,Company_A,False,False,Company_A,3
55,Seeker_C,Company_D,False,False,Company_D,1
55,Seeker_D,Company_C,False,False,Company_C,1
55,Seeker_E,Company_E,False,False,Company_E,5
56,Seeker_A,Company_B,False,False,Company_B,4
56,Seeker_B,Company_A,False,False,Company_A,3
56,Seeker_C,Company_D,False,False,Company_D,1
56,Seeker_D,Company_C,False,False,Company_C,1
56,Seeker_E,Company_E,False,False,Company_E,5
57,Seeker_A,Company_A,False,True,Company_A,1
57,Seeker_B,Company_B,False,True,Company_B,1
57,Seeker_C,Company_D,False,True,Company_D,1
57,Seeker_D,Company_C,False,True,Company_C,1
57,Seeker_E,Company_E,False,True,Company_E,5
58,Seeker_A,Company_A,False,True,Company_A,1
58,Seeker_B,Company_B,False,True,Company_B,1
58,Seeker_C,Company_D,False,True,Company_D,1
58,Seeker_D,Company_C,False,True,Company_C,1
58,Seeker_E,Company_E,False,True,Company_E,5
59,Seeker_A,Company_B,False,False,Company_B,4
59,Seeker_B,Company_A,False,False,Company_A,3
59,Seeker_C,Company_D,False,False,Company_D,1
59,Seeker_D,Company_C,False,False,Company_C,1
59,Seeker_E,Company_E,False,False,Company_E,5
60,Seeker_A,Company_A,False,True,Company_A,1
60,Seeker_B,Company_B,False,True,Company_B,1
60,Seeker_C,Company_E,False,True,Company_E,5
60,Seeker_D,Company_C,False,True,Company_C,1
60,Seeker_E,Company_D,False,True,Company_D,4
61,Seeker_A,Company_A,False,True,Company_A,1
61,Seeker_B,Company_B,False,True,Company_B,1
61,Seeker_C,Company_D,False,True,Company_D,1
61,Seeker_D,Company_C,False,True,Company_C,1
61,Seeker_E,Company_E,False,True,Company_E,5
62,Seeker_A,Company_B,False,False,Company_B,4
62,Seeker_B,Company_A,False,False,Company_A,3
62,Seeker_C,Company_D,False,False,Company_D,1
62,Seeker_D,Company_C,False,False,Company_C,1
62,Seeker_E,Company_E,False,False,Company_E,5
63,Seeker_A,Company_E,True,False,Company_E,5
63,Seeker_B,Company_A,True,False,Company_A,3
63,Seeker_C,Company_C,True,False,Company_C,4
63,Seeker_D,Company_B,True,False,Company_B,3
63,Seeker_E,Company_D,True,False,Company_D,4
64,Seeker_A,Company_A,False,True,Company_A,1
64,Seeker_B,Company_B,False,True,Company_B,1
64,Seeker_C,Company_E,False,True,Company_E,5
64,Seeker_D,Company_C,False,True,Company_C,1
64,Seeker_E,Company_D,False,True,Company_D,4
65,Seeker_A,Company_B,False,False,Company_B,4
65,Seeker_B,Company_A,False,False,Company_A,3
65,Seeker_C,Company_E,False,False,Company_E,5
65,Seeker_D,Company_C,False,False,Company_C,1
65,Seeker_E,Company_D,False,False,Company_D,4
66,Seeker_A,Company_B,False,False,Company_B,4
66,Seeker_B,Company_A,False,False,Company_A,3
66,Seeker_C,Company_D,False,False,Company_D,1
66,Seeker_D,Company_C,False,False,Company_C,1
66,Seeker_E,Company_E,False,False,Company_E,5
67,Seeker_A,Company_B,False,False,Company_B,4
67,Seeker_B,Company_A,False,False,Company_A,3
67,Seeker_C,Company_D,False,False,Company_D,1
67,Seeker_D,Company_C,False,False,Company_C,1
67,Seeker_E,Company_E,False,False,Company_E,5
68,Seeker_A,Company_E,False,False,Company_E,5
68,Seeker_B,Company_A,False,False,Company_A,3
68,Seeker_C,Company_D,False,False,Company_D,1
68,Seeker_D,Company_B,False,False,Company_B,3
68,Seeker_E,Company_C,False,False,Company_C,1
69,Seeker_A,Company_A,False,True,Company_A,1
69,Seeker_B,Company_B,False,True,Company_B,1
69,Seeker_C,Company_D,False,True,Company_D,1
69,Seeker_D,Company_C,False,True,Company_C,1
69,Seeker_E,Company_E,False,True,Company_E,5
70,Seeker_A,Company_B,False,False,Company_B,4
70,Seeker_B,Company_A,False,False,Company_A,3
70,Seeker_C,Company_D,False,False,Company_D,1
70,Seeker_D,Company_C,False,False,Company_C,1
70,Seeker_E,Company_E,False,False,Company_E,5
71,Seeker_A,Company_A,False,True,Company_A,1
71,Seeker_B,Company_B,False,True,Company_B,1
71,Seeker_C,Company_D,False,True,Company_D,1
71,Seeker_D,Company_C,False,True,Company_C,1
