Trial,Agent,Matched_Partner,Stability,Efficiency
1,Student_A,School_B,True,False
1,Student_B,School_C,True,False
1,Student_C,School_D,True,False
1,Student_D,School_A,True,False
1,Student_E,School_E,True,False
2,Student_A,School_E,False,False
2,Student_B,School_C,False,False
2,Student_C,School_D,False,False
2,Student_D,School_A,False,False
2,Student_E,Unmatched,False,False
3,Student_A,School_B,False,False
3,Student_B,School_E,False,False
3,Student_C,School_D,False,False
3,Student_D,School_A,False,False
3,Student_E,Unmatched,False,False
4,Student_A,School_D,False,False
4,Student_B,School_E,False,False
4,Student_C,Unmatched,False,False
4,Student_D,School_A,False,False
4,Student_E,School_C,False,False
5,Student_A,School_B,True,False
5,Student_B,School_C,True,False
5,Student_C,School_D,True,False
5,Student_D,School_A,True,False
5,Student_E,School_E,True,False
6,Student_A,School_E,False,True
6,Student_B,School_C,False,True
6,Student_C,School_D,False,True
6,Student_D,School_A,False,True
6,Student_E,School_B,False,True
7,Student_A,School_D,False,False
7,Student_B,School_E,False,False
7,Student_C,School_C,False,False
7,Student_D,School_A,False,False
7,Student_E,School_B,False,False
8,Student_A,School_B,True,False
8,Student_B,School_C,True,False
8,Student_C,School_D,True,False
8,Student_D,School_A,True,False
8,Student_E,School_E,True,False
9,Student_A,School_B,True,False
9,Student_B,School_C,True,False
9,Student_C,School_D,True,False
9,Student_D,School_A,True,False
9,Student_E,School_E,True,False
10,Student_A,School_B,True,False
10,Student_B,School_C,True,False
10,Student_C,School_D,True,False
10,Student_D,School_A,True,False
10,Student_E,School_E,True,False
11,Student_A,School_B,True,True
11,Student_B,School_E,True,True
11,Student_C,School_D,True,True
11,Student_D,School_A,True,True
11,Student_E,School_C,True,True
12,Student_A,School_B,True,True
12,Student_B,School_E,True,True
12,Student_C,School_D,True,True
12,Student_D,School_A,True,True
12,Student_E,School_C,True,True
13,Student_A,School_B,True,False
13,Student_B,School_C,True,False
13,Student_C,School_D,True,False
13,Student_D,School_A,True,False
13,Student_E,School_E,True,False
14,Student_A,School_B,True,True
14,Student_B,School_E,True,True
14,Student_C,School_D,True,True
14,Student_D,School_A,True,True
14,Student_E,School_C,True,True
15,Student_A,School_D,False,False
15,Student_B,School_E,False,False
15,Student_C,School_B,False,False
15,Student_D,School_A,False,False
15,Student_E,School_C,False,False
16,Student_A,School_B,True,False
16,Student_B,School_C,True,False
16,Student_C,School_D,True,False
16,Student_D,School_A,True,False
16,Student_E,School_E,True,False
17,Student_A,School_B,True,True
17,Student_B,School_E,True,True
17,Student_C,School_D,True,True
17,Student_D,School_A,True,True
17,Student_E,School_C,True,True
18,Student_A,School_B,True,False
18,Student_B,School_C,True,False
18,Student_C,School_D,True,False
18,Student_D,School_A,True,False
18,Student_E,School_E,True,False
19,Student_A,School_B,True,False
19,Student_B,School_C,True,False
19,Student_C,School_D,True,False
19,Student_D,School_A,True,False
19,Student_E,School_E,True,False
20,Student_A,School_B,True,True
20,Student_B,School_E,True,True
20,Student_C,School_D,True,True
20,Student_D,School_A,True,True
20,Student_E,School_C,True,True
21,Student_A,School_D,False,False
21,Student_B,School_E,False,False
21,Student_C,School_B,False,False
21,Student_D,School_A,False,False
21,Student_E,School_C,False,False
22,Student_A,School_D,False,False
22,Student_B,School_C,False,False
22,Student_C,School_B,False,False
22,Student_D,School_A,False,False
22,Student_E,School_E,False,False
23,Student_A,School_B,True,False
23,Student_B,School_C,True,False
23,Student_C,School_D,True,False
23,Student_D,School_A,True,False
23,Student_E,School_E,True,False
24,Student_A,School_E,False,False
24,Student_B,School_B,False,False
24,Student_C,School_D,False,False
24,Student_D,School_A,False,False
24,Student_E,Unmatched,False,False
25,Student_A,School_E,False,True
25,Student_B,School_C,False,True
25,Student_C,School_D,False,True
25,Student_D,School_A,False,True
25,Student_E,School_B,False,True
26,Student_A,School_D,False,False
26,Student_B,School_C,False,False
26,Student_C,School_E,False,False
26,Student_D,School_A,False,False
26,Student_E,School_B,False,False
27,Student_A,School_D,False,False
27,Student_B,School_C,False,False
27,Student_C,School_B,False,False
27,Student_D,School_A,False,False
27,Student_E,School_E,False,False
28,Student_A,School_B,True,False
28,Student_B,School_C,True,False
28,Student_C,School_D,True,False
28,Student_D,School_A,True,False
28,Student_E,School_E,True,False
29,Student_A,School_E,False,False
29,Student_B,School_B,False,False
29,Student_C,School_D,False,False
29,Student_D,School_A,False,False
29,Student_E,Unmatched,False,False
30,Student_A,School_B,False,False
30,Student_B,School_E,False,False
30,Student_C,School_D,False,False
30,Student_D,School_C,False,False
30,Student_E,Unmatched,False,False
31,Student_A,School_E,False,False
31,Student_B,School_C,False,False
31,Student_C,School_D,False,False
31,Student_D,School_A,False,False
31,Student_E,Unmatched,False,False
32,Student_A,School_B,True,True
32,Student_B,School_E,True,True
32,Student_C,School_D,True,True
32,Student_D,School_A,True,True
32,Student_E,School_C,True,True
33,Student_A,School_D,False,False
33,Student_B,School_E,False,False
33,Student_C,School_B,False,False
33,Student_D,School_A,False,False
33,Student_E,Unmatched,False,False
34,Student_A,School_B,False,False
34,Student_B,School_E,False,False
34,Student_C,School_D,False,False
34,Student_D,School_A,False,False
34,Student_E,Unmatched,False,False
35,Student_A,School_D,False,False
35,Student_B,School_C,False,False
35,Student_C,Unmatched,False,False
35,Student_D,School_A,False,False
35,Student_E,School_B,False,False
36,Student_A,School_E,False,True
36,Student_B,School_C,False,True
36,Student_C,School_D,False,True
36,Student_D,School_A,False,True
36,Student_E,School_B,False,True
37,Student_A,School_B,True,True
37,Student_B,School_E,True,True
37,Student_C,School_D,True,True
37,Student_D,School_A,True,True
37,Student_E,School_C,True,True
38,Student_A,School_D,False,False
38,Student_B,School_E,False,False
38,Student_C,School_C,False,False
38,Student_D,School_A,False,False
38,Student_E,School_B,False,False
39,Student_A,School_D,False,False
39,Student_B,School_C,False,False
39,Student_C,School_E,False,False
39,Student_D,School_A,False,False
39,Student_E,School_B,False,False
40,Student_A,School_B,True,True
40,Student_B,School_E,True,True
40,Student_C,School_D,True,True
40,Student_D,School_A,True,True
40,Student_E,School_C,True,True
41,Student_A,School_B,True,True
41,Student_B,School_E,True,True
41,Student_C,School_D,True,True
41,Student_D,School_A,True,True
41,Student_E,School_C,True,True
42,Student_A,School_B,True,True
42,Student_B,School_E,True,True
42,Student_C,School_D,True,True
42,Student_D,School_A,True,True
42,Student_E,School_C,True,True
43,Student_A,School_D,False,False
43,Student_B,School_C,False,False
43,Student_C,School_B,False,False
43,Student_D,School_A,False,False
43,Student_E,School_E,False,False
44,Student_A,School_B,True,False
44,Student_B,School_C,True,False
44,Student_C,School_D,True,False
44,Student_D,School_A,True,False
44,Student_E,School_E,True,False
45,Student_A,School_B,True,False
