Trial,Agent,Matched_Partner,Stability,Efficiency,Matched_Company,Result_Rank
1,Student_A,School_B,False,False,School_B,4
1,Student_B,School_A,False,False,School_A,3
1,Student_C,School_D,False,False,School_D,1
1,Student_D,School_C,False,False,School_C,1
1,Student_E,School_E,False,False,School_E,5
2,Student_A,School_A,False,True,School_A,1
2,Student_B,School_B,False,True,School_B,1
2,Student_C,School_D,False,True,School_D,1
2,Student_D,School_C,False,True,School_C,1
2,Student_E,School_E,False,True,School_E,5
3,Student_A,School_E,False,False,School_E,5
3,Student_B,School_A,False,False,School_A,3
3,Student_C,School_D,False,False,School_D,1
3,Student_D,School_B,False,False,School_B,3
3,Student_E,School_C,False,False,School_C,1
4,Student_A,School_E,False,False,School_E,5
4,Student_B,School_A,False,False,School_A,3
4,Student_C,School_D,False,False,School_D,1
4,Student_D,School_C,False,False,School_C,1
4,Student_E,Unmatched,False,False,Unmatched,-
5,Student_A,Unmatched,False,False,Unmatched,-
5,Student_B,School_E,False,False,School_E,4
5,Student_C,School_D,False,False,School_D,1
5,Student_D,School_B,False,False,School_B,3
5,Student_E,School_C,False,False,School_C,1
6,Student_A,School_B,False,False,School_B,4
6,Student_B,School_C,False,False,School_C,5
6,Student_C,School_E,False,False,School_E,5
6,Student_D,School_A,False,False,School_A,2
6,Student_E,School_D,False,False,School_D,4
7,Student_A,School_B,False,False,School_B,4
7,Student_B,School_A,False,False,School_A,3
7,Student_C,School_E,False,False,School_E,5
7,Student_D,School_C,False,False,School_C,1
7,Student_E,School_D,False,False,School_D,4
8,Student_A,School_B,False,True,School_B,4
8,Student_B,School_E,False,True,School_E,4
8,Student_C,School_D,False,True,School_D,1
8,Student_D,School_A,False,True,School_A,2
8,Student_E,School_C,False,True,School_C,1
9,Student_A,School_B,False,True,School_B,4
9,Student_B,School_E,False,True,School_E,4
9,Student_C,School_D,False,True,School_D,1
9,Student_D,School_A,False,True,School_A,2
9,Student_E,School_C,False,True,School_C,1
10,Student_A,Unmatched,False,False,Unmatched,-
10,Student_B,School_E,False,False,School_E,4
10,Student_C,School_D,False,False,School_D,1
10,Student_D,School_B,False,False,School_B,3
10,Student_E,School_C,False,False,School_C,1
11,Student_A,School_E,False,False,School_E,5
11,Student_B,School_B,False,False,School_B,1
11,Student_C,School_D,False,False,School_D,1
11,Student_D,School_C,False,False,School_C,1
11,Student_E,Unmatched,False,False,Unmatched,-
12,Student_A,School_E,False,True,School_E,5
12,Student_B,School_B,False,True,School_B,1
12,Student_C,School_D,False,True,School_D,1
12,Student_D,School_A,False,True,School_A,2
12,Student_E,School_C,False,True,School_C,1
13,Student_A,School_B,False,True,School_B,4
13,Student_B,School_E,False,True,School_E,4
13,Student_C,School_D,False,True,School_D,1
13,Student_D,School_A,False,True,School_A,2
13,Student_E,School_C,False,True,School_C,1
14,Student_A,School_B,False,True,School_B,4
14,Student_B,School_E,False,True,School_E,4
14,Student_C,School_D,False,True,School_D,1
14,Student_D,School_A,False,True,School_A,2
14,Student_E,School_C,False,True,School_C,1
15,Student_A,School_B,False,False,School_B,4
15,Student_B,School_A,False,False,School_A,3
15,Student_C,School_E,False,False,School_E,5
15,Student_D,School_C,False,False,School_C,1
15,Student_E,School_D,False,False,School_D,4
16,Student_A,School_B,False,False,School_B,4
16,Student_B,School_E,False,False,School_E,4
16,Student_C,School_D,False,False,School_D,1
16,Student_D,School_C,False,False,School_C,1
16,Student_E,School_A,False,False,School_A,3
17,Student_A,School_E,False,False,School_E,5
17,Student_B,School_A,False,False,School_A,3
17,Student_C,School_D,False,False,School_D,1
17,Student_D,School_B,False,False,School_B,3
17,Student_E,School_C,False,False,School_C,1
18,Student_A,School_E,True,False,School_E,5
18,Student_B,School_A,True,False,School_A,3
18,Student_C,School_C,True,False,School_C,4
18,Student_D,School_B,True,False,School_B,3
18,Student_E,School_D,True,False,School_D,4
19,Student_A,School_B,False,False,School_B,4
19,Student_B,School_E,False,False,School_E,4
19,Student_C,School_D,False,False,School_D,1
19,Student_D,School_C,False,False,School_C,1
19,Student_E,Unmatched,False,False,Unmatched,-
20,Student_A,School_E,False,True,School_E,5
20,Student_B,School_A,False,True,School_A,3
20,Student_C,School_D,False,True,School_D,1
20,Student_D,School_C,False,True,School_C,1
20,Student_E,School_B,False,True,School_B,2
21,Student_A,School_E,True,False,School_E,5
21,Student_B,School_A,True,False,School_A,3
21,Student_C,School_C,True,False,School_C,4
21,Student_D,School_B,True,False,School_B,3
21,Student_E,School_D,True,False,School_D,4
22,Student_A,Unmatched,False,False,Unmatched,-
22,Student_B,School_B,False,False,School_B,1
22,Student_C,School_D,False,False,School_D,1
22,Student_D,School_A,False,False,School_A,2
22,Student_E,Unmatched,False,False,Unmatched,-
23,Student_A,School_B,False,True,School_B,4
23,Student_B,School_E,False,True,School_E,4
23,Student_C,School_D,False,True,School_D,1
23,Student_D,School_A,False,True,School_A,2
23,Student_E,School_C,False,True,School_C,1
24,Student_A,School_B,False,False,School_B,4
24,Student_B,School_A,False,False,School_A,3
24,Student_C,School_E,False,False,School_E,5
24,Student_D,School_C,False,False,School_C,1
24,Student_E,School_D,False,False,School_D,4
25,Student_A,School_B,False,False,School_B,4
25,Student_B,School_A,False,False,School_A,3
25,Student_C,School_D,False,False,School_D,1
25,Student_D,School_C,False,False,School_C,1
25,Student_E,School_E,False,False,School_E,5
26,Student_A,School_B,False,False,School_B,4
26,Student_B,School_A,False,False,School_A,3
26,Student_C,School_D,False,False,School_D,1
26,Student_D,School_C,False,False,School_C,1
26,Student_E,Unmatched,False,False,Unmatched,-
27,Student_A,School_E,False,False,School_E,5
27,Student_B,School_A,False,False,School_A,3
27,Student_C,School_D,False,False,School_D,1
27,Student_D,School_B,False,False,School_B,3
27,Student_E,School_C,False,False,School_C,1
28,Student_A,School_B,False,False,School_B,4
28,Student_B,School_C,False,False,School_C,5
28,Student_C,School_D,False,False,School_D,1
28,Student_D,School_A,False,False,School_A,2
