Trial,Agent,Matched_Partner,Stability,Efficiency,Matched_Company,Result_Rank
1,Parent_A,Nursery_E,True,False,Nursery_E,5
1,Parent_B,Nursery_A,True,False,Nursery_A,3
1,Parent_C,Nursery_C,True,False,Nursery_C,4
1,Parent_D,Nursery_B,True,False,Nursery_B,3
1,Parent_E,Nursery_D,True,False,Nursery_D,4
2,Parent_A,Nursery_B,False,False,Nursery_B,4
2,Parent_B,Nursery_A,False,False,Nursery_A,3
2,Parent_C,Nursery_D,False,False,Nursery_D,1
2,Parent_D,Nursery_E,False,False,Nursery_E,4
2,Parent_E,Nursery_C,False,False,Nursery_C,1
3,Parent_A,Nursery_B,False,False,Nursery_B,4
3,Parent_B,Nursery_A,False,False,Nursery_A,3
3,Parent_C,Nursery_D,False,False,Nursery_D,1
3,Parent_D,Nursery_C,False,False,Nursery_C,1
3,Parent_E,Nursery_E,False,False,Nursery_E,5
4,Parent_A,Nursery_A,False,False,Nursery_A,1
4,Parent_B,Nursery_E,False,False,Nursery_E,4
4,Parent_C,Nursery_C,False,False,Nursery_C,4
4,Parent_D,Nursery_B,False,False,Nursery_B,3
4,Parent_E,Nursery_D,False,False,Nursery_D,4
5,Parent_A,Nursery_B,False,True,Nursery_B,4
5,Parent_B,Nursery_E,False,True,Nursery_E,4
5,Parent_C,Nursery_D,False,True,Nursery_D,1
5,Parent_D,Nursery_A,False,True,Nursery_A,2
5,Parent_E,Nursery_C,False,True,Nursery_C,1
6,Parent_A,Nursery_E,False,True,Nursery_E,5
6,Parent_B,Nursery_B,False,True,Nursery_B,1
6,Parent_C,Nursery_D,False,True,Nursery_D,1
6,Parent_D,Nursery_A,False,True,Nursery_A,2
6,Parent_E,Nursery_C,False,True,Nursery_C,1
7,Parent_A,Nursery_B,False,False,Nursery_B,4
7,Parent_B,Nursery_A,False,False,Nursery_A,3
7,Parent_C,Nursery_E,False,False,Nursery_E,5
7,Parent_D,Nursery_C,False,False,Nursery_C,1
7,Parent_E,Nursery_D,False,False,Nursery_D,4
8,Parent_A,Nursery_B,False,False,Nursery_B,4
