Trial,Agent,Matched_Partner,Stability,Efficiency
1,Parent_A,Nursery_E,True,False
1,Parent_B,Nursery_B,True,False
1,Parent_C,Nursery_C,True,False
1,Parent_D,Nursery_A,True,False
1,Parent_E,Nursery_D,True,False
2,Parent_A,Nursery_E,True,False
2,Parent_B,Nursery_B,True,False
2,Parent_C,Nursery_C,True,False
2,Parent_D,Nursery_D,True,False
2,Parent_E,Nursery_A,True,False
3,Parent_A,Nursery_A,False,False
3,Parent_B,Nursery_C,False,False
3,Parent_C,Nursery_B,False,False
3,Parent_D,Nursery_D,False,False
3,Parent_E,Nursery_E,False,False
4,Parent_A,Nursery_A,False,False
4,Parent_B,Nursery_C,False,False
4,Parent_C,Nursery_B,False,False
4,Parent_D,Nursery_E,False,False
4,Parent_E,Nursery_D,False,False
5,Parent_A,Nursery_E,False,False
5,Parent_B,Nursery_C,False,False
5,Parent_C,Nursery_B,False,False
5,Parent_D,Nursery_A,False,False
5,Parent_E,Nursery_D,False,False
6,Parent_A,Nursery_A,False,False
6,Parent_B,Nursery_C,False,False
6,Parent_C,Nursery_B,False,False
6,Parent_D,Nursery_D,False,False
6,Parent_E,Nursery_E,False,False
7,Parent_A,Nursery_E,True,False
7,Parent_B,Nursery_B,True,False
7,Parent_C,Nursery_C,True,False
7,Parent_D,Nursery_D,True,False
7,Parent_E,Nursery_A,True,False
8,Parent_A,Nursery_E,False,False
8,Parent_B,Nursery_B,False,False
8,Parent_C,Nursery_D,False,False
8,Parent_D,Nursery_C,False,False
8,Parent_E,Nursery_A,False,False
9,Parent_A,Nursery_A,False,False
9,Parent_B,Nursery_C,False,False
9,Parent_C,Nursery_B,False,False
9,Parent_D,Nursery_E,False,False
9,Parent_E,Nursery_D,False,False
10,Parent_A,Nursery_E,False,True
10,Parent_B,Nursery_A,False,True
10,Parent_C,Nursery_B,False,True
10,Parent_D,Nursery_C,False,True
10,Parent_E,Nursery_D,False,True
11,Parent_A,Nursery_E,False,False
11,Parent_B,Nursery_B,False,False
11,Parent_C,Nursery_D,False,False
11,Parent_D,Nursery_C,False,False
11,Parent_E,Nursery_A,False,False
12,Parent_A,Nursery_E,False,False
12,Parent_B,Nursery_C,False,False
12,Parent_C,Nursery_B,False,False
12,Parent_D,Nursery_A,False,False
12,Parent_E,Nursery_D,False,False
13,Parent_A,Nursery_E,False,False
13,Parent_B,Nursery_C,False,False
13,Parent_C,Nursery_B,False,False
13,Parent_D,Nursery_D,False,False
13,Parent_E,Nursery_A,False,False
14,Parent_A,Nursery_E,True,False
14,Parent_B,Nursery_B,True,False
14,Parent_C,Nursery_C,True,False
14,Parent_D,Nursery_A,True,False
14,Parent_E,Nursery_D,True,False
