Trial,Agent,Matched_Partner,Stability,Efficiency,Matched_Company,Result_Rank
1,Parent_A,Nursery_E,True,False,Nursery_E,4
1,Parent_B,Nursery_B,True,False,Nursery_B,2
1,Parent_C,Nursery_C,True,False,Nursery_C,2
1,Parent_D,Nursery_A,True,False,Nursery_A,3
1,Parent_E,Nursery_D,True,False,Nursery_D,2
2,Parent_A,Nursery_E,True,False,Nursery_E,4
2,Parent_B,Nursery_B,True,False,Nursery_B,2
2,Parent_C,Nursery_C,True,False,Nursery_C,2
2,Parent_D,Nursery_D,True,False,Nursery_D,5
2,Parent_E,Nursery_A,True,False,Nursery_A,3
3,Parent_A,Nursery_A,False,False,Nursery_A,3
3,Parent_B,Nursery_C,False,False,Nursery_C,3
3,Parent_C,Nursery_B,False,False,Nursery_B,1
3,Parent_D,Nursery_D,False,False,Nursery_D,5
3,Parent_E,Nursery_E,False,False,Nursery_E,4
4,Parent_A,Nursery_A,False,False,Nursery_A,3
4,Parent_B,Nursery_C,False,False,Nursery_C,3
4,Parent_C,Nursery_B,False,False,Nursery_B,1
4,Parent_D,Nursery_E,False,False,Nursery_E,4
4,Parent_E,Nursery_D,False,False,Nursery_D,2
5,Parent_A,Nursery_E,False,False,Nursery_E,4
5,Parent_B,Nursery_C,False,False,Nursery_C,3
5,Parent_C,Nursery_B,False,False,Nursery_B,1
5,Parent_D,Nursery_A,False,False,Nursery_A,3
5,Parent_E,Nursery_D,False,False,Nursery_D,2
6,Parent_A,Nursery_A,False,False,Nursery_A,3
6,Parent_B,Nursery_C,False,False,Nursery_C,3
6,Parent_C,Nursery_B,False,False,Nursery_B,1
6,Parent_D,Nursery_D,False,False,Nursery_D,5
6,Parent_E,Nursery_E,False,False,Nursery_E,4
7,Parent_A,Nursery_E,True,False,Nursery_E,4
7,Parent_B,Nursery_B,True,False,Nursery_B,2
7,Parent_C,Nursery_C,True,False,Nursery_C,2
7,Parent_D,Nursery_D,True,False,Nursery_D,5
7,Parent_E,Nursery_A,True,False,Nursery_A,3
8,Parent_A,Nursery_E,False,False,Nursery_E,4
8,Parent_B,Nursery_B,False,False,Nursery_B,2
8,Parent_C,Nursery_D,False,False,Nursery_D,3
8,Parent_D,Nursery_C,False,False,Nursery_C,2
8,Parent_E,Nursery_A,False,False,Nursery_A,3
9,Parent_A,Nursery_A,False,False,Nursery_A,3
9,Parent_B,Nursery_C,False,False,Nursery_C,3
9,Parent_C,Nursery_B,False,False,Nursery_B,1
9,Parent_D,Nursery_E,False,False,Nursery_E,4
9,Parent_E,Nursery_D,False,False,Nursery_D,2
10,Parent_A,Nursery_E,False,True,Nursery_E,4
10,Parent_B,Nursery_A,False,True,Nursery_A,1
10,Parent_C,Nursery_B,False,True,Nursery_B,1
10,Parent_D,Nursery_C,False,True,Nursery_C,2
10,Parent_E,Nursery_D,False,True,Nursery_D,2
11,Parent_A,Nursery_E,False,False,Nursery_E,4
11,Parent_B,Nursery_B,False,False,Nursery_B,2
11,Parent_C,Nursery_D,False,False,Nursery_D,3
11,Parent_D,Nursery_C,False,False,Nursery_C,2
11,Parent_E,Nursery_A,False,False,Nursery_A,3
12,Parent_A,Nursery_E,False,False,Nursery_E,4
12,Parent_B,Nursery_C,False,False,Nursery_C,3
12,Parent_C,Nursery_B,False,False,Nursery_B,1
12,Parent_D,Nursery_A,False,False,Nursery_A,3
12,Parent_E,Nursery_D,False,False,Nursery_D,2
13,Parent_A,Nursery_E,False,False,Nursery_E,4
13,Parent_B,Nursery_C,False,False,Nursery_C,3
13,Parent_C,Nursery_B,False,False,Nursery_B,1
13,Parent_D,Nursery_D,False,False,Nursery_D,5
13,Parent_E,Nursery_A,False,False,Nursery_A,3
14,Parent_A,Nursery_E,True,False,Nursery_E,4
14,Parent_B,Nursery_B,True,False,Nursery_B,2
14,Parent_C,Nursery_C,True,False,Nursery_C,2
14,Parent_D,Nursery_A,True,False,Nursery_A,3
14,Parent_E,Nursery_D,True,False,Nursery_D,2
15,Parent_A,Nursery_A,False,False,Nursery_A,3
15,Parent_B,Nursery_C,False,False,Nursery_C,3
15,Parent_C,Nursery_B,False,False,Nursery_B,1
15,Parent_D,Nursery_E,False,False,Nursery_E,4
15,Parent_E,Nursery_D,False,False,Nursery_D,2
16,Parent_A,Nursery_A,False,True,Nursery_A,3
16,Parent_B,Nursery_E,False,True,Nursery_E,5
16,Parent_C,Nursery_B,False,True,Nursery_B,1
16,Parent_D,Nursery_C,False,True,Nursery_C,2
16,Parent_E,Nursery_D,False,True,Nursery_D,2
17,Parent_A,Nursery_E,False,False,Nursery_E,4
17,Parent_B,Nursery_C,False,False,Nursery_C,3
17,Parent_C,Nursery_B,False,False,Nursery_B,1
17,Parent_D,Nursery_D,False,False,Nursery_D,5
17,Parent_E,Nursery_A,False,False,Nursery_A,3
18,Parent_A,Nursery_E,False,False,Nursery_E,4
18,Parent_B,Nursery_C,False,False,Nursery_C,3
18,Parent_C,Nursery_B,False,False,Nursery_B,1
18,Parent_D,Nursery_D,False,False,Nursery_D,5
18,Parent_E,Nursery_A,False,False,Nursery_A,3
19,Parent_A,Nursery_E,False,False,Nursery_E,4
19,Parent_B,Nursery_C,False,False,Nursery_C,3
19,Parent_C,Nursery_B,False,False,Nursery_B,1
19,Parent_D,Nursery_D,False,False,Nursery_D,5
19,Parent_E,Nursery_A,False,False,Nursery_A,3
20,Parent_A,Nursery_E,False,False,Nursery_E,4
20,Parent_B,Nursery_C,False,False,Nursery_C,3
20,Parent_C,Nursery_B,False,False,Nursery_B,1
20,Parent_D,Nursery_D,False,False,Nursery_D,5
20,Parent_E,Nursery_A,False,False,Nursery_A,3
21,Parent_A,Nursery_A,False,False,Nursery_A,3
21,Parent_B,Nursery_B,False,False,Nursery_B,2
21,Parent_C,Nursery_D,False,False,Nursery_D,3
21,Parent_D,Nursery_C,False,False,Nursery_C,2
21,Parent_E,Nursery_E,False,False,Nursery_E,4
22,Parent_A,Nursery_E,False,False,Nursery_E,4
22,Parent_B,Nursery_C,False,False,Nursery_C,3
22,Parent_C,Nursery_B,False,False,Nursery_B,1
22,Parent_D,Nursery_A,False,False,Nursery_A,3
22,Parent_E,Nursery_D,False,False,Nursery_D,2
23,Parent_A,Nursery_E,True,False,Nursery_E,4
23,Parent_B,Nursery_B,True,False,Nursery_B,2
23,Parent_C,Nursery_C,True,False,Nursery_C,2
23,Parent_D,Nursery_D,True,False,Nursery_D,5
23,Parent_E,Nursery_A,True,False,Nursery_A,3
24,Parent_A,Nursery_A,False,True,Nursery_A,3
