Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","This is a seeker-proposing deferred acceptance process. Given full information, I maximize my outcome by listing my true preferences: misreporting cannot get me a better (higher-ranked) match and can only risk losing a chance at a more-preferred company. In particular, although Company_D ranks me last, applying there first is still optimal because if it ever becomes available to me, it would only be because higher-priority seekers choose/keep other options; delaying that application could cause me to miss it. If rejected from D, I proceed to A, then B, then E, then C in my true order.",True,Company_A,True,True,2
1,Seeker_B,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","I can guarantee my top true choice (Company_E) by ranking it first: Company_E’s top priority is Seeker_A, but Seeker_A applies to Company_D first and will be accepted there (Company_D ranks Seeker_A last and prefers Seeker_B, but Seeker_B won’t apply to D initially; Seeker_A faces no competition at D in round 1), so Seeker_A never applies to E. Other seekers who might apply to E (Seeker_C) are lower priority than me at E, and in fact Seeker_C applies to D then C first. Therefore applying to E first secures E immediately and avoids any risk from strategic misordering. The remaining order follows my true preferences since I don’t expect to be rejected from E.",True,Company_B,True,True,3
1,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","To maximize my outcome under seeker-proposing deferred acceptance, I should apply in my true order. My top choice Company_D is heavily contested (A, D, E also apply there first), and Company_D’s priority ranks me 4th, so I will be rejected regardless of what I do unless higher-priority seekers leave. Next, Company_C is my best remaining option and is relatively safe because Company_C ranks me last, but the main competitors who might apply there (D and E) are likely to be held by Company_D or Company_E based on their own preferences and those companies’ priorities, so I can secure Company_C in the next round if rejected by D. Misreporting by skipping ahead (e.g., putting Company_A or Company_E above Company_C) risks ending up at a worse firm (A or B) without improving my chance at D, so truthful ranking is optimal here.",True,Company_C,True,True,2
1,Seeker_D,"['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","I rank Company_D first because it is my top true choice and I have strong priority there (2nd). Although Seeker_B has higher priority at Company_D, Seeker_B’s first choice is Company_E where they are likely to be rejected by Seeker_A (who is top priority at Company_E). Seeker_B would then apply to Company_A (their 2nd choice) rather than Company_D, so applying to Company_D first should secure it for me. I keep the rest in my true order as insurance: Company_B next (I am top priority there), then Company_C (also top priority), then Company_A, then Company_E.",True,Company_D,True,True,1
1,Seeker_E,"['Company_D', 'Company_E', 'Company_C', 'Company_B', 'Company_A']","['Company_D', 'Company_E', 'Company_C', 'Company_B', 'Company_A']","I should rank Company_D first because it is my top true choice and I have relatively strong priority there (3rd), while the main competitor for D is Seeker_B (1st) and Seeker_D (2nd). If I lose D, my best fallback is Company_E, where I am 3rd and may win the seat if Seeker_A and Seeker_D are pulled to other matches (A tends to go for D first; D tends to go for D first). Next is Company_C where I am 2nd and can often beat others if Seeker_D is placed elsewhere. Company_B is very hard for me (last priority), so it stays below C. Company_A is worst for me in true preferences and also risky because Seeker_C is likely to apply there early and is ahead of most others there, so I keep it last.",True,Company_E,True,True,2
2,Seeker_A,"['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","['Company_E', 'Company_D', 'Company_A', 'Company_B', 'Company_C']","Given all preferences/priorities and running the job-seeker-proposing deferred acceptance, applying to Company_D first is very risky because Company_D’s priority ranks Seeker_A last, and Seeker_B also applies to D and is D’s top choice, so I would be rejected immediately. If I instead apply to Company_E first, Company_E ranks Seeker_A first, so I am accepted and never displaced. This guarantees my best achievable outcome under the mechanism (since I cannot obtain Company_D due to D’s priorities and competition). The remaining order follows my true preferences among the remaining firms.",False,Company_E,False,False,4
2,Seeker_B,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","I should rank truthfully. Under the job-seeker-proposing deferred acceptance procedure, submitting my true preferences is a dominant strategy: misreporting cannot get me a better (higher-ranked) final match and can only risk losing a chance at a more-preferred company. Given others’ preferences and firms’ priorities, my best achievable outcome is Company_D (Company_E and Company_A will be taken by higher-priority applicants), so I keep my true order to ensure I reach the best feasible option without unnecessary risk.",True,Company_B,False,False,3
2,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","I cannot improve my final match by misreporting because the process is the job-seeker-proposing deferred acceptance algorithm, where truthful reporting is a dominant strategy for seekers. Given others’ preferences, Company_D will receive multiple first-round applications (A, C, D, E), and Company_D’s top priority among them is Seeker_D, so I will be rejected from D and then apply to my next choice. At Company_C, the main competitor is Seeker_D (who ranks C third) and Seeker_E (who ranks C third), but both are likely to be held elsewhere (D/E) before reaching C; meanwhile Company_C ranks me last, so I should still list C as my second choice because any attempt to ‘game’ by moving lower choices up would only risk ending with a worse company without increasing my chance at a better one.",True,Company_A,False,False,4
2,Seeker_D,"['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","I rank Company_D first because it is my top true choice and I have the 2nd-highest priority there (only Seeker_B is ahead). Seeker_B is expected to start at Company_E (their top), so I should be able to secure Company_D immediately and avoid later competition. Listing Company_B second is strong insurance because Company_B ranks me #1, so if I were unexpectedly rejected from Company_D, I would win Company_B against any applicant. Next I keep Company_C, where I am also ranked #1, as additional safety. Company_A is lower for me and I am only 3rd in its priority, and Company_E is my least preferred and more competitive, so they go last in that order.",True,Company_D,False,False,1
2,Seeker_E,"['Company_D', 'Company_E', 'Company_C', 'Company_B', 'Company_A']","['Company_D', 'Company_E', 'Company_C', 'Company_B', 'Company_A']","To maximize my final match under the seeker-proposing deferred acceptance process, I should apply in my true preference order. I am 3rd in Company_D’s priority, so applying there first gives me the only chance to get my top choice (I can only win it if higher-priority seekers don’t end up there). If rejected from D, my next best is Company_E where I am also 3rd in priority; applying next preserves the possibility of landing E before moving on. For Company_C I am 2nd in priority, making it a strong fallback if I lose D/E. Company_B ranks me last, so it is a weak option and should stay below C. Company_A ranks me 1st, but I personally value it least, so it should remain last since I’d rather secure a higher-preferred firm earlier and only use A as a final safety net if all better options reject me.",True,Company_C,False,False,3
3,Seeker_A,"['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","Given full information and a seeker-proposing deferred acceptance process, submitting my true preference order is optimal: it cannot make me worse off and can only (weakly) improve my outcome compared to misreporting. Applying first to Company_D is worth it despite low priority there because if I’m rejected, I can still fall back to Company_A/B/E/C in order. Any attempt to ‘game’ by ranking a safer option first would risk locking me into a lower-ranked match and missing a chance at a higher-ranked one.",True,Company_A,True,True,2
3,Seeker_B,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","I should report my true preferences. In a job-seeker-proposing deferred acceptance process, ranking a less-preferred company higher cannot help me get a more-preferred outcome, because I can only be rejected downward and any tentative hold I get can be improved only by applying to higher-ranked options first. Given others’ preferences and firms’ priorities, applying first to Company_E (my top choice) is best even though I’m not their top priority; if rejected, I then move to Company_A, then Company_B, etc., ensuring I never forgo a chance at a more-preferred match.",True,Company_B,True,True,3
