Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","['Company_D', 'Company_E', 'Company_A', 'Company_B', 'Company_C']","I rank Company_D first because it is my top true choice, but Company_D’s priority list puts me last, so I will be rejected once higher-priority applicants (especially Seeker_B/Seeker_D/Seeker_E/Seeker_C) apply there. Anticipating that, I place Company_E second because Company_E ranks me #1, so if I apply there in round 2 I will displace any temporary admit and secure a final match. I keep the remaining companies in my true-preference order as fallbacks, but they are unlikely to be reached given Company_E’s strong priority for me.",False,Company_E,True,False,4
1,Seeker_B,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_D', 'Company_E', 'Company_A', 'Company_B', 'Company_C']","I cannot obtain Company_E because Company_E will always keep Seeker_A over me (higher priority) and Seeker_A applies to E first and never gets displaced there. Company_A is also unattainable because Company_A will always keep Seeker_E (top priority), and Seeker_E will apply to A after being rejected by D (where D prefers me). Therefore my best achievable match is Company_D, where I am the top-priority applicant; by ranking D first I secure it immediately and avoid being stuck in worse outcomes caused by rejections and cascading competition at B/C.",False,Company_D,True,False,4
1,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_A', 'Company_C', 'Company_E', 'Company_B']","I rank Company_D first because it is my top true choice and I have relatively strong priority there (4th), so I can win it if higher-priority seekers don’t end up applying/holding it. If I’m rejected from D, my best attainable fallback is Company_A: although A is 4th on my true list, Company_A ranks me 2nd, making it very likely I can secure it once I apply (especially if Seeker_E does not apply there). I place Company_C next because Company_C ranks me last, so it is very unlikely I can obtain it in any round; putting it earlier would risk wasting an early application step. Company_E is also difficult (they rank me last), but still preferable to Company_B, where I am 4th and face strong competition. This ordering maximizes my chance to end at D, and if not, to quickly lock in A rather than losing it while chasing low-probability options.",False,Company_A,True,False,4
1,Seeker_D,"['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","I rank Company_D first because it is my top true choice and I have high priority there (2nd), so I can win it unless Seeker_B applies (they are ranked above me and also prefer Company_D first). If Seeker_B takes Company_D, my best achievable fallback is Company_B where I am the top priority, so listing Company_B second guarantees I secure it immediately upon rejection from D. After that I keep my remaining true preferences in order (C, A, E) since I also have strong priorities at C (top) and E (2nd), and no beneficial misreport improves upon the D-then-B strategy given others’ preferences and priorities.",True,Company_B,True,False,2
1,Seeker_E,"['Company_D', 'Company_E', 'Company_C', 'Company_B', 'Company_A']","['Company_D', 'Company_E', 'Company_C', 'Company_B', 'Company_A']","Apply to Company_D first because it is my top true choice and I have relatively strong priority there (3rd), so if higher-priority seekers (especially Seeker_B or Seeker_D) do not apply or later get displaced elsewhere, I can secure it. If rejected, apply to Company_E next since it is my 2nd true choice and I am also 3rd in its priority list, giving a solid chance if higher-priority applicants are filtered out. Then proceed to Company_C where I am 2nd in priority (very strong fallback), followed by Company_B (low priority) and finally Company_A (where I am top priority, but it is my least preferred). This ordering best balances reaching my top choices while preserving strong priority fallbacks under the deferred acceptance process.",True,Company_C,True,False,3
2,Seeker_A,"['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","I should submit my true preference order because the procedure is job-seeker-proposing deferred acceptance, where ranking a company higher cannot hurt my final match (it only affects where I apply earlier). With full information: in round 1 I apply to Company_D but will be rejected because Company_D’s top applicant among those who apply there is Seeker_B (higher priority than me). Then I apply to Company_A and will also be rejected because Company_A prefers Seeker_C over me. Next I apply to Company_B, where I have high priority (2nd) and will be accepted over Seeker_C/Seeker_E, and no later step can dislodge me because any higher-priority applicant for Company_B (Seeker_D) is expected to remain with Company_D. Thus truthful ordering yields my best achievable outcome (Company_B).",True,Company_A,True,False,2
2,Seeker_B,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_D', 'Company_E', 'Company_A', 'Company_B', 'Company_C']","Given all preferences/priorities, applying truthfully is best. If I apply first to Company_E, I am only 4th in its priority and will be rejected once Company_A (their top choice) applies there after being rejected by Company_D. If instead I apply first to Company_D, I am Company_D’s top priority, so I will be held there permanently (Company_D will never drop me). Company_D is my 4th true choice, but it is the best outcome I can guarantee; my top three (E, A, B) are effectively unreachable because those firms have higher-priority applicants who will end up applying to them and displacing me. After Company_D, I list remaining firms in true-preference order.",False,Company_D,True,False,4
2,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","To maximize my outcome under job-seeker-proposing deferred acceptance, I should submit my true preference order. As Seeker_C, my top choice is Company_D, but Company_D prioritizes Seeker_B, then Seeker_D, then Seeker_E ahead of me, so I am likely to be rejected there. The algorithm then moves me to my next best options. Company_C ranks me last, so I will also likely be rejected if higher-priority seekers apply. Company_E also ranks me last. Company_A ranks me 2nd (behind Seeker_E), making it my best realistic fallback if I get rejected elsewhere. Company_B ranks me 4th, my weakest fallback. Any misreport (e.g., moving Company_A earlier) risks giving up a chance at a better company without improving my ability to displace higher-priority candidates at D/C/E, so truthful ordering is optimal.",True,Company_C,True,False,2
2,Seeker_D,"['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","Apply to Company_D first because it is my top true choice and I have 2nd priority there; although Seeker_B has higher priority at D, B applies to E first and is likely to be accepted there, so D should remain available for me. Even if B later applies to D, I can still secure a strong fallback: Company_B ranks me #1, so listing it second guarantees acceptance if I ever get rejected from D. Next, Company_C also ranks me #1, making it a safe third option. Company_A ranks me mid-pack and Company_E ranks me #2, but they are less reliable given other seekers’ top choices, so they go last in my true-preference order.",True,Company_B,True,False,2
2,Seeker_E,"['Company_D', 'Company_E', 'Company_C', 'Company_B', 'Company_A']","['Company_E', 'Company_D', 'Company_C', 'Company_B', 'Company_A']","I want Company_D most, but Company_D’s top priority is Seeker_B, who also ranks Company_D low enough that they will likely apply there after being rejected elsewhere; this makes it hard for me to hold Company_D if I go there early. Company_E is my second choice and I am ranked 3rd there; importantly, higher-priority seekers (Seeker_A and Seeker_D) are likely to get/keep other top options (especially Company_D), so Company_E is relatively “safe” for me to secure. By ranking Company_E first, I can get a strong, stable match and avoid ending up pushed down later. After that I list the remaining firms in true-preference order as fallbacks.",False,Company_E,True,False,2
