Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","Because the mechanism is serial dictatorship (earlier seekers take their top remaining option), my best strategy is to rank companies in my true order. Misreporting cannot help: if a higher true choice (e.g., Company_E) is available when I am called, listing it lower would only make me pick a worse company; if it is already taken, its position on my list is irrelevant and I move to the next available option. Given others’ preferences, Company_E is highly demanded, so I should keep it first to capture it whenever I have the chance, then proceed with my true next-best fallbacks.",True,Company_E,False,True,1
1,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","This is a serial dictatorship: when I am called, I get my highest-ranked remaining option from my submitted list, so misreporting cannot improve my outcome (it can only cause me to skip a still-available better company). Therefore I should submit my true preference order to always take the best available company at my turn.",True,Company_C,False,True,2
1,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","This is a serial dictatorship: when I am called, I receive the highest-ranked company on my submitted list that is still available. Since my position in the random order is unknown and I cannot improve my chances by misreporting (ranking a less-preferred firm above a more-preferred one can only cause me to take it when a better option was available), the best strategy is to submit my true preference order so I always pick my favorite remaining company at my turn.",True,Company_D,False,True,1
1,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","This is a random serial dictatorship: when it is my turn, I get my highest-ranked remaining company from my submitted list. Given no ability to condition on the realized order, the best strategy is to report my true preference order because any reordering that moves a less-preferred company above a more-preferred one can only cause me to pick the worse option in states where the better one is still available, and cannot improve my outcome when the better one is unavailable (I would then move down the list anyway). Therefore I submit my true ranking.",True,Company_A,False,True,2
1,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","This is a serial-dictatorship style assignment: when it is my turn, I get the highest-ranked remaining company on my submitted list. Since my submission cannot affect what earlier seekers take, and misreporting can only risk pushing me away from a better available option, the best strategy is to submit my true preference order so that I always pick my favorite among what remains.",True,Company_B,False,True,4
2,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","This is a serial dictatorship: when I am called, I get my highest-ranked remaining company from my submitted list. Since I cannot gain by misranking (I would only risk taking a less-preferred company while a more-preferred one might still be available), the best strategy is to submit my true preference order. This guarantees that at my turn I pick the best available option according to my actual preferences.",True,Company_E,False,True,1
2,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","The mechanism is serial dictatorship: when it is my turn I receive the highest-ranked company on my submitted list that is still available. Therefore, I should rank companies in my true preference order; any misreport (e.g., moving a “safer” option up) can only cause me to take that lower option in cases where a higher option would have been available, and it cannot increase the chance of getting a higher-ranked company because availability is determined solely by earlier seekers’ picks. So I submit my true ranking.",True,Company_C,False,True,2
2,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","Because assignment is serial dictatorship (earlier seekers take their top remaining choice), my best strategy is to rank companies in my true order—there is no benefit to misreporting since I cannot affect earlier picks and I want the best available option when my turn arrives. Given others’ preferences, Company_D is frequently taken early (Seeker_A ranks it 3rd, Seeker_B 3rd, Seeker_D 4th, Seeker_E 3rd), but it is still my top choice if available; similarly Company_C and Company_E are also in high demand. Therefore I submit my true preference order to always take the best remaining option at my turn.",True,Company_D,False,True,1
2,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","This is a serial dictatorship: when I am called, I get my top remaining option from my submitted list. Misreporting can only hurt because it could cause me to pick a less-preferred company even when a more-preferred one is still available; it cannot make a more-preferred company available if it has already been taken by earlier seekers. Therefore, the best strategy is to submit my true preference order.",True,Company_B,False,True,3
2,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","This is a serial dictatorship: when it is my turn, I get the highest-ranked company on my submitted list that is still available. Since my submitted ranking cannot affect which companies earlier seekers take, the best strategy is to submit my true preference order so that whenever I choose, I take my most-preferred remaining option. Therefore I rank Company_C first, then Company_A, then Company_D, then Company_B, then Company_E.",True,Company_A,False,True,2
3,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","This is a serial dictatorship (random order) mechanism, so my best strategy is to rank companies truthfully: when it is my turn, I will be assigned my highest-ranked company that is still available. Misreporting cannot make a higher true-preference company available, and can only risk being assigned to a lower true-preference company if a better one is still open. Therefore I submit my true preference order.",True,Company_B,True,True,2
3,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","This is a serial-dictatorship style process: when it is my turn, I get the highest company on my submitted list that is still available, and I cannot be displaced later. Therefore, misreporting cannot improve my outcome—ranking a less-preferred company above a more-preferred one can only cause me to take the worse company in states where the better one was actually available. So the best strategy is to submit my true preference order.",True,Company_E,True,True,1
3,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","Because assignment is determined by a random serial order and each seeker simply takes their top remaining option, my best strategy is to rank companies in my true preference order. Misreporting (e.g., ranking a “safer” company higher) could only cause me to forgo Company_D or Company_C in cases where they would have been available when I am called, and it cannot make an already-taken company available. Therefore, listing my true order maximizes my outcome for every possible availability set when it is my turn.",True,Company_D,True,True,1
3,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","This is a serial dictatorship: when I am called, I get my highest-ranked remaining company from my submitted list. So I should list companies in my true order to always take my most-preferred available option at my turn. Any strategic reordering (e.g., ranking a “safer” company higher) could only make me pick a less-preferred company even in cases where a better one is still available, and it cannot improve what is available when my turn arrives. Therefore I submit my true preference order.",True,Company_A,True,True,2
3,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","This is a serial dictatorship: when it is my turn, I receive the highest-ranked company on my submitted list that is still available. There is no benefit to misreporting because ranking a less-preferred company above a more-preferred one can only cause me to be assigned the worse company in cases where the better one is still available; it cannot increase the chance the better one is available (availability depends only on earlier seekers’ choices). Therefore, I should submit my true preference order to ensure I always take my most-preferred remaining option at my turn.",True,Company_C,True,True,1
4,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","This is a serial dictatorship (random order, each seeker takes their top remaining option). In this environment, submitting your true preference order is optimal because (i) listing a less-preferred company above a more-preferred one can only cause you to take the worse company in states where the better one is still available, and (ii) if a better company is already taken when it is your turn, ranking it higher does not hurt—you simply move to the next available option. Given others’ preferences, Company_E and Company_B are highly demanded, but misreporting cannot improve your access to them under this mechanism; it can only risk locking you into a lower-ranked choice when a higher-ranked one was still free. Therefore, submit the true order.",True,Company_E,False,True,1
4,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","This is a serial dictatorship: when I am called, I get the highest-ranked remaining company on my submitted list. Misreporting cannot help because ranking a less-preferred company above a more-preferred one only increases the chance I take the worse option while the better one might still be available. Therefore, the best strategy is to submit my true preference order.",True,Company_D,False,True,3
4,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","Because assignment is purely by random serial order and each seeker gets their top remaining option, my submitted list should reflect my true preferences. Any misreport (e.g., ranking a “safer” company higher) can only cause me to take a less-preferred company in states where my top choices would have been available, and it cannot make a taken company available. Therefore, the best strategy is to list companies in my true order: D first, then C, then E, then A, then B.",True,Company_A,False,True,4
4,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","This is a serial dictatorship (random order) mechanism, so my best strategy is to rank companies in my true order: whenever I am called, I receive the highest-ranked company on my submitted list that is still available. Misreporting (e.g., moving a 'safer' company up) can only cause me to take that lower option even in cases where a higher true preference would have still been available. Therefore, submitting my true preference list maximizes my outcome for every possible serial position and availability set.",True,Company_B,False,True,3
4,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","This is a serial dictatorship: when it is my turn, I receive the highest-ranked company on my submitted list that is still available. Therefore, my best strategy is to submit my true preference order (no benefit to misranking because earlier choices cannot hurt me if they are already taken, and misranking could cause me to accept a less-preferred company while a more-preferred one remains available).",True,Company_C,False,True,1
5,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","This is a serial dictatorship: when I am called, I get my highest-ranked remaining company from the list I submit. Since there is no penalty for ranking a company higher (it only helps if it is still available), the best strategy is to submit my true preference order. Any misreport (e.g., moving Company_B above Company_E) could only hurt me in cases where Company_E is still available when I choose, because I would then forgo my top option. Therefore I list companies exactly as in my true preferences.",True,Company_B,True,True,2
