Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_B', 'Company_E', 'Company_D', 'Company_A', 'Company_C']","Given full information, the best achievable match for Seeker_A under this top-trading-cycles-style procedure is Company_B. If I rank Company_E first, Company_E will identify Seeker_E (its top choice), and Seeker_E applies to Company_C, which identifies Seeker_B, creating a loop that fills Company_E and blocks me from it. By ranking Company_B first, I form an immediate mutual match because Company_B’s top priority is Seeker_A, so I am admitted to Company_B in Step 1. No alternative ranking can secure Company_E for me, so I should lock in Company_B as my best feasible outcome.",False,Company_B,True,True,2
1,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","This procedure is the Top Trading Cycles mechanism (applications point to a company; each company points to its top-priority remaining seeker). Truth-telling is a dominant strategy for seekers in TTC: misreporting cannot improve your final assignment and can only weakly hurt it. Given company priorities, you are the top priority at Company_C and Company_A, and second at Company_E; submitting your true order maximizes your chance to obtain your most-preferred feasible company under TTC. With truthful reporting, you end up in the cycle Seeker_B→Company_E and Company_E→Seeker_B immediately, securing Company_E (your top choice).",True,Company_E,True,True,1
1,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","To maximize my outcome under this top-trading-cycles style procedure, I should apply first to my true top choice. In Step 1, Company_D identifies me (Seeker_C) as its top remaining priority among applicants/seekers (Company_D ranks Seeker_A first, but Seeker_A applies to Company_E; thus Company_D’s highest-priority seeker in the identification graph is Seeker_C). Since I also apply to Company_D, this creates an immediate closed loop (Seeker_C ↔ Company_D), guaranteeing I am permanently admitted to Company_D right away. Any deviation from ranking Company_D first risks losing that guaranteed loop and being pushed to a worse company after seats fill.",True,Company_D,True,True,1
1,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","Given others’ first choices, Company_E will be heavily contested (A, B, and I all apply there first) and Company_E’s top priority is Seeker_E, then Seeker_B, then Seeker_A, placing me behind them. Under the loop/chain mechanism, this makes it unlikely I secure Company_E if I rank it first. By contrast, Company_A ranks me 2nd (after Seeker_B), and Seeker_B is likely to be absorbed by Company_E early, which frees Company_A to identify me in a later step. Ranking Company_A immediately after Company_E preserves my (small) upside chance at E while positioning me to capture A as soon as B is removed. After that, Company_B and Company_D are realistic fallbacks (B ranks me last; D ranks me 3rd), and Company_C is least attractive, so it goes last.",True,Company_A,True,True,2
1,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","Submit the true preference order. Under this top-trading-cycles style procedure, you can’t improve your final match by misreporting: if you are part of a closed loop, you are locked into the company you applied to, so ranking a less-preferred company above a more-preferred one can only make you exit earlier into a worse match. With full information, your best chance at Company_C is to apply there immediately; if you don’t get it because Company_C identifies higher-priority seekers, the process will move you to the best remaining option, so keeping the rest in true order preserves the best fallback outcomes.",True,Company_C,True,True,1
2,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","Submit the truthful order. Under this TTC-style procedure (applications point to companies; companies point to their top remaining seeker), misreporting can only move you away from your best achievable stable outcome. With everyone’s given preferences/priorities, you are Company_B’s top priority and would secure Company_B if Company_E is taken by higher-priority seekers; ranking Company_B second preserves that best fallback while still giving you the chance at Company_E first.",True,Company_B,False,True,2
2,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_C', 'Company_D', 'Company_B', 'Company_A']","This procedure is the student-proposing top trading cycles style: in each round, every seeker points to their top remaining company, and each company points to its top remaining seeker; any cycle is finalized. To maximize my outcome, I should rank my true top choice first unless misreporting can move me into a better cycle. Here, Company_E’s top priority is Seeker_E, so Seeker_E and Company_E form an immediate 2-cycle in round 1 regardless of my report, making Company_E unattainable for me. Next, Company_C’s top priority is Seeker_B (me). If I rank Company_C first, I create an immediate 2-cycle (me ↔ Company_C) in round 1 and lock in my best feasible option. Any strategy that does not put Company_C first risks me being removed later to a worse company (since other cycles can clear seats/seekers before I get a chance). The remaining order can follow my true preferences among the still-possible options.",False,Company_C,False,True,2
2,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","Rank Company_D first because it is my top true choice and Company_D’s top priority is Seeker_A (who will apply to Company_E first), so I am likely to be Company_D’s identified candidate early, creating a direct match/loop if I apply there. Keeping Company_C second is safe because it is my next-best option and Company_C will likely be taken by Seeker_B (its top priority) but only if Seeker_B applies there; if not, it remains my best remaining fallback. Company_E third because it is highly contested (Seeker_A, Seeker_B, Seeker_D all rank it first) and Company_E ranks me last, so listing it earlier would not help and could only waste my early application. Company_A fourth and Company_B fifth because both companies rank me relatively low compared with other seekers, so they are least likely to accept me unless their top candidates are matched elsewhere; I keep them in true-preference order as late fallbacks.",True,Company_D,False,True,1
2,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","This procedure is the student-proposing Top Trading Cycles style: in each round, each seeker points to their top remaining company and each company points to its top remaining seeker; any cycles are finalized. To maximize my outcome, I should rank companies in my true order because misreporting can only cause me to point away from a more-preferred available company when a favorable cycle could form. In particular, Company_E ranks me 4th, so I likely won’t win E if Seeker_E/B/A remain; my best attainable match is Company_A (where I’m ranked 2nd). Keeping Company_E first preserves any chance of an E-cycle if higher-priority seekers are removed, while placing Company_A next preserves the strong chance to cycle into A once Company_E is taken. Lower options follow in true order.",True,Company_E,False,True,1
2,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","To maximize my outcome, I should target the best company I can realistically secure given others’ first choices and companies’ top priorities. In Step 1, A applies to E, B to E, C to D, D to E, and I apply to C. Company_C’s top remaining priority among applicants is Seeker_B, but B is applying to E, so no 2-cycle there. However, Company_E identifies me (Seeker_E) as its top priority, while I point to C, creating the chain C→B→E→E (since E identifies me and I point to C). This forms a closed loop involving me, so I get admitted to Company_C immediately. Any deviation (e.g., applying to A or D first) would not improve my match because those companies do not prioritize me highly and would be captured by higher-priority seekers, risking a worse eventual assignment. Therefore, submitting my true order is optimal, with Company_C first to lock in my top choice via the loop in Step 1.",True,Company_A,False,True,2
