Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_A', 'Company_C', 'Company_D', 'Company_B', 'Company_E']","['Company_A', 'Company_C', 'Company_D', 'Company_B', 'Company_E']","Under this top-trading-cycles style procedure, submitting your true preference order is optimal: you cannot improve your final match by misreporting, because once a closed loop forms you are permanently assigned and cannot later trade up. With full information, the resulting cycles lead you to Company_D; changing your ranking cannot create a cycle that gives you Company_A or Company_C because those seats are taken in earlier cycles by higher-priority seekers at those firms. Therefore, the best strategy is to report your true preferences.",True,Company_E,False,False,5
1,Seeker_B,"['Company_B', 'Company_D', 'Company_A', 'Company_E', 'Company_C']","['Company_B', 'Company_D', 'Company_A', 'Company_E', 'Company_C']","Submit the true preference order. In this top-trading-cycles style procedure, you cannot improve your outcome by misreporting: you either get your best available company through a cycle or, if blocked by higher-priority seekers at earlier choices, you move on. Ranking Company_B first is still optimal because Company_B’s top priority (Seeker_D) applies to Company_C, and Company_C’s top priority (Seeker_C) applies to Company_D, and Company_D identifies Seeker_D—forming a cycle (D↔C) that removes those competitors without harming your chance at Company_B. After that, Company_B identifies you as its highest remaining priority, so keeping Company_B first ensures you lock in your top choice as soon as it becomes available.",True,Company_B,False,False,1
1,Seeker_C,"['Company_D', 'Company_A', 'Company_B', 'Company_C', 'Company_E']","['Company_C', 'Company_D', 'Company_A', 'Company_B', 'Company_E']","Company_D is your top true choice, but Company_D’s highest priorities are Seeker_D then Seeker_E, and both of those seekers rank Company_D last/4th, so D will not be in an early closed loop with you. In contrast, Company_C ranks you as its top priority, and although you only rank C 4th, listing Company_C first guarantees an immediate 2-cycle in Step 1 (you apply to C and C identifies you), locking in a sure match. If you list Company_D first, you likely lose the Step-1 match and then face competition for other firms; Company_A and Company_B both rank you low, making them unreliable. Therefore, to maximize the probability of securing a high outcome given the mechanism’s early-loop permanence, you should place Company_C first to ensure employment, then keep the remaining order aligned with your true preferences among the rest.",False,Company_C,False,False,4
1,Seeker_D,"['Company_C', 'Company_A', 'Company_B', 'Company_E', 'Company_D']","['Company_C', 'Company_A', 'Company_B', 'Company_E', 'Company_D']","To maximize my outcome I should aim for my top choice Company_C, but Company_C’s top priority is Seeker_C, who also ranks Company_D first; meanwhile Company_D’s top priority is me (Seeker_D). This creates a stable closed loop in the first step if I apply to Company_C: D→C, C identifies C; C→D, D identifies D, so I get admitted to Company_C immediately. Any deviation (e.g., applying to A or B first) risks being locked into a lower-ranked company due to early loops and the fact that several companies rank me highly, so truthfully ranking Company_C first is best.",True,Company_A,False,False,2
1,Seeker_E,"['Company_C', 'Company_B', 'Company_A', 'Company_D', 'Company_E']","['Company_D', 'Company_C', 'Company_B', 'Company_A', 'Company_E']","Given others’ first choices, Company_C will immediately match with Seeker_C (Company_C’s top priority) and be removed, so ranking Company_C first would waste the first round. The best achievable stable outcome for me is Company_D: in round 1, Company_D identifies me as its top remaining among applicants (since Seeker_D applies to Company_C), and a closed loop forms (D→E while E→B and B→A and A→D), which admits me to Company_D. Any attempt to target Company_B or Company_A instead is blocked because Company_B prioritizes Seeker_D/Seeker_A/Seeker_B above me and Company_A prioritizes Seeker_B/Seeker_D/Seeker_A above me, so I cannot secure those seats. Therefore, I should put Company_D first to lock in the best feasible match, then list remaining true preferences in descending order.",False,Company_D,False,False,4
2,Seeker_A,"['Company_A', 'Company_C', 'Company_D', 'Company_B', 'Company_E']","['Company_A', 'Company_C', 'Company_D', 'Company_B', 'Company_E']","Given the procedure, your first-round application matters most because any closed loop found is final. If you apply to Company_A, Company_A identifies Seeker_B (its top), and Seeker_B applies to Company_B, which identifies Seeker_D, who applies to Company_C, which identifies Seeker_C, who applies to Company_D, which identifies Seeker_D. This creates a closed loop that finalizes B->B, D->C, and C->D, leaving Company_A still open. In the next step, you can then apply to Company_A again (still your top remaining), and with Seeker_B and Seeker_D removed, Company_A identifies you, creating a direct match and securing your top choice. Any deviation (e.g., starting at Company_C or Company_D) risks being locked into a worse loop or losing Company_A to another seeker in a later round. Therefore, submitting your true order is optimal and yields Company_A.",True,Company_A,False,True,1
2,Seeker_B,"['Company_B', 'Company_D', 'Company_A', 'Company_E', 'Company_C']","['Company_B', 'Company_D', 'Company_A', 'Company_E', 'Company_C']","Submit the true preference order. In this top-trading-cycles style procedure, you can never be harmed by ranking a more-preferred company above a less-preferred one, because applications only move down your list when higher-ranked options are already filled, and closed loops lock in assignments based on current top choices. With the given priorities, you are not Company_B’s top priority (Company_B prefers Seeker_D then Seeker_A), so trying to game by not listing Company_B first cannot improve your chance at Company_B and can only risk locking you into a worse loop. Keeping Company_D second preserves the best available fallback, and then Company_A/Company_E/Company_C follow your true order.",True,Company_B,False,True,1
2,Seeker_C,"['Company_D', 'Company_A', 'Company_B', 'Company_C', 'Company_E']","['Company_D', 'Company_A', 'Company_B', 'Company_C', 'Company_E']","Submit the true preference order. Under this top-trading-cycles style procedure, you can only ever be assigned to a company you apply to, and cycles are formed using companies’ top remaining priorities. Starting with Company_D maximizes the chance of being in an early cycle for your top choice; if that seat is taken in a cycle not involving you, the algorithm removes it and you then apply to the best remaining option. Reordering to chase “more attainable” firms risks locking you into a worse early-cycle match (e.g., Company_C, which prioritizes you highly) and losing the opportunity for Company_D/A if they remain available later.",True,Company_D,False,True,1
2,Seeker_D,"['Company_C', 'Company_A', 'Company_B', 'Company_E', 'Company_D']","['Company_C', 'Company_A', 'Company_B', 'Company_E', 'Company_D']","To maximize my outcome, I should rank companies to avoid being locked into a worse match early. I am Company_B’s top priority and Company_D’s top priority, but those are lower on my true preferences. If I list them early, the algorithm can form a closed loop quickly and permanently admit me there. By listing Company_C first (my top choice), I keep open the chance to get it if higher-priority seekers for Company_C (Seeker_C, Seeker_B) are diverted elsewhere. Next, I list Company_A (my second choice), where I am high priority (2nd) and can plausibly secure it if Seeker_B takes Company_B. Only after trying for C and A do I list Company_B, since it is a safe fallback where I am ranked #1. Then Company_E, and finally Company_D as last resort.",True,Company_C,False,True,1
2,Seeker_E,"['Company_C', 'Company_B', 'Company_A', 'Company_D', 'Company_E']","['Company_C', 'Company_B', 'Company_A', 'Company_D', 'Company_E']","To maximize my outcome, I should target the best company where I can be part of an early closed loop. If I apply to Company_C first, Company_C identifies Seeker_C, who applies to Company_D; Company_D identifies Seeker_D, who applies to Company_C, creating a closed loop that admits me to Company_C immediately. This guarantees my top choice. Any deviation (e.g., applying first to Company_B or Company_A) risks being displaced by higher-priority seekers and ending up at a lower-ranked company or unemployed.",True,Company_E,False,True,5
3,Seeker_A,"['Company_A', 'Company_C', 'Company_D', 'Company_B', 'Company_E']","['Company_A', 'Company_C', 'Company_D', 'Company_B', 'Company_E']","This procedure is the Top Trading Cycles mechanism with companies pointing to their highest-priority remaining seeker. With truthful preferences, the unique TTC outcome here gives Seeker_A -> Company_B (since Company_B points to Seeker_D, Seeker_D applies to Company_C, Company_C points to Seeker_C, Seeker_C applies to Company_D, Company_D points to Seeker_D, forming a cycle that assigns D->C, C->D; then A applies to Company_A but A points to Seeker_B who ends up at A, leaving A to take Company_B, and E takes Company_E). Under TTC, a participant cannot improve their assignment by misreporting (strategy-proof), so submitting the true preference order is optimal.",True,Company_A,False,True,1
3,Seeker_B,"['Company_B', 'Company_D', 'Company_A', 'Company_E', 'Company_C']","['Company_B', 'Company_D', 'Company_A', 'Company_E', 'Company_C']","To maximize my outcome, I should aim for my top true choice (Company_B) while accounting for the top-trading-cycles style “closed loop” admissions. In round 1, Company_B’s top priority is Seeker_D (not me), and Company_C’s top priority is Seeker_B (me). If I apply to Company_B first, I am not in any immediate 1-cycle, but a 3-cycle forms: Seeker_D applies to Company_C, Company_C identifies me, I apply to Company_B, and Company_B identifies Seeker_D. This closes the loop and admits me to Company_B (my #1). Any deviation from ranking Company_B first risks either placing me into a different loop that sends me to a worse company (e.g., applying to Company_C first would create a direct 1-cycle Company_C↔Seeker_B, yielding Company_C, my worst). Therefore I keep my true preference order with Company_B first to secure the best attainable match.",True,Company_B,False,True,1
3,Seeker_C,"['Company_D', 'Company_A', 'Company_B', 'Company_C', 'Company_E']","['Company_D', 'Company_A', 'Company_B', 'Company_C', 'Company_E']","This procedure is the Top Trading Cycles mechanism (applications point to companies; companies point to their top remaining seeker). If I apply to Company_D first (my true top), Company_D points to Seeker_D, Seeker_D applies to Company_C, and Company_C points to me, forming a closed loop that assigns me to Company_D immediately. Any attempt to apply elsewhere first (e.g., Company_A/B/C/E) either creates a loop that assigns me to a worse company (like Company_C if I apply there) or still ultimately routes me to Company_D but with more risk and no upside. Therefore, truthfully ranking Company_D first is optimal, and the rest can follow my true preferences.",True,Company_D,False,True,1
3,Seeker_D,"['Company_C', 'Company_A', 'Company_B', 'Company_E', 'Company_D']","['Company_C', 'Company_A', 'Company_B', 'Company_E', 'Company_D']","This procedure is the top-trading-cycles style: in each round, every seeker points to their top remaining company and each company points to its top remaining seeker; any cycle locks in. If I rank Company_C first (my true top), I do not form a 2-cycle because Company_C’s top choice is Seeker_C, who points to Company_D, and Company_D points to me, creating the cycle Seeker_C→Company_D→Seeker_D→Company_C→Seeker_C. That cycle executes immediately, matching me to Company_C (best possible). Any attempt to start by pointing elsewhere (e.g., Company_A or Company_B) risks being pulled into a different early cycle that gives me a worse company. Therefore, submitting my true order is optimal here, with Company_C first to secure the immediate cycle outcome.",True,Company_C,False,True,1
3,Seeker_E,"['Company_C', 'Company_B', 'Company_A', 'Company_D', 'Company_E']","['Company_C', 'Company_B', 'Company_A', 'Company_D', 'Company_E']","Submit the true order. In Step 1, top applications are: A->Company_A, B->Company_B, C->Company_D, D->Company_C, E->Company_C. Each company identifies its top-priority seeker overall: Company_A picks Seeker_B, Company_B picks Seeker_D, Company_C picks Seeker_C, Company_D picks Seeker_D, Company_E picks Seeker_A. This creates a closed loop: Seeker_C applies to Company_D and Company_D identifies Seeker_D; Seeker_D applies to Company_C and Company_C identifies Seeker_C, so Seeker_C gets Company_D and Seeker_D gets Company_C. Remaining (A,B,E) with remaining seats (A,B,E): A applies Company_A, B applies Company_B, E applies Company_B (if truthful). Company_A identifies B; Company_B identifies A; Company_E identifies A. This forms a loop A->Company_A identifies B->Company_B identifies A, so A gets Company_A and B gets Company_B, leaving only Company_E for Seeker_E. Since Seeker_E is lowest priority at Company_B and Company_C and cannot displace others, there is no beneficial misreport that yields Company_C, Company_B, Company_A, or Company_D; the best achievable outcome is Company_E, so reporting truthfully is optimal and safe.",True,Company_E,False,True,5
4,Seeker_A,"['Company_A', 'Company_C', 'Company_D', 'Company_B', 'Company_E']","['Company_A', 'Company_C', 'Company_D', 'Company_B', 'Company_E']","Given others’ first choices (B->Company_B, C->Company_D, D->Company_C, E->Company_C), applying to Company_A first is best: Company_A’s top priority is Seeker_B, but Seeker_B applies to Company_B, so Company_A will identify Seeker_B and not me in step 1. However, this creates a closed loop A->Company_A identifies B, B->Company_B identifies D, D->Company_C identifies C, C->Company_D identifies D (cycle among B/D/C/D), which resolves without involving me, leaving Company_A still open for later. In step 2, Company_A will then identify me (since B and D are gone and I outrank E and C there), and if I apply to Company_A again as my top remaining option, I match. Any attempt to rank Company_C or Company_D first is worse because those companies prioritize other seekers above me and are likely to fill immediately in step 1, while Company_A remains my highest attainable option. Therefore, truth-telling is optimal here.",True,Company_E,False,False,5
4,Seeker_B,"['Company_B', 'Company_D', 'Company_A', 'Company_E', 'Company_C']","['Company_B', 'Company_D', 'Company_A', 'Company_E', 'Company_C']","Under this top-trading-cycles style procedure, truthful reporting is a safe best response: misordering can only cause me to apply to a less-preferred firm earlier and potentially get locked in via a loop before reaching a better option. With my true order, I first apply to Company_B; although Company_B’s top priority is Seeker_D, in Step 1 there is a closed loop (Seeker_D→Company_C, Company_C identifies Seeker_D), which removes Seeker_D and Company_C. Then in Step 2, Company_B’s highest-priority remaining seeker is Seeker_A, but Seeker_A applies to Company_A while Company_A identifies me, creating the loop Company_B→Seeker_A→Company_A→Seeker_B→Company_B, which matches me to Company_B (my top choice). Any deviation that moves Company_B down risks missing this favorable loop and being locked into a worse company.",True,Company_B,False,False,1
4,Seeker_C,"['Company_D', 'Company_A', 'Company_B', 'Company_C', 'Company_E']","['Company_C', 'Company_D', 'Company_A', 'Company_B', 'Company_E']","Under this top-trading-cycles-style procedure, your best achievable outcome is Company_C. Company_D will be taken immediately by Seeker_D (Company_D’s top priority) in the first loop, and Company_A will be taken by Seeker_B via the A↔B mutual top loop. If you rank Company_C first, you form an immediate mutual match with Company_C (they rank you #1), locking in Company_C in Step 1. If instead you rank D or A first, you won’t be selected by them and you risk losing Company_C to another applicant in Step 1. After securing C, the remaining order should follow your true preferences among the remaining companies.",False,Company_C,False,False,4
