Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_B', 'School_A', 'School_C', 'School_D', 'School_E']","['School_B', 'School_A', 'School_C', 'School_D', 'School_E']","All schools share the same priority order with Student_A ranked highest everywhere, so Student_A will always be accepted at the first school they apply to and will never be displaced. Therefore the best strategy is to submit the true preference order so you immediately secure your top choice (School_B) in Part 1, and Part 2’s blocking-student removal will not change your final admission.",True,School_B,True,True,1
1,Student_B,"['School_A', 'School_C', 'School_B', 'School_E', 'School_D']","['School_A', 'School_C', 'School_B', 'School_E', 'School_D']","All schools share the same priority order (A > B > C > D > E), so as Student_B I am always the second-highest priority applicant at any school. In Part 1, each of the other students applies to a distinct first-choice school, so there is no competition at any first-choice; I will be accepted immediately at my first-ranked school if I list it first. Listing my true top choice (School_A) first guarantees I secure School_A and cannot be displaced by any higher-priority student (only Student_A has higher priority, but they apply to School_B first and never need to move). The Part 2 blocking-student cleanup does not change my final admission, so there is no benefit to strategic misordering. Therefore, I should submit my true preference order.",True,School_A,True,True,1
1,Student_C,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_B', 'School_C', 'School_A', 'School_D', 'School_E']","Given all schools share the same priority order (A > B > C > D > E), outcomes are determined by who applies where first. If I rank School_C first (my true top), I will be rejected because Student_B (higher priority) also applies to School_C early after being rejected from School_A, and School_C prefers B over me. Ranking School_B first secures me a seat immediately because only Student_A targets School_B first, and School_B prefers A over me but A is then displaced by B (who moves from School_C to School_B), leaving School_C open for me as my second choice. This yields a final match at School_C, my best possible outcome.",False,School_C,True,True,1
1,Student_D,"['School_D', 'School_A', 'School_C', 'School_B', 'School_E']","['School_D', 'School_A', 'School_C', 'School_B', 'School_E']","Under the Part 1 student-proposing deferred acceptance, reporting true preferences is optimal for a student when schools’ priorities are fixed. Given all schools share the same priority order (A > B > C > D > E), Student_D is lower priority than A/B/C everywhere, so trying to game the order cannot improve access to higher-ranked schools; it can only risk ending up with a less-preferred final match. With everyone else’s first choices (A->B, B->A, C->C, D->D, E->E), there is no competition at School_D in round 1, so ranking School_D first guarantees Student_D secures their top choice immediately and will not be displaced later. The Part 2 blocking-student cleanup does not change Student_D’s final admission, so the best submission is the true list with School_D first.",True,School_D,True,True,1
1,Student_E,"['School_E', 'School_B', 'School_A', 'School_C', 'School_D']","['School_E', 'School_B', 'School_A', 'School_C', 'School_D']","All schools share the same priority order (A > B > C > D > E), so as Student_E you have the lowest priority everywhere. With 1 seat per school, the best strategy is to apply truthfully to your top choice first because (i) you cannot gain priority by ranking differently, and (ii) the procedure is student-proposing and only rejects you when a higher-priority student applies. In round 1, each of Students A–D applies to a different school (B, A, C, D respectively), so no one applies to School_E except you; you are accepted immediately and no later application can displace you because no other student ever applies to School_E in their preference lists. Therefore ranking School_E first guarantees your best possible outcome, and the remaining order can match your true preferences.",True,School_E,True,True,1
2,Student_A,"['School_B', 'School_A', 'School_C', 'School_D', 'School_E']","['School_B', 'School_A', 'School_C', 'School_D', 'School_E']","All schools share the same priority order with Student_A ranked highest everywhere. Therefore, under the Step-by-step student-proposing procedure in Part 1, Student_A will always be temporarily admitted to the first school they apply to and will never be displaced. The Part 2 blocking-student removal only applies to students who move away from a school they were temporarily holding; since Student_A will not move, Part 2 will not change Student_A’s outcome. Thus, the best strategy is to submit the true preference order so you apply first to your top choice and secure it immediately.",True,School_B,True,True,1
2,Student_B,"['School_A', 'School_C', 'School_B', 'School_E', 'School_D']","['School_A', 'School_C', 'School_B', 'School_E', 'School_D']","All schools share the same priority order (A > B > C > D > E), so as Student_B I am always second-highest priority everywhere. In Part 1, each student applies to their first choice: A->B, B->A, C->C, D->D, E->E, so there is no competition and I get School_A immediately. No later step can dislodge me because no one ever applies to School_A (except me), and even if they did, only Student_A could outrank me but they prefer School_B and will keep it. The Part 2 blocking-student cleanup cannot worsen my outcome. Therefore, submitting my true preferences (with School_A first) is optimal and guarantees my best possible match (School_A).",True,School_A,True,True,1
2,Student_C,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","Given all schools share the same priority order (A > B > C > D > E) and each has 1 seat, the outcome under this deferred-acceptance-like process is effectively determined by priorities: Student_A will take their top choice, Student_B will then get their best remaining feasible option, and as Student_C (3rd priority everywhere) I cannot displace A or B at any school. If I rank School_C first, I will be rejected because Student_B applies to School_C first and has higher priority; then I can secure School_B, which is my best achievable match. Any alternative ordering that puts School_B first yields the same final match, but listing true preferences is safe and the Part 2 'blocking student' cleanup does not change my final admission. Therefore I submit my true preference order.",True,School_C,True,True,1
2,Student_D,"['School_D', 'School_A', 'School_C', 'School_B', 'School_E']","['School_D', 'School_B', 'School_A', 'School_C', 'School_E']","Given all schools share the same priority order (A > B > C > D > E), Student_D is ranked 4th everywhere. With everyone applying to their top choices first, Student_D cannot win School_D (Student_A has higher priority and applies there in round 1). The best achievable outcome is School_B: after round 1, Student_A holds School_D, Student_B holds School_A, Student_C holds School_C, and Student_E holds School_E, leaving School_B empty; applying to School_B next secures it. Therefore, submit School_D first (no downside), then School_B second to capture the only open seat Student_D can obtain before being rejected elsewhere; the remaining schools follow true preference order as fallbacks.",False,School_D,True,True,1
2,Student_E,"['School_E', 'School_B', 'School_A', 'School_C', 'School_D']","['School_E', 'School_B', 'School_A', 'School_C', 'School_D']","All schools share the same priority order (A > B > C > D > E), so as Student_E you are lowest priority everywhere. To get School_E, you need it to be unclaimed by higher-priority students. In round 1, Students A–D apply to Schools B, A, C, and D respectively, so no one applies to School_E. If you rank School_E first, you are accepted immediately and never rejected, so you keep School_E through Part 1. Part 2 only removes schools where you were a temporary blocker and later moved; since you never move, it cannot change your assignment. Therefore, submitting your true order is optimal and guarantees your top choice School_E.",True,School_E,True,True,1
