Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","Because admissions are final immediately and schools that fill in earlier steps are no longer available later, the safest way to maximize the chance of getting the best possible school is to apply in the same order as my true preferences. Ranking a less-preferred school higher could lock me into a worse final outcome even if I might have been able to get a more-preferred school by applying there first.",True,School_A,False,True,2
1,Student_B,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","With final (non-deferred) acceptance each round, the safest way to maximize the chance of ending up at the highest-ranked feasible school is to apply in the same order as true preferences. Any attempt to “game” by listing a lower school first risks getting permanently locked into a worse option even if a higher option might have been available later. Since there is no information about priorities at each school, truth-telling best preserves access to top choices.",True,School_E,False,True,1
1,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","With permanent admissions and schools disappearing once filled, the best strategy (absent any information about other students’ priorities or preferences) is to apply in the same order as your true preferences. Ranking a less-preferred school higher could lock you into an inferior final match, while ranking your top choice first gives the only chance to secure it and you can still fall back to lower choices if rejected and if those schools remain available.",True,School_C,False,True,2
1,Student_D,"['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","With final admissions at each step and no ability to displace earlier admits, the safest way to maximize your outcome is to apply in your true order of desirability. Any attempt to “game” by ranking a less-preferred school earlier risks locking in a worse final match if you get admitted there, while ranking a more-preferred school later only increases the chance it fills before you can apply. Therefore, submit your true preference order.",True,School_D,False,True,1
1,Student_E,"['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","With immediate final admissions each step and no information about other students’ choices or schools’ priority rankings, the safest strategy is to rank schools in your true order. Any misreport (e.g., ranking a less-preferred school higher) could lock you into a worse final match if you are admitted early, and cannot reliably improve your outcome without specific information about competition and priorities.",True,School_B,False,True,4
2,Student_A,"['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","Because admissions are final immediately and schools that fill in earlier steps disappear, the safest way to maximize the chance of getting the best possible school is to apply in the same order as my true preferences. Any attempt to “game” by ranking a lower school first risks locking in a worse final match and losing the chance at a higher-ranked school permanently.",True,School_A,False,True,2
2,Student_B,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","With final admissions at each step and no information about other students’ priorities or likely competition, the safest strategy to maximize the chance of the best possible outcome is to rank schools in true preference order. Any “gaming” by ranking a less-preferred school higher risks locking in a worse final match if admitted early, while not improving the chance of getting a more-preferred school (since you can only apply there if it remains available later). Therefore, submit the true preference list as the choice ranking list.",True,School_E,False,True,1
2,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","With immediate and final admissions each step, you should apply to your most-preferred school first because delaying it only risks it filling in Step 1 and becoming unavailable later, while applying earlier to a less-preferred school could lock you into a worse final match. With no information suggesting a strategic benefit to misordering, the best strategy is to submit your true preference order.",True,School_C,False,True,2
2,Student_D,"['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","With final admissions at each step and no information about other students or school priorities, the safest strategy to maximize your outcome on your true preferences is to apply in your true order. Any misreport (e.g., ranking a less-preferred school higher) risks getting permanently locked into a worse match if you are admitted there, with no ability to later move to a more-preferred school. Therefore, submit your true preference list unchanged.",True,School_D,False,True,1
2,Student_E,"['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","With final admissions each step and no information about other students or school priorities, the safest strategy to maximize the chance of getting the best attainable outcome on my true preference list is to rank schools in my true order. Any misreport (e.g., ranking a lower school first) risks being permanently admitted to a less-preferred school even if I might have been admitted to a higher-preferred one. Therefore I submit my true preference order.",True,School_B,False,True,4
3,Student_A,"['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","With immediate final admissions and schools disappearing once filled, the safest strategy is to apply in the same order as true preferences: always try for the most-preferred remaining option first. Any attempt to “game” by ranking a safer school higher risks locking in a worse final match and losing the chance at School_D (or other higher choices) in Step 1.",True,School_A,False,True,2
