Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_E', 'School_B', 'School_D', 'School_A', 'School_C']","['School_E', 'School_B', 'School_D', 'School_A', 'School_C']","This is a random-serial-dictatorship (sequential choice) mechanism: when it is my turn, I get the highest-ranked school on my submitted list that is still available. Given this, listing a less-preferred school above a more-preferred one can only hurt me (it could cause me to take the worse school even when the better one is available), and it cannot help me obtain a better school than my top available option at my turn. Therefore, the best strategy is to submit my true preference order unchanged.",True,School_E,False,True,1
1,Student_B,"['School_E', 'School_C', 'School_D', 'School_B', 'School_A']","['School_E', 'School_C', 'School_D', 'School_B', 'School_A']","The procedure is serial dictatorship: when it is my turn, I get the highest-ranked school on my submitted list that is still available. Since availability depends only on earlier students (random order) and not on school priorities, ranking a less-preferred school above a more-preferred one can only hurt me (it could cause me to take the worse school even when the better one is still open) and cannot help me obtain a better school. Therefore, the best strategy is to submit my true preference order.",True,School_B,False,True,4
1,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","The mechanism is serial dictatorship: when it is my turn, I receive the highest-ranked school on my submitted list that is still available. Since my position in the random order is unknown and I cannot gain by ranking a less-preferred school above a more-preferred one (it would only risk taking a worse school if both are available), the best strategy is to submit my true preference order.",True,School_D,False,True,1
1,Student_D,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","This is a random serial dictatorship: you get the best remaining school according to the list you submit. Since you cannot improve your outcome by ranking a less-preferred school above a more-preferred one (doing so could only cause you to take the worse school when the better one is still available), the optimal strategy is to submit your true preferences in order. This maximizes your outcome for every possible position in the random order.",True,School_A,False,True,2
1,Student_E,"['School_C', 'School_A', 'School_D', 'School_B', 'School_E']","['School_C', 'School_A', 'School_D', 'School_B', 'School_E']","The mechanism is random serial dictatorship: when my turn comes, I get my highest-ranked school that is still available. Therefore, I should rank schools in my true order; misreporting cannot improve what I receive because it can only cause me to pick a less-preferred available school when a more-preferred one is still open, and it cannot make a taken school become available. So I submit my true preference list.",True,School_C,False,True,1
2,Student_A,"['School_E', 'School_B', 'School_D', 'School_A', 'School_C']","['School_E', 'School_B', 'School_D', 'School_A', 'School_C']","This is a random serial dictatorship: when it is my turn, I receive the highest-ranked school on my submitted list that is still available. Since my position in the random order is unknown and I cannot benefit from listing a less-preferred school above a more-preferred one (doing so could only cause me to pick the worse school even when the better one is available), the optimal strategy is to submit my true preference order. This weakly dominates any misreport and maximizes my outcome for every possible serial position.",True,School_E,False,True,1
2,Student_B,"['School_E', 'School_C', 'School_D', 'School_B', 'School_A']","['School_E', 'School_C', 'School_D', 'School_B', 'School_A']","This is a random serial dictatorship: when it is my turn, I get my highest-ranked school still available. In this mechanism, listing a less-preferred school above a more-preferred one can only hurt me (it could make me take the worse school even when the better one is still open), and cannot help me obtain a better school because my earlier choices do not affect availability. Therefore, the best strategy is to report my true preference order.",True,School_C,False,True,2
2,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","This is a random serial dictatorship: when it’s your turn, you get your highest-ranked remaining school from the list you submit. Since you cannot affect earlier students and listing a less-preferred school above a more-preferred one can only hurt you (you might be forced to take it even when a better option is still available), the best strategy is to submit your true preference order. Priorities at schools are irrelevant here because schools do not choose—only availability matters.",True,School_D,False,True,1
2,Student_D,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","This is a random-serial-dictatorship (sequential choice) mechanism: when it is my turn, I get the highest-ranked school on my submitted list that is still available. I cannot improve my outcome by ranking a less-preferred school above a more-preferred one, because doing so would only cause me to take the less-preferred school in states where the better school is available. Therefore, the best strategy is to submit my true preference order unchanged.",True,School_A,False,True,2
2,Student_E,"['School_C', 'School_A', 'School_D', 'School_B', 'School_E']","['School_C', 'School_A', 'School_D', 'School_B', 'School_E']","This is a random serial dictatorship: when it is my turn, I receive my highest-ranked school that is still available, and my list only matters in how it orders the schools. There is no benefit to misreporting because moving a less-preferred school above a more-preferred one can only cause me to take the less-preferred school in cases where the better one is still available. Therefore, the optimal strategy is to submit my true preference order.",True,School_B,False,True,4
3,Student_A,"['School_E', 'School_B', 'School_D', 'School_A', 'School_C']","['School_E', 'School_B', 'School_D', 'School_A', 'School_C']","This is a random serial dictatorship: when it is my turn, I get my highest-ranked school that is still available. Misreporting cannot make me get a better school than my top remaining option at my turn; ranking a less-preferred school above a more-preferred one can only risk being assigned to the less-preferred school if both are available. Therefore, the optimal strategy is to submit my true preference order.",True,School_B,False,True,2
3,Student_B,"['School_E', 'School_C', 'School_D', 'School_B', 'School_A']","['School_E', 'School_C', 'School_D', 'School_B', 'School_A']","This is a random serial dictatorship: when it is my turn, I get the highest-ranked remaining school on my submitted list, and schools do not use priorities at all. Therefore, I cannot gain by misreporting—ranking a less-preferred school above a more-preferred one could only cause me to take the worse school in states where the better one is still available, and it never helps me obtain a better school when the better one is unavailable (I would simply move down the list then). So the optimal strategy is to submit my true preference order.",True,School_A,False,True,5
3,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","This is a random serial dictatorship: when it is my turn, I receive my highest-ranked school that is still available, and earlier students’ picks fully determine what remains. Because I cannot affect which schools are taken before me, my best strategy is to rank schools in my true order of preference so that whenever I am called, I take the best remaining option among those I truly want. Any misreport (e.g., moving a “safer” school up) can only cause me to choose a less-preferred school in scenarios where a more-preferred one was still available, and it cannot make an already-taken school available.",True,School_D,False,True,1
