Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","This procedure is the student-proposing Top Trading Cycles: in each round, every remaining student points to their top remaining school, and each school points to its highest-priority remaining student; all cycles are finalized. Given all preferences/priorities, in Round 1 the pointers create the cycle Student_A→School_A→Student_B→School_B→Student_D→School_C→Student_C→School_D→Student_A, so Student_A is admitted to School_A immediately if School_A is ranked first. School_A is also your top true choice, and no alternative ordering can improve on receiving your first-choice school, so you should submit your true order with School_A first.",True,School_A,False,True,1
1,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","This procedure is the Top Trading Cycles mechanism. With strict priorities and full information, truth-telling is a dominant strategy: no alternative ranking can get you a school you prefer more than the TTC outcome from reporting your true preferences. Reporting your true list ensures you keep access to the best available cycle you can be part of and avoids harming yourself by misordering schools.",True,School_B,False,True,1
1,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","This procedure is Top Trading Cycles. To get the best possible school, submit your true preferences: TTC is strategy-proof for students, so misreporting cannot improve your outcome and can only risk losing a higher-ranked option. With the given priorities, you are School_C’s top priority, but since you prefer School_D > School_A > School_B > School_C, ranking truthfully ensures you only trade down if higher choices are unattainable given others’ applications and schools’ top-priority pointers.",True,School_D,False,True,1
1,Student_D,"['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","This procedure is the Top Trading Cycles mechanism: in each round, every student points to their top remaining school and each school points to its highest-priority remaining student; all cycles are finalized. Under TTC, reporting your true preference order is a dominant strategy (misreporting cannot get you a better school than truthful reporting). With truthful reporting, you immediately form a 2-cycle with School_C because you apply to School_C and School_C’s top priority is Student_C who applies to School_D, and School_D’s top priority is you (Student_D) who applies to School_C, creating the cycle Student_D→School_C→Student_C→School_D→Student_D, so you secure your top choice School_C. Any deviation risks breaking this cycle and can only weakly hurt you.",True,School_C,False,True,1
1,Student_E,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","This procedure is the student-proposing Top Trading Cycles (TTC): in each round, each student points to their top remaining school, each school points to its highest-priority remaining student, and all cycles are finalized. With the given preferences/priorities, the first-round pointers create a cycle that includes me if I point to School_C: Student_E→School_C and School_C’s top remaining student among applicants is Student_E (since Student_C and Student_B point elsewhere, and Student_D points to School_C but is ranked below me at School_C). That yields an immediate cycle (E↔C), locking in my #1 true choice. Any deviation (e.g., pointing to School_B or School_A) would not improve on #1 and could risk being pulled into a different cycle leading to a worse assignment. Therefore, I should submit my true ranking with School_C first.",True,School_E,False,True,5
2,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","This procedure is the student-proposing Top Trading Cycles. It is strategy-proof for students: given full information, you cannot improve your final assignment by misreporting preferences; the best way to maximize your outcome on your true preference list is to submit it truthfully. With everyone applying to their top choices initially, School_A points to Student_B, School_B points to Student_D, School_C points to Student_C, School_D points to Student_D, School_E points to Student_A. The first closed loop is Student_C ↔ School_D (Student_C applies to School_D and School_D identifies Student_C), so Student_C is removed with School_D filled. Next, Student_B applies to School_B and School_B identifies Student_B, so Student_B is removed with School_B filled. Then Student_D applies to School_C and School_C identifies Student_D, so Student_D is removed with School_C filled. Finally, you (Student_A) apply to School_A and School_A identifies you (among remaining students), so you are matched to School_A, your top true choice. Any deviation risks losing this top match and cannot yield a better-than-top outcome.",True,School_A,False,True,1
2,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","Submit the true preference order. Under the described top-trading-cycles mechanism with fixed priorities, truthful reporting is a dominant strategy: misranking cannot secure a more-preferred school and can only risk losing access to your top options. With your priorities, you are not the top priority at School_B or School_D (your top two), so trying to game by ranking a different school first would not create a beneficial cycle leading to B or D, but could instead lock you into a worse assignment if a cycle forms early. Therefore, keep School_B first, then School_D, then School_A, School_E, School_C.",True,School_B,False,True,1
2,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","This procedure is the Top Trading Cycles mechanism: in each round, each student points to their top remaining school and each school points to its highest-priority remaining student; any cycles are finalized. Given the full information, you (Student_C) are School_C’s top priority, while your top true choice School_D points first to Student_D (its top priority), who points to School_C as their top choice. If you rank School_D first (truthful), the first-round pointers create the cycle Student_D→School_C→Student_C→School_D→Student_D, which assigns you to School_D (your #1). Any attempt to rank School_C above School_D would instead create a 2-cycle (you↔School_C) and lock you into School_C, which is worse for you. Therefore, submit your true preference order with School_D first.",True,School_D,False,True,1
2,Student_D,"['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","The described procedure is the Top Trading Cycles (TTC) mechanism: in each round, each student points to their top remaining school and each school points to its highest-priority remaining student; any cycles are finalized. Under TTC, reporting your true preference order is a dominant strategy (strategy-proof), meaning no misreport can yield you a strictly better assignment given others' reports. Therefore, to maximize the chance of receiving the highest possible school on your true list, you should submit your true ranking unchanged.",True,School_C,False,True,1
2,Student_E,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","This procedure is the Top Trading Cycles mechanism. With strict priorities and one seat per school, TTC is strategy-proof for students: you cannot get a better outcome by misreporting your ranking. Therefore, submitting my true preference order is optimal. Under truthful TTC here, the cycles resolve so that I ultimately match to School_D; changing my list cannot improve on that, and could only risk a worse assignment if it caused me to be removed in a different cycle.",True,School_E,False,True,5
