Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","This procedure is the Top Trading Cycles mechanism: each student points to their top remaining school, each school points to its top-priority remaining student, and cycles are finalized. In TTC with strict priorities, reporting your true preferences is a dominant strategy—misreporting cannot get you a better (higher true-preference) assignment. Therefore, to maximize the chance of your best feasible outcome, you should submit your True Preference List in the same order.",True,School_D,False,True,1
1,Student_B,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","This procedure is the Top Trading Cycles mechanism (students point to their top remaining school; each school points to its highest-priority remaining student; cycles are finalized). In TTC, reporting true preferences is a dominant strategy: no misreport can get you a strictly better assignment regardless of others’ reports. Given schools’ priorities, Student_B is School_D’s top priority, but Student_B prefers School_E/A/B over D. With truthful reporting, the first cycle formed is (Student_A->School_D, School_D->Student_B, Student_B->School_E, School_E->Student_A), which assigns Student_B to School_E (your top choice). Any attempt to rank School_D first would instead lock you into School_D (worse than School_E), and other misorderings cannot improve beyond your top choice.",True,School_E,False,True,1
1,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","This procedure is the student-proposing Top Trading Cycles. With full information, you cannot do better than your TTC outcome by misreporting, so the best strategy is to submit your true order. Under the given preferences/priorities, School_D’s top choice is Student_B, and Student_B applies to School_E, whose top choice is Student_A, who applies to School_D, forming a cycle (B->E, A->D) that removes School_D immediately. Next, School_C’s top remaining student is Student_D, who applies to School_B, and School_B’s top remaining is Student_D, creating a cycle (D->B) that removes School_B. You then apply to your highest remaining option, School_C, and since School_C points to Student_E (who applies to School_C), E gets School_C, leaving you to take School_A next (where you are top among remaining). Thus your achievable assignment is School_A, and reporting truthfully ensures you do not risk ending up at a worse school.",True,School_A,False,True,4
1,Student_D,"['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","['School_B', 'School_D', 'School_C', 'School_A', 'School_E']","This procedure is the Top Trading Cycles mechanism. In round 1, each school points to its top-priority student among all students. School_B and School_C both point to me (Student_D), while I can only point to one school. If I rank School_D first (truthful), then School_D points to Student_B, and Student_B points to School_E, creating a cycle (Student_B <-> School_E) that removes School_E immediately. That still leaves me unmatched and then School_D can be taken by Student_C in the next round, leaving me with School_B. If instead I rank School_B first, then I immediately form a 2-cycle with School_B (since School_B points to me), so I lock in School_B permanently in round 1. This guarantees me my best achievable outcome given others’ preferences and schools’ priorities, because School_D cannot be secured by me in round 1 (School_D points to Student_B), and later School_D is taken by Student_C once Student_B is removed. The remaining order follows my true preferences among the schools I would still accept.",False,School_B,False,True,2
1,Student_E,"['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","The described procedure is the Top Trading Cycles (TTC) mechanism: each student points to their top remaining school, and each school points to its highest-priority remaining student; cycles are executed. Under TTC, reporting your true preference order is a dominant strategy (you cannot improve your outcome by misreporting, given full information and fixed school priorities/quotas). Therefore, to maximize the chance of getting the highest possible school on my true list, I should submit my true ranking unchanged.",True,School_C,False,True,3
2,Student_A,"['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","This procedure is the Top Trading Cycles mechanism (students point to their top remaining school; schools point to their highest-priority remaining student; cycles are finalized). TTC is strategy-proof for students, meaning you cannot improve your final assignment by misreporting your preferences. Therefore, the best submission is your true preference order. Under truthful play here: in Step 1 School_E points to you (you are its top priority) while you point to School_D; School_D points to Student_B; Student_B points to School_E, forming the cycle Student_A→School_D→Student_B→School_E→Student_A, so you are admitted to School_D (your top choice).",True,School_D,False,True,1
2,Student_B,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","This procedure is the Top Trading Cycles algorithm (students point to their top remaining school; schools point to their top-priority remaining student; cycles are finalized). TTC is strategy-proof for students, meaning you cannot improve your outcome by misreporting preferences. Therefore, the best way to maximize your match according to your true preferences is to submit your true preference list unchanged.",True,School_E,False,True,1
2,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_A', 'School_D', 'School_C', 'School_E', 'School_B']","This procedure is the student-proposing top-trading-cycles style: in each round, each student points to a school (their top remaining choice) and each school points to its highest-priority remaining student; any cycle locks in. If I rank School_D first, School_D points to Student_B (its top priority), while Student_B points to School_E; School_E points to Student_A; Student_A points to School_D, forming a cycle (A->D, B->E, D->B, E->A) that fills School_D before I can reach it, so I cannot get School_D no matter what I submit. The best achievable school for me is then School_A, because School_A’s top priority is Student_E, but Student_E is locked into School_C in the first cycle (E->D, D->B, B->E), removing Student_E; then School_A points to me and if I apply to School_A in the next round I form a 2-cycle with School_A and get admitted. To ensure I apply to School_A as soon as it is available, I place School_A first; the remaining order can follow my true preferences among the rest.",False,School_A,False,True,4
2,Student_D,"['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","Submit the true preference order. Under the described top-trading-cycles style procedure (schools point to their top remaining priority; students point to their top remaining choice with capacity), truthful reporting is a best response: misordering can only risk losing a higher-ranked school without creating a path to something better than your true top available option. With your priorities, School_D is your top choice and you are School_D’s #2, so you have a strong chance to be selected early if Student_B is removed elsewhere; if not, your next best safe outcome is School_B where you are #1 priority. Keeping the true order maximizes the chance you get School_D, while still ensuring you fall back to School_B before considering less-preferred schools.",True,School_B,False,True,2
2,Student_E,"['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","This procedure is the Top Trading Cycles mechanism. With full information, the best strategy is to report your true preference order because TTC is strategy-proof for students: misreporting cannot get you a better (higher-ranked) school and can only risk a worse match. Therefore, submit your True Preference List unchanged to maximize the chance of receiving the best feasible school for you given others' preferences and schools' priorities.",True,School_C,False,True,3
