Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_E', 'Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_C']","['Nursery_E', 'Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_C']","This procedure is the parent-proposing deferred acceptance algorithm. Given full information, the best strategy for Parent_A is to submit the true preference order because misreporting cannot improve the final assignment and can only risk losing a more-preferred option. With everyone else’s preferences, Parent_A will be rejected from Nursery_E (higher-priority applicants apply there) but will then be accepted at Nursery_B where Parent_A has top priority, so ranking Nursery_B second preserves that outcome.",True,Nursery_B,True,True,2
1,Parent_B,"['Nursery_E', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_A']","['Nursery_E', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_A']","Submit the true preference order. Under the parent-proposing deferred acceptance procedure described, ranking a less-preferred nursery higher cannot help you get a more-preferred one, and can only risk locking you into an avoidably worse match. With full information: you have strong priorities at Nursery_C (ranked 1st) and Nursery_A (ranked 1st) and good priority at Nursery_E (ranked 2nd). Applying first to Nursery_E gives you a strong chance to hold it unless Parent_E applies there (they do not), while still allowing you to fall back next to Nursery_C where you are top priority if needed. Thus truthful ordering is optimal.",True,Nursery_E,True,True,1
1,Parent_C,"['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","This is a parent-proposing deferred acceptance process, where (given full preference lists) it is strategy-proof for parents: you cannot get a better outcome by misreporting than by submitting your true preferences. Submitting the true order ensures you first try for Nursery_D (where you have relatively high priority: 2nd), and if rejected you then try Nursery_C, then Nursery_E, etc. Any attempt to ""game"" by ranking a safer option first could only risk locking you into a worse match and cannot improve upon the best achievable stable assignment for you.",True,Nursery_D,True,True,1
1,Parent_D,"['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","This is a parent-proposing deferred acceptance process, where submitting your true preferences is a dominant strategy: you should rank nurseries in your genuine order because you cannot be harmed by applying to a more-preferred nursery first (you can only be rejected and then try the next). Given others' preferences and nurseries' priorities, applying first to Nursery_E gives you a chance there; if rejected, your next best realistic option is Nursery_A where you have relatively high priority (2nd). Ranking in true order maximizes the chance of the highest possible assignment without risking being stuck in a worse match by strategizing.",True,Nursery_A,True,True,2
1,Parent_E,"['Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_B', 'Nursery_E']","This is a parent-proposing deferred acceptance process, so ranking a school higher cannot hurt your final assignment because you only move to lower choices if rejected, and any tentative offer can only be improved upon by your own later applications. Given the full information: applying first to Nursery_C is safe because you will be rejected there by higher-priority applicants (Parent_B then Parent_A) once they apply, and then you proceed to Nursery_A where you will also be rejected (you are last in A’s priority). Next you apply to Nursery_D, where you outrank Parent_B and will secure the seat after Parent_B is displaced by higher-priority applicants elsewhere. Thus truthful ordering yields Nursery_D, and no alternative ordering can get you Nursery_C or Nursery_A (you lack priority), while misordering could only risk ending at a worse option if you skip/reshuffle higher choices.",True,Nursery_C,True,True,1
2,Parent_A,"['Nursery_E', 'Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_C']","['Nursery_E', 'Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_C']","This procedure is parent-proposing deferred acceptance. Given full information, reporting your true preferences is optimal for you: you should apply first to your top choice (Nursery_E) because you cannot lose a seat at a lower-ranked nursery by trying a higher-ranked one first (you can still apply later if rejected). With everyone else’s first choices, Nursery_E is contested by Parents A, B, and D; Nursery_E’s priority ranks B above A, so you will be rejected there. Next, applying to Nursery_B is best: although Parent_D may later apply to Nursery_B after being rejected from Nursery_A, Nursery_B’s priority ranks Parent_A above Parent_D, so you will keep Nursery_B once tentatively accepted. Thus the best achievable outcome is Nursery_B, and the truthful order ensures you reach it.",True,Nursery_B,True,True,2
2,Parent_B,"['Nursery_E', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_A']","['Nursery_E', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_A']","The procedure is parent-proposing deferred acceptance. Given full information, submitting my true preference order is optimal because I only ever move down my list when rejected, and a nursery holding me can only be replaced by someone with higher priority (which I cannot avoid by misreporting). Applying first to Nursery_E is best: Parent_D and Parent_A also apply there first, but Nursery_E’s priority ranks Parent_B above both, so I am accepted immediately and never displaced. Any misreport that places another nursery above Nursery_E would weakly worsen my outcome (I could lose the guaranteed match at my top choice).",True,Nursery_E,True,True,1
2,Parent_C,"['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","This is a parent-proposing deferred acceptance process, where (given fixed priorities) submitting your true preference order is a dominant strategy: misreporting cannot get you a better assignment and can only risk losing a higher-ranked option. With your true ranking, you first apply to Nursery_D where you have strong priority (2nd), and while Parent_A has higher priority there, Parent_A is expected to be held by Nursery_E (their top choice) where Nursery_E also prioritizes Parent_A over other competitors. Thus you should list nurseries exactly in your true order to maximize the chance of matching to the best feasible option and avoid harming yourself by skipping/reordering.",True,Nursery_D,True,True,1
2,Parent_D,"['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","['Nursery_A', 'Nursery_E', 'Nursery_B', 'Nursery_D', 'Nursery_C']","This is a parent-proposing deferred acceptance process. Given others' first choices, Nursery_E will receive applications from Parent_A and Parent_B (and me if I apply), and Nursery_E’s priority ranks me below Parent_B and Parent_A, so applying to E first guarantees rejection. My best achievable stable outcome is Nursery_A: Parent_B will take Nursery_E (high priority there), Parent_A will end up at Nursery_B (top priority there after being rejected from E), leaving Nursery_A available when I apply. Therefore I should place Nursery_A first to secure it immediately, while ranking the remaining acceptable nurseries afterward to preserve my best fallback options if something unexpected occurs.",False,Nursery_A,True,True,2
2,Parent_E,"['Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_B', 'Nursery_E']","This is a parent-proposing deferred acceptance process, where submitting your true preference order is a (weakly) dominant strategy: misreporting cannot get you a better nursery than the best one you can obtain by applying in true order. Here, if you apply to Nursery_C first you will be rejected because Nursery_C prioritizes Parent_B and Parent_A above you and both apply there before you can. Next, applying to Nursery_A you will also be rejected because Parent_D (higher priority than you at Nursery_A) will apply there after being rejected from Nursery_E and will displace you. Then applying to Nursery_D, you will be accepted and not displaced because Nursery_D ranks you above Parent_B, who is the only likely later applicant there. Therefore the best achievable outcome is Nursery_D, and the optimal submitted list is your true list.",True,Nursery_C,True,True,1
