Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","All nurseries share the same priority order and Parent_A is top priority everywhere. In Part 1 (deferred acceptance), this guarantees Parent_A will never be rejected from their first-choice application, so the best strategy is to list true preferences in order to lock in the top option. The blocking-parent cleanup in Part 2 will not change Parent_A’s final admission, so there is no benefit to misreporting.",True,Nursery_B,True,True,1
1,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","Given all nurseries share the same priority order (Parent_A highest, then Parent_B, etc.) and each has 1 seat, this is a standard parent-proposing deferred acceptance where truthful reporting is optimal for parents. Submitting my true order maximizes my chance of the best feasible assignment for me: I apply to Nursery_A first and, since Parent_A applies to Nursery_B first, I am accepted at Nursery_A immediately and never rejected. The Part 2 blocking-parent removal does not change my final admission, so there is no strategic benefit to misordering.",True,Nursery_A,True,True,1
1,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","All nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E) and each has 1 seat, so the Part 1 process is essentially parent-proposing DA with identical priorities. If I rank truthfully, I apply to Nursery_C first; Parent_A applies to Nursery_B and Parent_B to Nursery_A, so I face no competition at Nursery_C and am immediately (and finally) admitted. Any deviation (e.g., ranking Nursery_B or Nursery_A first) would make me lose to higher-priority applicants and risk being pushed down to a worse option. The blocking-parent removal in Part 2 does not change my final admission, so the best strategy is to submit my true order.",True,Nursery_C,True,True,1
1,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","All nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E) and each has 1 seat, so the outcome is essentially determined by parents’ first choices unless someone is rejected and applies down their list. If I rank my true top choice Nursery_D first, I get it immediately because no other parent ranks Nursery_D first (A->B, B->A, C->C, E->E). That means I secure my best possible outcome right away, and no alternative ordering can improve upon getting my #1. I keep the rest in true-preference order as they are the only acceptable fallbacks if something unexpected displaced me (it won’t here).",True,Nursery_D,True,True,1
1,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","All nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E), so as Parent_E you have the lowest priority everywhere. In Part 1 (deferred acceptance), you will be rejected from any nursery that receives any higher-priority applicant. Nursery_E is uniquely your top choice and is not anyone else’s first choice, so ranking Nursery_E first secures it immediately and keeps it throughout. Any attempt to rank another nursery first would only risk unnecessary rejection and cannot improve upon getting Nursery_E. The Part 2 blocking-parent removal does not change your final admission, so truthful ranking is optimal.",True,Nursery_E,True,True,1
2,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","All nurseries share the same priority order with Parent_A ranked highest, so Parent_A is guaranteed admission at whichever nursery they apply to in the first round. Therefore, the best strategy is to submit the true preference order so the first application is to the most desired nursery. The blocking-parent removal in Part 2 does not change Parent_A’s final admission, so there is no benefit to strategic misordering.",True,Nursery_B,True,True,1
2,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","Given all nurseries share the same priority order (Parent_A highest, then Parent_B), the best strategy is to report my true preferences. In Part 1 (deferred acceptance), I start at Nursery_A. Parent_A will take Nursery_B (their first choice) and will not apply to Nursery_A, so I am not displaced at Nursery_A and get my top choice immediately. Any misreport that ranks Nursery_A lower could only risk losing Nursery_A without improving on it, and the Part 2 blocking-parent removal cannot improve my outcome beyond my first choice.",True,Nursery_A,True,True,1
2,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_E']","All nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E) and each has 1 seat, so outcomes are driven by who applies where first. If I rank Nursery_C first (my top true choice), Parent_B also targets Nursery_C as their 2nd choice and will beat me there if they ever apply. By ranking Nursery_B first, I face only Parent_A as a competitor there (Parent_A ranks Nursery_B first), so I lose and then can apply to Nursery_C next. In that scenario, Parent_B is already safely held at Nursery_A (their 1st choice) and will not apply to Nursery_C, allowing me to secure Nursery_C. Any list starting with Nursery_C risks losing it to Parent_B in later rounds, so the best strategy is to start with Nursery_B, then Nursery_C, then follow my true order for remaining options.",False,Nursery_C,True,True,1
2,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","All nurseries share the same priority order (Parent_A highest, then B, C, D, E). With one seat each, Parent_A will ultimately take their top choice Nursery_B, Parent_B will take Nursery_A, Parent_C will take Nursery_C, and Parent_E will take Nursery_E. That leaves Nursery_D available for me (Parent_D). By ranking Nursery_D first (my true top choice), I apply there immediately and no higher-priority parent targets it as a first choice, so I secure it and cannot be displaced. Listing the remaining options in true-preference order is safe but unnecessary for improvement.",True,Nursery_D,True,True,1
2,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","All nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E) and each has 1 seat, so as Parent_E you lose any direct competition for a seat. In round 1, A,B,C,D each apply to distinct first choices (B,A,C,D respectively), so those seats are immediately taken by higher-priority parents and never freed (those parents already have their top choices). The only nursery not demanded by higher-priority parents is Nursery_E, so ranking Nursery_E first guarantees you secure it immediately and keep it throughout; any deviation (e.g., listing B/A/C/D first) would cause rejection and still leave you ending at Nursery_E. Thus truthful ranking starting with Nursery_E is optimal.",True,Nursery_E,True,True,1
