Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_C']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_C']","Given full information, submitting the true order is optimal because this procedure is a deferred-acceptance style process where ranking a less-preferred nursery higher cannot help you obtain a more-preferred one, but can cause you to miss it. If I rank Nursery_D first, I will be rejected there (Nursery_D priority puts me last and others apply there). Then I apply to Nursery_A and will be accepted because Nursery_A’s higher-priority parents (E and C) are ultimately absorbed elsewhere, leaving me the top remaining applicant when A is considered. Any attempt to rank A first risks being displaced by higher-priority applicants if they arrive, without improving my chance at D, so the best strategy is to keep my true preference order.",True,Nursery_E,False,False,4
1,Parent_B,"['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","Submit the true preference order. In this parent-proposing deferred acceptance with the additional ‘blocking parent’ cleanup, any temporary blocking you might create is later removed without changing your own final admission, so there is no strategic gain from misreporting. With truthful ranking, you first apply to Nursery_E; you are priority-4 there and will be rejected because Parent_A (priority-1) applies to E. Then you apply to Nursery_A; you are last priority there and will be rejected because Parent_E (priority-1) applies to A. Then you apply to Nursery_B where you are priority-3 and will be accepted (Parent_D is taken by Nursery_D and Parent_A is taken by Nursery_E), giving you Nursery_B, which is your best achievable outcome given others’ preferences/priorities.",True,Nursery_B,False,False,3
1,Parent_C,"['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","['Nursery_A', 'Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_B']","Given others’ first choices, Nursery_D will be contested (A, C, D, E apply there) and Nursery_D’s priority order puts Parent_C behind B, D, and E, so applying to D first will lead to rejection. If I apply to Nursery_C first instead, I am the lowest priority at C and will be rejected because Parent_D will apply to C in round 2 and outrank me. The best way to secure the highest feasible outcome is to target Nursery_A: Parent_B applies to A in round 2, but Nursery_A’s priority ranks Parent_C above Parent_B, so if I apply to A in round 1 I will hold the seat and keep it through the process. Any list starting with D/C/E risks ending at B (my worst) or being displaced later, while starting with A guarantees a final match at A, which is my best attainable nursery under the given priorities and competitors’ preferences.",False,Nursery_A,False,False,4
1,Parent_D,"['Nursery_D', 'Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E']","['Nursery_D', 'Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E']","Given full information, applying to Nursery_D first is optimal because Parent_D has 2nd priority there and Parent_B (the only higher-priority rival) applies to Nursery_E first and can be held there (Nursery_E ranks Parent_B above Parent_C). In the parent-proposing process, Parent_D is admitted at Nursery_D in step 1 and is never displaced by a higher-priority applicant later. Any deviation (e.g., listing Nursery_B first) risks losing Nursery_D permanently if Parent_B later applies to Nursery_D and displaces Parent_D, yielding a worse final outcome. The Part 2 blocking-parent removal does not change Parent_D’s final admission, so truthful top choice is best.",True,Nursery_D,False,False,1
1,Parent_E,"['Nursery_D', 'Nursery_E', 'Nursery_C', 'Nursery_B', 'Nursery_A']","['Nursery_D', 'Nursery_E', 'Nursery_C', 'Nursery_B', 'Nursery_A']","Submit the true preference order. With these priorities, Parent_E cannot win Nursery_D against Parent_B or Parent_D, so the best achievable is Nursery_E. Ranking Nursery_E below Nursery_D is still optimal because applying to Nursery_D first does not reduce the chance of later getting Nursery_E (deferred acceptance). In Part 1, Parent_E is rejected from Nursery_D, then applies to Nursery_E and is accepted; no alternative ordering can secure Nursery_D, and putting Nursery_E first would only forgo any (impossible) chance at Nursery_D. The blocking-parent waiver in Part 2 does not change Parent_E’s final assignment, so truthful ranking maximizes the outcome.",True,Nursery_C,False,False,3
2,Parent_A,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_C']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_C']","Given the parent-proposing deferred acceptance in Part 1, truthful ranking is a weakly dominant strategy for Parent_A: misordering cannot secure a better nursery than the best one attainable under true preferences. With everyone else’s preferences, Nursery_D is highly contested and Parent_A has lowest priority there, so listing D first is still optimal because any chance of getting D only exists by applying immediately; if rejected, the algorithm moves to the next choices. Nursery_A is next best but Parent_A is low priority there too; Nursery_B is safer because Parent_A has relatively high priority (2nd) and can typically secure it if D and A fail. Nursery_E is also strong for Parent_A (top priority), but it is ranked below B in true preferences, so it should remain below B. Nursery_C is last. Part 2’s blocking-parent removals do not change Parent_A’s final assignment, so there is no strategic gain from deviating.",True,Nursery_A,True,True,2
2,Parent_B,"['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","Submit the true preference order. Under the parent-proposing deferred acceptance in Part 1, truthful reporting is a dominant strategy for parents: misordering cannot get you a better final match than applying to your top choices first, given nurseries only use fixed priorities. Here, applying first to Nursery_E is best because you are relatively high there (4th) and may keep it if higher-priority applicants go elsewhere; if rejected, moving next to Nursery_A then Nursery_B then Nursery_D then Nursery_C follows your true ranking. Part 2’s automatic removal of blocking choices does not change your final admission, so it provides no incentive to misreport.",True,Nursery_B,True,True,3
2,Parent_C,"['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","['Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A', 'Nursery_B']","Given others’ first choices, Nursery_D is heavily contested (A, C, D, E apply there first) and Nursery_D’s priority order ranks Parent_C behind B, D, and E, so applying to D first leads to rejection. If I instead apply to Nursery_C first, I am the only first-round applicant to C (others target D or E), so I secure C immediately and no later applicant can displace me because reassignments only occur when a nursery receives new applications. This guarantees my best achievable outcome under the mechanism: Nursery_D is unattainable (too low priority), while Nursery_C is attainable and is my 2nd true choice. Ranking D above C would only delay and still end at C (or worse if something unexpected displaced me), so putting C first is optimal.",False,Nursery_C,True,True,2
2,Parent_D,"['Nursery_D', 'Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E']","['Nursery_D', 'Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E']","Given everyone’s preferences and each nursery’s priority order, applying to Nursery_D first is optimal because Parent_D has the 2nd-highest priority there and will win the seat over likely competitors (Parent_A, Parent_C, Parent_E) if they apply. In the first round, Parent_B applies to Nursery_E (not D), so Parent_D is admitted to Nursery_D immediately and will not be displaced later. Since the outcome is already the top choice and the Part 2 ‘blocking parent’ removals do not change my final admission, there is no benefit to strategic reordering; submitting the true order is safe and best.",True,Nursery_D,True,True,1
2,Parent_E,"['Nursery_D', 'Nursery_E', 'Nursery_C', 'Nursery_B', 'Nursery_A']","['Nursery_D', 'Nursery_E', 'Nursery_C', 'Nursery_B', 'Nursery_A']","Submit the truthful order. With parent-proposing deferred acceptance (Part 1), ranking a nursery higher cannot hurt you: you only move down your list if rejected. Given others’ first choices, Nursery_D will initially hold Parent_B (highest priority there), so you will be rejected from D and then apply to Nursery_E. At Nursery_E you have higher priority than any other applicant who would come there after being rejected elsewhere (notably Parent_B), so you secure Nursery_E. Any misreport that puts Nursery_E first would still get you E, but could only risk losing the chance to take D if circumstances changed; listing D first preserves the (small) possibility of getting D without reducing your chance at E. Part 2’s blocking-parent waivers never change your final admission, so they don’t create an incentive to misreport.",True,Nursery_E,True,True,2
3,Parent_A,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_C']","['Nursery_E', 'Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C']","Given everyone else’s first choices, Nursery_D will be contested by multiple parents and I have the lowest priority there, so listing it first does not help. The best achievable outcome for me is Nursery_E because I have top priority at Nursery_E, but Parent_B applies to Nursery_E first and would hold it temporarily unless I apply there first. By ranking Nursery_E first, I secure it immediately and cannot be displaced. Higher-ranked true options (Nursery_D, Nursery_A, Nursery_B) are not realistically attainable for me under the priority orders when others apply, so this list maximizes my final match.",False,Nursery_E,False,False,4
3,Parent_B,"['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","Submit the true preference order. Under the parent-proposing deferred acceptance in Part 1, reporting truthfully is a dominant strategy: misreporting cannot get you a better nursery than the best you can obtain by applying in true order. Here, applying first to Nursery_E is safe because you would lose it anyway to Parent_A (Nursery_E priority ranks Parent_A above you). You then apply to Nursery_A, where you are lowest priority and will be rejected if higher-priority parents apply. Next, Nursery_B is attainable: Parent_D and Parent_A take Nursery_D and Nursery_E respectively, and Parent_D ranks Nursery_B second but is already held at Nursery_D (where D prefers Parent_D over you), so you end up being the top remaining applicant at Nursery_B and get it. The Part 2 'blocking parent' cleanup does not change your final admission, so there is no advantage to strategic omissions or reordering.",True,Nursery_B,False,False,3
3,Parent_C,"['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","Submit the true preference order. With these priorities, Nursery_D (your top choice) ranks Parent_C above Parent_A and below Parent_B/Parent_D/Parent_E. In the parent-proposing process, you either keep Nursery_D if higher-priority parents go elsewhere, or you get rejected and then your best attainable fallback is Nursery_C (where you are lowest priority but may still be available if higher-priority parents are placed at their preferred options). Misreporting (e.g., skipping Nursery_D to avoid early rejection) cannot improve your final assignment under this procedure and can only risk losing a chance at Nursery_D if it becomes available. The Part 2 blocking-parent removal does not change your final admission, so it does not create an incentive to misorder your list.",True,Nursery_A,False,False,4
3,Parent_D,"['Nursery_D', 'Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E']","['Nursery_D', 'Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E']","Submit the true preference order. Under this deferred-acceptance style process, ranking a less-preferred nursery higher cannot help you get a more-preferred one, and it can only risk locking you into a worse final match. With everyone’s preferences/priorities, applying first to Nursery_D gives you a strong chance (you are 2nd in Nursery_D priority and only Parent_A/Parent_C/Parent_E also want D first). If rejected from D, your next best and very safe option is Nursery_B where you are top priority, then Nursery_C where you are also top priority. Listing them in true order maximizes the best achievable outcome and avoids unnecessary risk; Part 2’s blocking-parent removals do not change your final admission, so there is no strategic benefit to misordering.",True,Nursery_D,False,False,1
