Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_E', 'Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_C']","['Nursery_B', 'Nursery_E', 'Nursery_D', 'Nursery_A', 'Nursery_C']","Because admissions are final each step, I should avoid applying first to a nursery where I will certainly lose the Step 1 seat to a higher-priority applicant. If I apply to Nursery_E first, I lose to Parent_B (higher priority at E) and then in Step 2 I would be blocked from applying to Nursery_B because it will already be filled in Step 1 by whoever applies there first (and I have top priority at B). By ranking Nursery_B first, I secure B immediately in Step 1 (I am highest priority at B), which is my best achievable outcome given that Nursery_E will be taken by Parent_B in Step 1. The remaining order follows my true preferences among the rest.",False,Nursery_B,True,False,2
1,Parent_B,"['Nursery_E', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_A']","['Nursery_C', 'Nursery_E', 'Nursery_D', 'Nursery_B', 'Nursery_A']","This is an immediate-acceptance (final admissions) process, so the key is to avoid “wasting” your first application on a nursery you are unlikely to win in Step 1, because you cannot later compete for nurseries that filled earlier. If you apply to Nursery_E first, you lose to Parent_E (highest priority at E), and then in Step 2 you can no longer apply to Nursery_C because it will have filled in Step 1 with you if you had applied there (you are top priority at C). By ranking Nursery_C first, you secure a guaranteed permanent seat in Step 1 (since Nursery_C prioritizes Parent_B highest), which dominates the outcome you would get by starting at Nursery_E. The remaining order follows your true preferences among the remaining acceptable options.",False,Nursery_C,True,False,2
1,Parent_C,"['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","['Nursery_A', 'Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_B']","Because admissions are final immediately (no later displacement), the key is to apply first to the best nursery where I can actually win priority among those who will apply there in that step. If I apply to Nursery_D in Step 1, I lose to Parent_A (Nursery_D priority: A > C), and D becomes unavailable, wasting my top choice. Nursery_C in Step 1 is also unwinnable because Parent_B applies there and has top priority at C. Nursery_E in Step 1 is also unwinnable because Parent_E applies there and has top priority at E. Nursery_A in Step 1 is winnable: Parent_D applies to E, Parent_B to E, Parent_A to E, Parent_E to C, so I would be the only applicant to A and get permanently admitted. This yields Nursery_A, which is better than the likely alternative of ending up at Nursery_B (or unmatched) after being rejected from D/C/E while those nurseries fill in Step 1.",False,Nursery_D,True,False,1
1,Parent_D,"['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","['Nursery_A', 'Nursery_E', 'Nursery_B', 'Nursery_D', 'Nursery_C']","With final (non-deferred) admissions, the key is to avoid “wasting” an early application on a nursery you are very unlikely to win in that step if it will fill immediately with a higher-priority applicant. In Step 1, Nursery_E will receive applications from Parent_A and Parent_B (both rank E first) and you (if you apply). Nursery_E’s priority is E > B > A > D > C, so Parent_B beats both Parent_A and you; thus applying to Nursery_E in Step 1 guarantees rejection while Nursery_E becomes unavailable afterward. In contrast, Nursery_A is likely to be available in Step 1 (only you rank it first), and Nursery_A’s priority ranks you 2nd overall, so you will be permanently admitted if you apply there first. This yields Nursery_A, which is your best achievable outcome given the competition for Nursery_E. The remaining order should follow your true preferences among the remaining acceptable options.",False,Nursery_A,True,False,2
1,Parent_E,"['Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_B', 'Nursery_E']","Because admissions are final at each step (no later displacement), the best strategy is to apply first to the most-preferred nursery where I can actually be admitted given others' first choices and each nursery’s priority. In Step 1, Nursery_C receives only my application (others apply to Nursery_E or Nursery_D), so I am guaranteed to be permanently admitted to Nursery_C if I rank it first. This is my top true choice, so no strategic deviation can improve upon it.",True,Nursery_E,True,False,5
2,Parent_A,"['Nursery_E', 'Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_C']","['Nursery_B', 'Nursery_E', 'Nursery_D', 'Nursery_A', 'Nursery_C']","With immediate final admissions, the key is to avoid wasting Step 1 on a nursery you cannot win. If I apply to Nursery_E first, I lose to Parent_B (higher priority than me at E) and E becomes filled in Step 1 anyway, so I gain nothing. If I apply to Nursery_B first, I am the top priority at B, so I secure B immediately in Step 1. B is my 2nd true choice and is the best achievable outcome given E is effectively unattainable. The remaining order follows my true preferences among the remaining nurseries.",False,Nursery_B,True,False,2
2,Parent_B,"['Nursery_E', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_A']","['Nursery_C', 'Nursery_E', 'Nursery_D', 'Nursery_B', 'Nursery_A']","Because admissions are final each step (Boston mechanism), the key is to avoid wasting Step 1 on a nursery you are unlikely to win, while still targeting the best achievable option. If you apply to Nursery_E in Step 1, you lose to Parent_E (highest priority at E), and then in Step 2 you cannot apply to Nursery_C because it will already be filled by you if you had applied there first, or by Parent_E (who has top priority at C) if they are rejected from E. By applying to Nursery_C in Step 1, you secure it immediately since Nursery_C ranks you #1, guaranteeing your 2nd-true-choice outcome. Any attempt to chase Nursery_E first leads to a high risk of ending up with a worse assignment (often Nursery_B or Nursery_A) because Nursery_C will be taken before you can apply in later steps. Therefore, rank Nursery_C first, then keep the remaining true preferences in order as fallbacks.",False,Nursery_C,True,False,2
2,Parent_C,"['Nursery_D', 'Nursery_C', 'Nursery_E', 'Nursery_A', 'Nursery_B']","['Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A', 'Nursery_B']","Because admissions are final and nurseries that fill in Step 1 disappear, the key is to avoid applying in Step 1 to a nursery where you are likely to lose, while ensuring you apply early to a nursery where you can win. If you apply to Nursery_D in Step 1, you lose to Parent_A (higher priority at D), and then in Step 2 you cannot apply to Nursery_C because it will already be filled in Step 1 by Parent_E (C's top choice and C is Parent_E’s first choice). By instead applying to Nursery_C in Step 1, you still lose to Parent_E, but then in Step 2 you can apply to Nursery_D (which remains available because Parent_A takes Nursery_E in Step 1), and you have high priority at D among Step-2 applicants, securing Nursery_D (your top true choice). The remaining order follows your true preferences to the extent they could matter later.",False,Nursery_D,True,False,1
2,Parent_D,"['Nursery_E', 'Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_C']","['Nursery_A', 'Nursery_E', 'Nursery_B', 'Nursery_D', 'Nursery_C']","Because admissions are final immediately (an early-acceptance style mechanism), applying first to a school where you have a realistic chance matters more than “reaching” for your top choice. In Step 1, Nursery_E will choose among first-choice applicants and you lose to Parent_B (higher priority at E). So ranking E first is very likely to waste Step 1 and leave you competing later only for schools that remain unfilled. If you rank Nursery_A first, you are the highest-priority applicant among those who would apply to A in Step 1 (Parent_E prefers C; others prefer E/D), so you secure A immediately. This yields your 2nd-best true option and is better than the likely outcome from ranking E first (where you would then be forced to apply later among leftover seats, typically ending at Nursery_D).",False,Nursery_A,True,False,2
2,Parent_E,"['Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_B', 'Nursery_E']","Because admissions are final immediately and you can only apply to nurseries that remain unfilled, you should avoid “wasting” your first application on a nursery that will be taken in Step 1 by a higher-priority parent. In Step 1, Nursery_C will receive applications from Parent_E (you) and Parent_B (who ranks Nursery_C second, so not in Step 1) and Parent_C (ranks Nursery_D first), Parent_A/Parent_D (rank Nursery_E first). So in Step 1, only you apply to Nursery_C, and Nursery_C will admit you (it has capacity 1). This secures your top true choice immediately; any deviation (e.g., applying to Nursery_A first) would likely fail because Nursery_A is taken by Parent_B in Step 2 if it remains, and you have lowest priority at Nursery_A. Therefore, submit your true preference order starting with Nursery_C to lock it in at Step 1.",True,Nursery_E,True,False,5
