Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","This mechanism is an immediate-acceptance (final admissions) process, so getting into a top choice requires applying there in the exact step it is still available. In Step 1, Nursery_A will receive applications from Parent_A (you) and Parent_D (who ranks it second but is applying to Nursery_C first), while Parent_B applies to Nursery_B and Parent_C to Nursery_D. Nursery_A’s priority order is Parent_B > Parent_D > Parent_A, so if Parent_D applies to Nursery_A in any later step while A is still open, you would lose. The best way to maximize your outcome is to apply to Nursery_A in Step 1 to secure it immediately (since Parent_B is not applying to Nursery_A in Step 1). Any strategy that does not put Nursery_A first risks losing it permanently and ending up with a lower-ranked option. After that, listing remaining schools in true-preference order is optimal because later steps only matter if you are rejected earlier.",True,Nursery_A,False,True,1
1,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_D', 'Nursery_B', 'Nursery_A', 'Nursery_E', 'Nursery_C']","Because admissions are final each step and nurseries that fill in Step 1 disappear, the key is to secure the best attainable nursery by applying where I have the strongest chance in Step 1. If I apply to my true #1 (Nursery_B) in Step 1, I lose to Parent_A (higher priority at Nursery_B) and then in Step 2 I cannot apply to Nursery_D because it will already be filled in Step 1 by Parent_C (who applies there first). By instead applying to Nursery_D in Step 1, I still lose there (to Parent_C), but then in Step 2 Nursery_B is still available (it filled with Parent_A at Nursery_A in Step 1, not at Nursery_B), so I can apply to Nursery_B and be admitted (I have higher priority than any other Step-2 applicant there). This yields Nursery_B, my top true choice, so I rank Nursery_D first and Nursery_B second; the remaining options follow my true preferences.",False,Nursery_E,False,True,4
1,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","With final admissions each step, the key is to secure a seat in Step 1 at the best nursery where I can actually win priority among Step-1 applicants. If I apply to Nursery_D first, I lose to Parent_D (who ranks D last but could be forced there later only if D stayed open; however D will fill in Step 1 because Parent_A applies to A, Parent_B to B, Parent_D to C, Parent_E to C, leaving me as the only Step-1 applicant to D, but D’s priority list puts Parent_D and Parent_E above me—yet they are not applying to D in Step 1, so I would be admitted if I apply to D in Step 1. Any strategy that delays applying to D risks D being taken by someone else in Step 1 if they change choices (they won’t) or leaving me to compete later when only rejected parents apply and some nurseries are already closed. Therefore, I should rank Nursery_D first to lock in my top choice immediately; the remaining order can follow my true preferences since they will not be reached if I get D.",True,Nursery_D,False,True,1
1,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","Because admissions are final immediately (an immediate-acceptance/Boston mechanism), the key is to apply first where you can actually win given others’ first choices and each nursery’s priority order. If you apply to your true #1 (Nursery_C) in Step 1, you lose to Parent_C (higher priority at Nursery_C) and Nursery_C becomes unavailable anyway because it will fill in Step 1. Nursery_A is also unattainable in Step 1 because Parent_B applies there first and has top priority. Nursery_B is the best strategic first choice: in Step 1 only Parent_B applies to Nursery_B, but Nursery_B’s top priority is you (Parent_D), so you would be permanently admitted. This yields your best achievable outcome under this procedure. The remaining order follows your true preferences among the remaining acceptable options.",False,Nursery_B,False,True,3
1,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_D']","This mechanism is final-at-each-step: if you apply to a nursery in a step and are the highest-priority applicant among that step’s applicants, you are permanently admitted and cannot later switch. So you should avoid applying early to a “safe” lower-choice nursery if there is a realistic chance to win a higher-choice nursery in a later step when it is still available. Step 1 outcomes among others: Parent_A applies Nursery_A, Parent_B applies Nursery_B, Parent_C applies Nursery_D, Parent_D applies Nursery_C. Each of those nurseries will permanently admit that applicant (each is the only applicant there), so Nursery_A, Nursery_B, Nursery_C, Nursery_D all fill in Step 1 and become unavailable. The only nursery left for later steps is Nursery_E. Therefore, regardless of what you list first, in Step 1 you would be competing only if you also apply to an already-contested nursery; but each contested nursery’s priority list ranks you below the current applicant (e.g., Nursery_C ranks Parent_D above you; Nursery_B ranks Parent_B above you; Nursery_A ranks Parent_A above you; Nursery_D ranks Parent_C above you), so you would be rejected. Since only Nursery_E remains available after Step 1, the best achievable outcome is to ensure you apply to Nursery_E as early as possible among remaining available options (Step 2). Any Step-1 choice is equivalent (you will be rejected), so keep your true top choice first and place Nursery_E second to secure it in Step 2.",False,Nursery_C,False,True,1
2,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","With final admissions each round (Boston mechanism), the key is to apply first to the most preferred nursery where I can actually win given others’ first choices and each nursery’s priority. If I apply to Nursery_A first, I lose to Parent_B (who ranks A first and has higher priority at A), and A fills immediately, so I cannot get it later. If I apply to Nursery_C first, I lose to Parent_D (who ranks C first and has higher priority than me at C), and C fills immediately. If I apply to Nursery_D first, I lose to Parent_C (who ranks D first and has higher priority than me at D), and D fills immediately. If I apply to Nursery_B first, I win because the only other first-choice applicant to B is Parent_B, and Nursery_B’s priority ranks me above Parent_B; thus I secure B in Step 1, which is better than ending up at E (the likely remaining option if I start with A/C/D and get rejected). After securing the best attainable early seat, the remaining order can follow my true preferences among the rest.",False,Nursery_B,False,False,4
2,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_E', 'Nursery_C']","Because admissions are final each step (Boston mechanism), the key is to apply first to the best nursery where I can actually win given others’ first choices and each nursery’s priority. If I rank Nursery_B first, I lose there to Parent_D/Parent_A (both higher priority) who apply to Nursery_B early, and then I’d be forced to chase remaining seats later. If I rank Nursery_A first, I am #1 in Nursery_A’s priority list and Nursery_A is not the top choice of any other parent, so I secure a guaranteed permanent admission in Step 1. Nursery_D would be my true second choice, but Parent_C applies to Nursery_D first and has higher priority than me there, so I cannot secure Nursery_D by ranking it first anyway. Therefore, the best achievable outcome is to lock in Nursery_A immediately, and then list the remaining true preferences in order after that.",False,Nursery_A,False,False,3
2,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","This mechanism has final (non-tentative) acceptances and nurseries that fill in Step 1 disappear, so the key is to avoid “wasting” your first application on a nursery where you are unlikely to be the top-priority applicant among those who apply there in Step 1. If you apply to Nursery_D first, Parent_D (who ranks Nursery_C first but will apply to Nursery_D later if rejected) is not a Step-1 threat, but Parent_E ranks Nursery_C first and Parent_B ranks Nursery_B first, so Nursery_D will likely receive only you in Step 1 (since no one else ranks D first), letting you lock in your top true choice immediately. Any deviation (e.g., applying to Nursery_A first) risks losing A to Parent_B (top priority at A) and then being shut out of D if it fills later, so the safest and best outcome is to rank truthfully with Nursery_D first.",True,Nursery_D,False,False,1
2,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","Because admissions are final immediately (an immediate-acceptance/Boston-style mechanism), the key is to apply first to the best nursery where you can actually win the seat given others’ first-choice applications and each nursery’s priority order. If you apply to Nursery_C first, you lose to Parent_C (who ranks Nursery_D first but could still apply to C later; however in Step 1 C receives Parent_A, Parent_D, Parent_E and admits Parent_D only if no higher-priority applicant applies—yet Parent_E and Parent_A are below you, so you would win Step 1 at C if you apply there). But we must also check whether any higher-priority-at-C parent applies to C in Step 1: Parent_C and Parent_B do not (they apply to D and B respectively). Therefore, ranking Nursery_C first guarantees you the Nursery_C seat immediately, which is your top true preference and cannot be improved upon. The remaining order is irrelevant for your outcome once admitted, but keeping true-preference order is consistent and safe.",True,Nursery_C,False,False,1
2,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_D', 'Nursery_C', 'Nursery_A', 'Nursery_E']","Because admissions are final immediately, you should apply first to the most-preferred nursery where you can actually win in Step 1. If you apply to Nursery_C first, you will lose to Parent_C (Nursery_C priority: Parent_C highest) and then in Step 2 you cannot apply to Nursery_B because it will already be filled in Step 1 by Parent_B (who ranks Nursery_B first). Similarly, Nursery_A will be filled in Step 1 by Parent_A (who ranks Nursery_A first). By instead applying to Nursery_B first, you lose to Parent_B but preserve the chance to apply in Step 2 to Nursery_D, which will remain open after Step 1 (only Parent_C applies there first) and where you have very high priority (Nursery_D priority ranks Parent_E second). This yields Nursery_D, which is the best achievable outcome given others' first choices and priorities.",False,Nursery_E,False,False,5
3,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","Because admissions are final immediately (no later displacement), you should target a nursery where you can actually win in the step you apply. If you apply to Nursery_A in Step 1, you lose to Parent_B (highest priority at Nursery_A) and then in Step 2 you cannot apply to Nursery_C because it will already be filled in Step 1 by Parent_B (who is rejected from Nursery_B and has top priority at Nursery_C among its applicants). By instead applying to Nursery_B in Step 1, you win immediately (you are the highest-priority applicant there among those who apply), locking in Nursery_B. This is better than the alternative outcomes you would get from starting at Nursery_A (which leads you to Nursery_E at best).",False,Nursery_E,False,False,5
3,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_A', 'Nursery_B', 'Nursery_D', 'Nursery_E', 'Nursery_C']","Because admissions are final each step (Boston mechanism), the key is to apply first to the most-preferred nursery where I can actually win priority in round 1. If I apply to Nursery_B first, I lose to Parent_D or Parent_A and then cannot apply to those nurseries if they already filled, risking ending up with a worse option. If I apply to Nursery_A first, I am Nursery_A’s top priority, so I secure a guaranteed seat immediately while still being my 3rd true choice. Nursery_D and Nursery_E are effectively unattainable in later rounds because they will be filled in step 1 by higher-priority applicants (Parent_C at D, Parent_A at E). Nursery_C is my last choice and also likely filled in step 1 by Parent_D, so placing it last is fine. Therefore, rank Nursery_A first to lock in the best feasible outcome under this mechanism.",False,Nursery_A,False,False,3
