Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","This is a random serial dictatorship: when it is my turn, I receive the highest-ranked nursery on my submitted list that is still available. Because I always benefit from getting a more-preferred available option and my list cannot affect which nurseries are taken before my turn (only the random order and others' choices do), the best strategy is to report my true preference order without rearranging. Any misreport could only risk selecting a less-preferred nursery while a more-preferred one is still available.",True,Nursery_B,True,True,1
1,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","This is a random serial dictatorship (sequential choice) with no role for nursery priorities, so my outcome depends only on which nurseries remain when it is my turn. In such a mechanism, listing a less-preferred nursery above a more-preferred one can only hurt me: if both are available when I choose, I would be forced into the worse one; if the top choice is already taken, the system moves to the next. Therefore, the best strategy is to submit my true preference order.",True,Nursery_A,True,True,1
1,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This is a serial dictatorship (random order) where you always get your highest-ranked available option at your turn. Because your submitted ranking only affects which available nursery you pick when called (and cannot improve your chances against earlier choosers), the best strategy is to report your true preferences in order. Any misreport could only cause you to pick a less-preferred nursery even when a more-preferred one is still available.",True,Nursery_C,True,True,1
1,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","Because the procedure is random serial dictatorship (each parent, when called, takes their top remaining option), your report cannot affect what earlier parents do, and any nursery you rank above another only matters if both are still available when it is your turn. Since you always prefer Nursery_D over any other option on your true list, ranking it first is always optimal—if it is available you should take it. If it is not available, you then want the best remaining option among your true preferences, so listing the rest in your true order (A, then C, then B, then E) ensures you pick the most-preferred available nursery at your turn in every possible availability situation.",True,Nursery_D,True,True,1
1,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","This is a random serial dictatorship: when it is my turn I receive my highest-ranked nursery that is still available, and my submitted order cannot improve outcomes by misreporting because earlier choices only matter if they are available. Since all nurseries have identical priority lists and each has 1 seat, the only determinant is my random position; therefore, submitting my true preference order maximizes my chance of getting my most-preferred available option at my turn.",True,Nursery_E,True,True,1
2,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","This is a random serial dictatorship: when it is my turn, I receive the highest-ranked nursery on my submitted list that is still available. Since I cannot improve my chances of a top choice by misreporting (availability depends only on earlier parents), the best strategy is to submit my true preference order so that whenever any higher option is available, I take it. Given all nurseries have identical priorities and capacity 1, only the random order matters, so truthful ranking maximizes my outcome for every possible position in the order.",True,Nursery_B,True,True,1
2,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","This is a random serial dictatorship (sequential choice) mechanism: when it is my turn, I receive my highest-ranked available nursery from the list I submit. I cannot improve my outcome by misordering because putting a less-preferred nursery above a more-preferred one can only cause me to be assigned to that worse option when the better one is still available, while it cannot make a better option become available. Therefore, my best strategy is to submit my true preference order.",True,Nursery_A,True,True,1
2,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This is a random serial dictatorship: when it is my turn I get my highest-ranked nursery among those still available. In this mechanism, listing my true preferences is optimal because (i) I cannot improve my chance of getting a higher true-choice by misreporting, and (ii) misreporting can only risk selecting a less-preferred nursery when a more-preferred one is still available. Therefore I should submit my true order.",True,Nursery_C,True,True,1
2,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","This is a random serial dictatorship: when it is my turn, I receive the highest-ranked nursery on my submitted list that is still available. Since I cannot improve my outcome by misreporting (ranking a less-preferred option above a more-preferred one can only cause me to take it even when a better option is available), the best strategy is to submit my true preference order. This ensures I always pick my most-preferred remaining nursery at my turn, regardless of the random position.",True,Nursery_D,True,True,1
2,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","This is a random serial dictatorship: when it is my turn, I receive the highest-ranked nursery on my submitted list that is still available. Since my ranking does not affect others’ choices and there is no priority/acceptance stage, the best strategy is to report my true preferences in order so that, for any set of remaining available nurseries, I pick my most-preferred among them. Any misordering could only cause me to select a less-preferred available nursery when a more-preferred one is still open.",True,Nursery_E,True,True,1
