Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","Because the mechanism is random serial dictatorship (parents pick in a random order) and nurseries do not use their priority lists at all, my report cannot improve my chances of getting a more-preferred nursery by misranking. If I am early in the order, I should take my true top choice (Nursery_A). If I am later, I should always take the best remaining option according to my true preferences. Therefore, submitting my true preference list is optimal.",True,Nursery_A,False,True,1
1,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","This is a serial dictatorship: when it is my turn, I receive the highest-ranked nursery on my submitted list that is still available, and earlier parents’ choices cannot be displaced. Therefore, my best strategy is to submit my true preference order so that in every possible availability situation at my turn, I pick my most-preferred remaining option. Reordering to ‘game’ availability cannot help because I cannot gain access to a nursery that is already taken, and ranking a less-preferred nursery above a more-preferred available one would only hurt me.",True,Nursery_E,False,True,4
1,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","This is a random serial dictatorship: when it is my turn I receive my highest-ranked nursery that is still available, and my report cannot affect which nurseries earlier parents take. Therefore there is no strategic benefit to misordering my acceptable nurseries; the best response is to submit my true preference order so that whenever I am called, I take the best remaining option according to my real ranking.",True,Nursery_D,False,True,1
1,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","This is a random serial dictatorship: when it is my turn, I get the highest-ranked nursery on my submitted list that is still available, and my ranking does not affect earlier choices. Therefore, to maximize my outcome for every possible position in the random order, I should submit my true preference order (truth-telling is optimal under this mechanism).",True,Nursery_B,False,True,3
1,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This is a random serial dictatorship: my reported ranking is used exactly when it is my turn, and earlier parents simply take their top remaining option. There is no benefit to misreporting because I cannot influence others’ earlier choices, and when I am called I want the best remaining nursery according to my true preferences. Therefore, I should submit my true preference order to guarantee I pick my most-preferred available option at my turn in every possible serial order.",True,Nursery_C,False,True,1
2,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","This mechanism is random serial dictatorship: when it is my turn I get my highest-ranked remaining option from my submitted list, and other parents’ preferences/priorities do not affect availability except through which nurseries they may have already taken. In such a setting, misreporting cannot improve my outcome for any realized serial position (it can only cause me to pick a less-preferred nursery than one that was still available). Therefore, the best strategy is to submit my true preference order.",True,Nursery_B,False,True,4
2,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","Under random serial dictatorship, your assignment is simply the highest-ranked nursery on your submitted list that remains available when your turn arrives. Since you cannot gain by ranking a less-preferred nursery above a more-preferred one (doing so could only cause you to take a worse option even when a better one is still available), the optimal strategy is to submit your true preference order.",True,Nursery_E,False,True,4
2,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","This is a random serial dictatorship: my report cannot affect what others pick, only which available nursery I take when it is my turn. Therefore, the best strategy is to rank nurseries in my true order so that whenever I am called, I grab my most-preferred option among those remaining. Any misreport (e.g., putting a lower choice above a higher one) can only cause me to select a worse nursery in cases where the better one is still available, and cannot improve outcomes when the better one is already taken.",True,Nursery_D,False,True,1
2,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","This is a random serial dictatorship with 1 seat per nursery, so nurseries’ priority lists are irrelevant. Your assignment depends only on which nurseries remain when your turn arrives. In this mechanism, submitting your true preference order is optimal: you always get the best remaining option according to your list, and any misreport can only risk swapping a higher true choice for a lower one in some serial-order realizations without creating a better-than-true-top outcome. Therefore, rank nurseries exactly as your true preferences.",True,Nursery_A,False,True,2
2,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This is a random serial dictatorship: when called, you receive your highest-ranked nursery that is still available. Your report cannot improve your outcome by moving a less-preferred nursery above a more-preferred one, because if a more-preferred option is available at your turn you would only hurt yourself by not selecting it; if it is unavailable, listing it earlier does not block you from getting the best remaining option. Therefore, submitting your true preference order is optimal.",True,Nursery_C,False,True,1
