Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","This procedure is the Top Trading Cycles mechanism: each parent points to their top remaining nursery, and each nursery points to its highest-priority remaining parent; any cycle is finalized. Under TTC, reporting true preferences is a dominant strategy—misreporting cannot get you a better (higher) nursery on your true list and can only risk a worse outcome. Therefore, submit your true order.",True,Nursery_A,False,True,1
1,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","This procedure is the Top Trading Cycles mechanism: each parent points to their top remaining nursery, and each nursery points to its highest-priority remaining parent; any cycle is immediately finalized. In TTC, reporting your true preference order is a dominant strategy—misreporting cannot get you a better (higher-ranked) nursery and can only risk a worse outcome by changing which cycle you enter. Therefore, to maximize the chance of receiving the highest possible nursery on your true list, submit your true preference list unchanged.",True,Nursery_B,False,True,1
1,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","This procedure is top-trading-cycles style: in each round every remaining parent applies to their top available choice, each nursery points to its highest-priority remaining parent, and any cycle is finalized. Given others’ top choices, the initial applications are A->Nursery_A, B->Nursery_B, C->Nursery_D, D->Nursery_C, E->Nursery_C. Nurseries then point to: Nursery_A->Parent_B, Nursery_B->Parent_D, Nursery_C->Parent_C, Nursery_D->Parent_D, Nursery_E->Parent_A. This creates the cycle Parent_C -> Nursery_D -> Parent_D -> Nursery_C -> Parent_C, which assigns me (Parent_C) to Nursery_D immediately. Since Nursery_D is my true first choice, no misreport can improve upon it; best is to submit my true preference order to ensure I apply to Nursery_D first and lock it in via that cycle.",True,Nursery_D,False,True,1
1,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","This procedure is the Top Trading Cycles mechanism: it is strategy-proof for parents, meaning you cannot improve your outcome by misreporting your preferences. Submitting your true order is optimal. With everyone else truthful, the first round forms a cycle Parent_B→Nursery_B (B applies to B and Nursery_B identifies D), Parent_D→Nursery_C (D applies to C and Nursery_C identifies B), closing the loop, so you are assigned to Nursery_C immediately. Any deviation that does not rank Nursery_C first risks losing Nursery_C (since Nursery_C’s top priorities are Parent_C then Parent_B then you) and cannot yield a better-than-top choice outcome.",True,Nursery_C,False,True,1
1,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This procedure is the Top Trading Cycles mechanism. Given all parents’ true preferences and all nurseries’ priority orderings, TTC is strategy-proof for parents: you cannot improve your final assignment by misreporting your ranking, and misreporting can only (weakly) hurt you. Therefore, the best submission is to report your true preference order so the algorithm selects the best feasible nursery for you under the induced cycles.",True,Nursery_E,False,True,5
2,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","This procedure is the Top Trading Cycles mechanism: each parent points to their top remaining nursery, and each nursery points to its highest-priority remaining parent; any cycle is finalized. Under TTC, it is a dominant strategy to report your true preference order (misreporting cannot get you a better nursery and can only risk a worse cycle outcome). Given the full market, reporting truthfully ensures you get the best possible assignment you can obtain under these rules.",True,Nursery_A,False,True,1
2,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","This procedure is the Top Trading Cycles mechanism: each parent points to their top remaining nursery and each nursery points to its top-priority remaining parent; any cycle is finalized. Under TTC, reporting your true preference order is a dominant strategy (you cannot improve your assignment by misreporting given full information), so the best way to secure the highest possible nursery on your true list is to submit it exactly. Here, you are Nursery_A's top priority, but you most prefer Nursery_B; submitting the true order ensures you get the TTC outcome best for you among all feasible outcomes.",True,Nursery_B,False,True,1
2,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","This procedure is the Top Trading Cycles mechanism: each parent points to their top remaining nursery and each nursery points to its highest-priority remaining parent; any cycle is executed. Under TTC, reporting your true preference order is a dominant strategy—misreporting cannot get you a better (higher-ranked) outcome and can only risk a worse one. Given all priorities, Nursery_D’s top priorities are Parent_D then Parent_E, so you are unlikely to get Nursery_D; but the best strategy is still to rank Nurseries in your true order so that if higher options become available through cycles you capture them, and otherwise you fall back to the best remaining option.",True,Nursery_D,False,True,1
2,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","This procedure is the Top Trading Cycles mechanism. With full information and strict preferences, truth-telling is a dominant strategy: misreporting cannot get me a better nursery than reporting my true order. Submitting my true ranking ensures I receive the best assignment available to me under TTC given others' preferences and nurseries' priority-based identifications.",True,Nursery_C,False,True,1
2,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This procedure is the Top Trading Cycles mechanism (parents point to their top remaining nursery; nurseries point to their top-priority remaining parent; cycles are finalized). In TTC, reporting your true preference order is a dominant strategy: no alternative ordering can get you a nursery you prefer more than what truthful reporting yields, given others' reports and nurseries' priorities. Therefore, to maximize the chance of getting the highest possible nursery on your true list, submit your true ranking unchanged.",True,Nursery_E,False,True,5
