Trial,Agent,Matched_Partner,Stability,Efficiency
1,Seeker_A,Company_B,False,True
1,Seeker_B,Company_E,False,True
1,Seeker_C,Company_D,False,True
1,Seeker_D,Company_A,False,True
1,Seeker_E,Company_C,False,True
2,Seeker_A,Company_E,False,False
2,Seeker_B,Company_A,False,False
2,Seeker_C,Company_D,False,False
2,Seeker_D,Company_B,False,False
2,Seeker_E,Unmatched,False,False
3,Seeker_A,Company_A,False,False
3,Seeker_B,Company_C,False,False
3,Seeker_C,Company_D,False,False
3,Seeker_D,Company_B,False,False
3,Seeker_E,Unmatched,False,False
4,Seeker_A,Company_A,False,False
4,Seeker_B,Company_C,False,False
4,Seeker_C,Company_D,False,False
4,Seeker_D,Company_B,False,False
4,Seeker_E,Company_E,False,False
5,Seeker_A,Unmatched,False,False
5,Seeker_B,Company_B,False,False
5,Seeker_C,Company_D,False,False
5,Seeker_D,Company_A,False,False
5,Seeker_E,Company_E,False,False
6,Seeker_A,Company_A,False,False
6,Seeker_B,Company_B,False,False
6,Seeker_C,Company_C,False,False
6,Seeker_D,Company_E,False,False
6,Seeker_E,Company_D,False,False
7,Seeker_A,Company_E,False,True
7,Seeker_B,Company_B,False,True
7,Seeker_C,Company_D,False,True
7,Seeker_D,Company_C,False,True
7,Seeker_E,Company_A,False,True
8,Seeker_A,Company_E,False,False
8,Seeker_B,Company_A,False,False
8,Seeker_C,Company_D,False,False
8,Seeker_D,Company_B,False,False
8,Seeker_E,Company_C,False,False
9,Seeker_A,Company_A,False,True
9,Seeker_B,Company_B,False,True
9,Seeker_C,Company_E,False,True
9,Seeker_D,Company_C,False,True
9,Seeker_E,Company_D,False,True
10,Seeker_A,Company_E,False,False
10,Seeker_B,Company_B,False,False
10,Seeker_C,Company_D,False,False
10,Seeker_D,Company_A,False,False
10,Seeker_E,Unmatched,False,False
11,Seeker_A,Company_B,False,False
11,Seeker_B,Company_E,False,False
11,Seeker_C,Company_C,False,False
11,Seeker_D,Company_A,False,False
11,Seeker_E,Company_D,False,False
12,Seeker_A,Company_E,False,False
12,Seeker_B,Company_C,False,False
12,Seeker_C,Company_D,False,False
12,Seeker_D,Company_B,False,False
12,Seeker_E,Company_A,False,False
13,Seeker_A,Company_C,False,False
13,Seeker_B,Company_D,False,False
13,Seeker_C,Company_A,False,False
13,Seeker_D,Company_B,False,False
13,Seeker_E,Company_E,False,False
14,Seeker_A,Company_A,False,True
14,Seeker_B,Company_B,False,True
14,Seeker_C,Company_D,False,True
14,Seeker_D,Company_C,False,True
14,Seeker_E,Company_E,False,True
15,Seeker_A,Company_E,True,False
15,Seeker_B,Company_A,True,False
15,Seeker_C,Company_C,True,False
15,Seeker_D,Company_B,True,False
15,Seeker_E,Company_D,True,False
16,Seeker_A,Company_A,False,True
16,Seeker_B,Company_B,False,True
16,Seeker_C,Company_E,False,True
16,Seeker_D,Company_C,False,True
16,Seeker_E,Company_D,False,True
17,Seeker_A,Company_B,False,False
17,Seeker_B,Company_A,False,False
17,Seeker_C,Company_D,False,False
17,Seeker_D,Company_C,False,False
17,Seeker_E,Company_E,False,False
18,Seeker_A,Company_E,False,True
18,Seeker_B,Company_B,False,True
18,Seeker_C,Company_D,False,True
18,Seeker_D,Company_C,False,True
18,Seeker_E,Company_A,False,True
19,Seeker_A,Unmatched,False,False
19,Seeker_B,Company_E,False,False
19,Seeker_C,Company_D,False,False
19,Seeker_D,Company_B,False,False
19,Seeker_E,Company_C,False,False
20,Seeker_A,Company_E,False,True
20,Seeker_B,Company_B,False,True
20,Seeker_C,Company_D,False,True
20,Seeker_D,Company_C,False,True
20,Seeker_E,Company_A,False,True
21,Seeker_A,Unmatched,False,False
21,Seeker_B,Company_B,False,False
21,Seeker_C,Company_C,False,False
21,Seeker_D,Company_A,False,False
21,Seeker_E,Company_E,False,False
22,Seeker_A,Company_B,False,False
22,Seeker_B,Company_A,False,False
22,Seeker_C,Company_D,False,False
22,Seeker_D,Company_C,False,False
22,Seeker_E,Company_E,False,False
23,Seeker_A,Company_A,False,True
23,Seeker_B,Company_E,False,True
23,Seeker_C,Company_D,False,True
23,Seeker_D,Company_B,False,True
23,Seeker_E,Company_C,False,True
24,Seeker_A,Company_E,False,False
24,Seeker_B,Company_C,False,False
24,Seeker_C,Company_D,False,False
24,Seeker_D,Company_B,False,False
24,Seeker_E,Company_A,False,False
25,Seeker_A,Company_A,False,True
25,Seeker_B,Company_B,False,True
25,Seeker_C,Company_D,False,True
25,Seeker_D,Company_E,False,True
25,Seeker_E,Company_C,False,True
26,Seeker_A,Company_E,False,False
26,Seeker_B,Company_A,False,False
