Trial,Agent,Matched_Partner,Stability,Efficiency,Matched_Company,Result_Rank
1,Student_A,School_E,True,False,School_E,4
1,Student_B,School_B,True,False,School_B,2
1,Student_C,School_C,True,False,School_C,2
1,Student_D,School_A,True,False,School_A,3
1,Student_E,School_D,True,False,School_D,2
2,Student_A,School_E,False,False,School_E,4
2,Student_B,School_B,False,False,School_B,2
2,Student_C,School_D,False,False,School_D,3
2,Student_D,School_C,False,False,School_C,2
2,Student_E,School_A,False,False,School_A,3
3,Student_A,School_A,False,False,School_A,3
3,Student_B,School_B,False,False,School_B,2
3,Student_C,School_E,False,False,School_E,4
3,Student_D,School_C,False,False,School_C,2
3,Student_E,School_D,False,False,School_D,2
4,Student_A,School_A,False,False,School_A,3
4,Student_B,School_B,False,False,School_B,2
4,Student_C,School_D,False,False,School_D,3
4,Student_D,Unmatched,False,False,Unmatched,-
4,Student_E,School_C,False,False,School_C,1
5,Student_A,School_D,False,False,School_D,5
5,Student_B,School_B,False,False,School_B,2
5,Student_C,School_C,False,False,School_C,2
5,Student_D,School_A,False,False,School_A,3
5,Student_E,School_E,False,False,School_E,4
6,Student_A,School_D,False,False,School_D,5
6,Student_B,School_A,False,False,School_A,1
6,Student_C,School_B,False,False,School_B,1
6,Student_D,Unmatched,False,False,Unmatched,-
6,Student_E,School_C,False,False,School_C,1
7,Student_A,School_E,False,True,School_E,4
7,Student_B,School_A,False,True,School_A,1
7,Student_C,School_B,False,True,School_B,1
7,Student_D,School_C,False,True,School_C,2
7,Student_E,School_D,False,True,School_D,2
8,Student_A,School_A,False,False,School_A,3
8,Student_B,School_B,False,False,School_B,2
8,Student_C,School_D,False,False,School_D,3
8,Student_D,School_E,False,False,School_E,4
8,Student_E,School_C,False,False,School_C,1
9,Student_A,School_E,True,False,School_E,4
9,Student_B,School_B,True,False,School_B,2
9,Student_C,School_C,True,False,School_C,2
9,Student_D,School_A,True,False,School_A,3
9,Student_E,School_D,True,False,School_D,2
10,Student_A,School_E,False,False,School_E,4
10,Student_B,Unmatched,False,False,Unmatched,-
10,Student_C,School_B,False,False,School_B,1
10,Student_D,School_A,False,False,School_A,3
10,Student_E,School_C,False,False,School_C,1
11,Student_A,Unmatched,False,False,Unmatched,-
11,Student_B,School_A,False,False,School_A,1
11,Student_C,School_E,False,False,School_E,4
11,Student_D,School_C,False,False,School_C,2
11,Student_E,School_D,False,False,School_D,2
12,Student_A,School_D,False,False,School_D,5
12,Student_B,School_E,False,False,School_E,5
12,Student_C,School_B,False,False,School_B,1
12,Student_D,School_C,False,False,School_C,2
12,Student_E,School_A,False,False,School_A,3
13,Student_A,Unmatched,False,False,Unmatched,-
13,Student_B,School_A,False,False,School_A,1
13,Student_C,School_E,False,False,School_E,4
13,Student_D,School_C,False,False,School_C,2
13,Student_E,School_D,False,False,School_D,2
14,Student_A,School_E,False,True,School_E,4
14,Student_B,School_D,False,True,School_D,4
14,Student_C,School_B,False,True,School_B,1
14,Student_D,School_A,False,True,School_A,3
14,Student_E,School_C,False,True,School_C,1
15,Student_A,Unmatched,False,False,Unmatched,-
15,Student_B,School_E,False,False,School_E,5
15,Student_C,School_B,False,False,School_B,1
15,Student_D,School_C,False,False,School_C,2
15,Student_E,School_D,False,False,School_D,2
16,Student_A,School_A,False,False,School_A,3
16,Student_B,School_B,False,False,School_B,2
16,Student_C,School_C,False,False,School_C,2
16,Student_D,Unmatched,False,False,Unmatched,-
16,Student_E,School_D,False,False,School_D,2
17,Student_A,School_E,False,False,School_E,4
17,Student_B,Unmatched,False,False,Unmatched,-
17,Student_C,School_B,False,False,School_B,1
17,Student_D,School_C,False,False,School_C,2
17,Student_E,School_D,False,False,School_D,2
18,Student_A,School_E,False,False,School_E,4
18,Student_B,School_C,False,False,School_C,3
18,Student_C,School_D,False,False,School_D,3
18,Student_D,Unmatched,False,False,Unmatched,-
18,Student_E,School_A,False,False,School_A,3
19,Student_A,School_E,False,False,School_E,4
19,Student_B,School_D,False,False,School_D,4
19,Student_C,School_C,False,False,School_C,2
19,Student_D,School_A,False,False,School_A,3
19,Student_E,School_B,False,False,School_B,5
20,Student_A,School_A,False,False,School_A,3
20,Student_B,Unmatched,False,False,Unmatched,-
20,Student_C,School_B,False,False,School_B,1
20,Student_D,School_E,False,False,School_E,4
20,Student_E,School_C,False,False,School_C,1
21,Student_A,Unmatched,False,False,Unmatched,-
21,Student_B,School_D,False,False,School_D,4
21,Student_C,School_B,False,False,School_B,1
21,Student_D,School_A,False,False,School_A,3
21,Student_E,School_E,False,False,School_E,4
22,Student_A,School_E,True,False,School_E,4
22,Student_B,School_B,True,False,School_B,2
22,Student_C,School_C,True,False,School_C,2
22,Student_D,School_A,True,False,School_A,3
22,Student_E,School_D,True,False,School_D,2
23,Student_A,School_E,True,False,School_E,4
23,Student_B,School_B,True,False,School_B,2
23,Student_C,School_C,True,False,School_C,2
23,Student_D,School_A,True,False,School_A,3
23,Student_E,School_D,True,False,School_D,2
24,Student_A,School_A,False,False,School_A,3
24,Student_B,School_B,False,False,School_B,2
24,Student_C,School_D,False,False,School_D,3
24,Student_D,School_C,False,False,School_C,2
24,Student_E,School_E,False,False,School_E,4
25,Student_A,School_D,False,False,School_D,5
25,Student_B,School_E,False,False,School_E,5
25,Student_C,School_B,False,False,School_B,1
25,Student_D,School_A,False,False,School_A,3
25,Student_E,School_C,False,False,School_C,1
26,Student_A,School_D,False,False,School_D,5
26,Student_B,School_E,False,False,School_E,5
26,Student_C,School_B,False,False,School_B,1
26,Student_D,School_A,False,False,School_A,3
26,Student_E,School_C,False,False,School_C,1
27,Student_A,School_D,False,False,School_D,5
27,Student_B,School_B,False,False,School_B,2
27,Student_C,School_C,False,False,School_C,2
27,Student_D,School_A,False,False,School_A,3
27,Student_E,Unmatched,False,False,Unmatched,-
28,Student_A,Unmatched,False,False,Unmatched,-
28,Student_B,School_E,False,False,School_E,5
28,Student_C,School_C,False,False,School_C,2
28,Student_D,School_D,False,False,School_D,5
28,Student_E,School_A,False,False,School_A,3
29,Student_A,School_E,False,False,School_E,4
29,Student_B,School_A,False,False,School_A,1
29,Student_C,School_B,False,False,School_B,1
29,Student_D,Unmatched,False,False,Unmatched,-
29,Student_E,School_D,False,False,School_D,2
