Trial,Agent,Matched_Partner,Stability,Efficiency
1,Student_A,School_E,False,False
1,Student_B,School_A,False,False
1,Student_C,School_D,False,False
1,Student_D,School_B,False,False
1,Student_E,School_C,False,False
2,Student_A,School_A,False,False
2,Student_B,School_E,False,False
2,Student_C,School_C,False,False
2,Student_D,School_B,False,False
2,Student_E,School_D,False,False
3,Student_A,School_E,False,False
3,Student_B,School_B,False,False
3,Student_C,School_C,False,False
3,Student_D,School_A,False,False
3,Student_E,School_D,False,False
4,Student_A,School_A,False,False
4,Student_B,School_B,False,False
4,Student_C,School_C,False,False
4,Student_D,School_E,False,False
4,Student_E,School_D,False,False
5,Student_A,School_E,False,True
5,Student_B,School_B,False,True
5,Student_C,School_D,False,True
5,Student_D,School_C,False,True
5,Student_E,School_A,False,True
6,Student_A,School_B,False,False
6,Student_B,School_A,False,False
6,Student_C,School_D,False,False
6,Student_D,School_C,False,False
6,Student_E,School_E,False,False
7,Student_A,School_E,False,True
7,Student_B,School_B,False,True
7,Student_C,School_D,False,True
7,Student_D,School_C,False,True
7,Student_E,School_A,False,True
8,Student_A,School_B,False,False
8,Student_B,School_A,False,False
8,Student_C,School_D,False,False
8,Student_D,School_C,False,False
8,Student_E,School_E,False,False
9,Student_A,School_B,False,False
9,Student_B,School_A,False,False
9,Student_C,School_E,False,False
9,Student_D,School_C,False,False
9,Student_E,School_D,False,False
10,Student_A,School_B,False,False
10,Student_B,School_A,False,False
10,Student_C,School_D,False,False
10,Student_D,School_E,False,False
10,Student_E,School_C,False,False
11,Student_A,School_E,False,True
11,Student_B,School_B,False,True
11,Student_C,School_D,False,True
11,Student_D,School_C,False,True
11,Student_E,School_A,False,True
12,Student_A,School_B,False,False
12,Student_B,School_A,False,False
12,Student_C,School_D,False,False
12,Student_D,School_C,False,False
12,Student_E,School_E,False,False
13,Student_A,School_B,False,False
13,Student_B,School_A,False,False
13,Student_C,School_D,False,False
13,Student_D,School_C,False,False
13,Student_E,School_E,False,False
14,Student_A,School_A,False,True
14,Student_B,School_B,False,True
14,Student_C,School_D,False,True
14,Student_D,School_C,False,True
14,Student_E,School_E,False,True
15,Student_A,School_E,False,True
15,Student_B,School_B,False,True
15,Student_C,School_D,False,True
15,Student_D,School_C,False,True
15,Student_E,School_A,False,True
16,Student_A,School_B,False,False
16,Student_B,School_A,False,False
16,Student_C,School_E,False,False
16,Student_D,School_C,False,False
16,Student_E,School_D,False,False
17,Student_A,School_B,False,False
17,Student_B,School_A,False,False
17,Student_C,School_D,False,False
17,Student_D,School_C,False,False
17,Student_E,School_E,False,False
18,Student_A,School_E,False,True
18,Student_B,School_B,False,True
18,Student_C,School_D,False,True
18,Student_D,School_C,False,True
18,Student_E,School_A,False,True
19,Student_A,School_E,False,False
19,Student_B,School_B,False,False
19,Student_C,School_C,False,False
19,Student_D,School_A,False,False
19,Student_E,School_D,False,False
20,Student_A,School_E,False,True
20,Student_B,School_B,False,True
20,Student_C,School_D,False,True
20,Student_D,School_C,False,True
20,Student_E,School_A,False,True
21,Student_A,School_E,False,True
21,Student_B,School_B,False,True
21,Student_C,School_D,False,True
21,Student_D,School_C,False,True
21,Student_E,School_A,False,True
22,Student_A,School_B,False,False
22,Student_B,School_A,False,False
22,Student_C,School_D,False,False
22,Student_D,School_C,False,False
22,Student_E,School_E,False,False
23,Student_A,School_B,False,False
23,Student_B,School_A,False,False
23,Student_C,School_E,False,False
23,Student_D,School_C,False,False
