Trial,Agent,Matched_Partner,Stability,Efficiency
1,Parent_A,Nursery_E,False,False
1,Parent_B,Nursery_A,False,False
1,Parent_C,Nursery_D,False,False
1,Parent_D,Unmatched,False,False
1,Parent_E,Nursery_C,False,False
2,Parent_A,Nursery_B,False,False
2,Parent_B,Nursery_E,False,False
2,Parent_C,Unmatched,False,False
2,Parent_D,Nursery_A,False,False
2,Parent_E,Nursery_D,False,False
3,Parent_A,Nursery_D,False,False
3,Parent_B,Nursery_A,False,False
3,Parent_C,Nursery_B,False,False
3,Parent_D,Nursery_E,False,False
3,Parent_E,Nursery_C,False,False
4,Parent_A,Nursery_E,False,True
4,Parent_B,Nursery_C,False,True
4,Parent_C,Nursery_D,False,True
4,Parent_D,Nursery_A,False,True
4,Parent_E,Nursery_B,False,True
5,Parent_A,Nursery_D,False,False
5,Parent_B,Nursery_E,False,False
5,Parent_C,Nursery_B,False,False
5,Parent_D,Nursery_A,False,False
5,Parent_E,Nursery_C,False,False
6,Parent_A,Nursery_B,True,True
6,Parent_B,Nursery_E,True,True
6,Parent_C,Nursery_D,True,True
6,Parent_D,Nursery_A,True,True
6,Parent_E,Nursery_C,True,True
7,Parent_A,Nursery_B,True,False
7,Parent_B,Nursery_C,True,False
7,Parent_C,Nursery_D,True,False
7,Parent_D,Nursery_A,True,False
7,Parent_E,Nursery_E,True,False
8,Parent_A,Nursery_D,False,False
8,Parent_B,Nursery_E,False,False
8,Parent_C,Nursery_B,False,False
8,Parent_D,Nursery_A,False,False
8,Parent_E,Nursery_C,False,False
9,Parent_A,Nursery_D,False,False
9,Parent_B,Nursery_E,False,False
9,Parent_C,Nursery_B,False,False
9,Parent_D,Nursery_A,False,False
9,Parent_E,Nursery_C,False,False
10,Parent_A,Nursery_E,False,False
10,Parent_B,Nursery_C,False,False
10,Parent_C,Nursery_D,False,False
10,Parent_D,Nursery_B,False,False
10,Parent_E,Unmatched,False,False
11,Parent_A,Nursery_E,False,False
11,Parent_B,Nursery_B,False,False
11,Parent_C,Nursery_D,False,False
11,Parent_D,Nursery_A,False,False
11,Parent_E,Unmatched,False,False
12,Parent_A,Nursery_B,True,False
12,Parent_B,Nursery_C,True,False
12,Parent_C,Nursery_D,True,False
12,Parent_D,Nursery_A,True,False
12,Parent_E,Nursery_E,True,False
13,Parent_A,Nursery_D,False,False
13,Parent_B,Nursery_C,False,False
