Trial,Agent,Matched_Partner,Stability,Efficiency
1,Parent_A,Nursery_E,False,False
1,Parent_B,Nursery_C,False,False
1,Parent_C,Nursery_B,False,False
1,Parent_D,Nursery_D,False,False
1,Parent_E,Nursery_A,False,False
2,Parent_A,Nursery_E,False,False
2,Parent_B,Nursery_C,False,False
2,Parent_C,Nursery_B,False,False
2,Parent_D,Nursery_D,False,False
2,Parent_E,Nursery_A,False,False
3,Parent_A,Nursery_E,False,False
3,Parent_B,Nursery_C,False,False
3,Parent_C,Nursery_B,False,False
3,Parent_D,Nursery_D,False,False
3,Parent_E,Nursery_A,False,False
4,Parent_A,Nursery_E,False,False
4,Parent_B,Nursery_C,False,False
4,Parent_C,Nursery_B,False,False
4,Parent_D,Nursery_A,False,False
4,Parent_E,Nursery_D,False,False
5,Parent_A,Nursery_E,False,False
5,Parent_B,Nursery_C,False,False
5,Parent_C,Nursery_B,False,False
5,Parent_D,Nursery_D,False,False
5,Parent_E,Nursery_A,False,False
6,Parent_A,Nursery_A,False,False
6,Parent_B,Nursery_C,False,False
6,Parent_C,Nursery_B,False,False
6,Parent_D,Nursery_E,False,False
6,Parent_E,Nursery_D,False,False
7,Parent_A,Nursery_E,False,False
7,Parent_B,Nursery_C,False,False
7,Parent_C,Nursery_B,False,False
7,Parent_D,Nursery_D,False,False
7,Parent_E,Nursery_A,False,False
8,Parent_A,Nursery_E,False,False
8,Parent_B,Nursery_C,False,False
8,Parent_C,Nursery_B,False,False
8,Parent_D,Nursery_D,False,False
8,Parent_E,Nursery_A,False,False
9,Parent_A,Nursery_E,False,False
9,Parent_B,Nursery_C,False,False
9,Parent_C,Nursery_B,False,False
9,Parent_D,Nursery_D,False,False
9,Parent_E,Nursery_A,False,False
10,Parent_A,Nursery_E,False,False
10,Parent_B,Nursery_C,False,False
10,Parent_C,Nursery_B,False,False
10,Parent_D,Nursery_D,False,False
10,Parent_E,Nursery_A,False,False
11,Parent_A,Nursery_E,True,False
11,Parent_B,Nursery_B,True,False
11,Parent_C,Nursery_C,True,False
11,Parent_D,Nursery_D,True,False
11,Parent_E,Nursery_A,True,False
12,Parent_A,Nursery_E,False,False
12,Parent_B,Nursery_C,False,False
12,Parent_C,Nursery_B,False,False
12,Parent_D,Nursery_D,False,False
12,Parent_E,Nursery_A,False,False
13,Parent_A,Nursery_E,True,False
13,Parent_B,Nursery_B,True,False
13,Parent_C,Nursery_C,True,False
13,Parent_D,Nursery_D,True,False
13,Parent_E,Nursery_A,True,False
14,Parent_A,Nursery_E,False,False
14,Parent_B,Nursery_C,False,False
14,Parent_C,Nursery_B,False,False
14,Parent_D,Nursery_A,False,False
14,Parent_E,Nursery_D,False,False
15,Parent_A,Nursery_E,False,False
15,Parent_B,Nursery_C,False,False
15,Parent_C,Nursery_B,False,False
15,Parent_D,Nursery_D,False,False
15,Parent_E,Nursery_A,False,False
16,Parent_A,Nursery_E,False,False
16,Parent_B,Nursery_C,False,False
16,Parent_C,Nursery_B,False,False
16,Parent_D,Nursery_D,False,False
16,Parent_E,Nursery_A,False,False
17,Parent_A,Nursery_E,True,False
17,Parent_B,Nursery_B,True,False
17,Parent_C,Nursery_C,True,False
17,Parent_D,Nursery_D,True,False
17,Parent_E,Nursery_A,True,False
18,Parent_A,Nursery_E,True,False
18,Parent_B,Nursery_B,True,False
18,Parent_C,Nursery_C,True,False
18,Parent_D,Nursery_D,True,False
18,Parent_E,Nursery_A,True,False
19,Parent_A,Nursery_E,False,False
19,Parent_B,Nursery_C,False,False
19,Parent_C,Nursery_B,False,False
19,Parent_D,Nursery_D,False,False
19,Parent_E,Nursery_A,False,False
20,Parent_A,Nursery_E,False,False
20,Parent_B,Nursery_C,False,False
20,Parent_C,Nursery_B,False,False
20,Parent_D,Nursery_D,False,False
20,Parent_E,Nursery_A,False,False
21,Parent_A,Nursery_E,False,False
21,Parent_B,Nursery_C,False,False
21,Parent_C,Nursery_B,False,False
21,Parent_D,Nursery_D,False,False
21,Parent_E,Nursery_A,False,False
22,Parent_A,Nursery_E,False,False
22,Parent_B,Nursery_C,False,False
22,Parent_C,Nursery_B,False,False
22,Parent_D,Nursery_D,False,False
22,Parent_E,Nursery_A,False,False
23,Parent_A,Nursery_E,False,False
23,Parent_B,Nursery_C,False,False
23,Parent_C,Nursery_B,False,False
23,Parent_D,Nursery_D,False,False
23,Parent_E,Nursery_A,False,False
24,Parent_A,Nursery_E,False,False
24,Parent_B,Nursery_C,False,False
24,Parent_C,Nursery_B,False,False
24,Parent_D,Nursery_D,False,False
24,Parent_E,Nursery_A,False,False
25,Parent_A,Nursery_E,False,False
25,Parent_B,Nursery_C,False,False
25,Parent_C,Nursery_B,False,False
25,Parent_D,Nursery_D,False,False
25,Parent_E,Nursery_A,False,False
26,Parent_A,Nursery_E,True,False
26,Parent_B,Nursery_B,True,False
26,Parent_C,Nursery_C,True,False
