Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","I submit my true preference order. With full information, Company_E is my top choice and I have relatively high priority there (3rd), but I will likely be rejected because Seeker_B (higher priority) also ranks E first and would be held by E. My best attainable stable outcome is Company_B, where I am the top-priority candidate; ranking B second ensures that if I’m rejected from E, I immediately secure B and cannot be displaced. Any attempt to rank B first would guarantee B but would forgo the chance at E; ranking other firms ahead of B risks ending at a worse match without improving my chance at E. The blocking-job-seeker waivers do not change my final assignment, so truthful ordering is optimal for maximizing my own final match.",True,Company_B,True,True,2
1,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","I rank Company_E first because it is my top true choice and Company_E’s priority list ranks me 2nd (behind only Seeker_E), giving me a strong chance to win the seat if Seeker_E applies elsewhere. If I lose E, my best secure fallback is Company_C because Company_C ranks me 1st, so I will obtain C whenever I apply there. I then list Company_D, Company_B, and Company_A in my true preference order; none of these improve my outcome relative to getting C, but keeping the true order ensures I only move to less-preferred options if somehow needed. This ordering avoids unnecessary early moves that could reduce my chance at E while preserving a guaranteed high outcome at C if rejected from E.",True,Company_E,True,True,1
1,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","I want Company_D most, and I have strong priority there (2nd after Seeker_A). Seeker_A applies to Company_E first and is accepted there (Company_E ranks Seeker_A above other likely applicants), so Seeker_A will not compete with me at Company_D. Applying to Company_D first should therefore secure it immediately. Since the Part 2 blocking-job-seeker waiver cannot change my final admission, there is no benefit to misranking; I submit my true order to maximize my outcome and keep safe fallbacks if something unexpected happens.",True,Company_D,True,True,1
1,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","I rank Company_E first because it is my top true choice and I have relatively strong priority there (4th), giving me a chance if higher-priority applicants end up placed elsewhere. I place Company_A second because Company_A ranks me 2nd overall, so if I am rejected from E, I can very reliably secure A (especially since Seeker_B, who is ranked above me at A, is likely to be held by Company_E). Next I list Company_B, then Company_D, then Company_C in my true order; these are fallback options, but my priority at B is very low while at D and C it is better, so keeping the earlier higher-utility options ahead is best for my outcome under the applicant-proposing process and the blocking-job-seeker waivers do not harm my final placement.",True,Company_A,True,True,2
1,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_D', 'Company_C', 'Company_A', 'Company_B', 'Company_E']","I want Company_C most, but Company_C’s top priorities are Seeker_B then Seeker_A, and both Seeker_B (first choice) and Seeker_A (also ranks C above their later options) are likely to compete there, making my chance at C very low. Company_E ranks me #1, but I place E last, so I should only use it as a safe fallback. The best attainable outcome is Company_D: while Seeker_C ranks D first and has higher priority than me at D, Seeker_A has even higher priority at D and is likely to apply there after being rejected from E and B, which can push Seeker_C out; then Seeker_C will move to C (where they have higher priority than me), leaving D available for me. To ensure I’m positioned to take D when it opens, I rank D first to apply there immediately, then C and A, with B next and E last as guaranteed fallback.",False,Company_C,True,True,1
2,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","Submit the true order. Under this applicant-proposing deferred acceptance process, ranking a less-preferred company higher cannot help me get a more-preferred outcome, and it can only risk locking me into a worse match if I’m accepted there before trying my top choices. With full information: if I apply to Company_E first, I’m initially accepted (E’s priority: Eeker_E > Seeker_B > Seeker_A), and even after Seeker_B later applies to E, I still keep the seat because E prefers me over Seeker_B. So listing Company_E first secures my top choice; the remaining order follows my true preferences as backups.",True,Company_B,True,True,2
2,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","I should rank Company_E first because it is my top choice and I have very high priority there (2nd), so I will only lose it if Seeker_E applies to E. If I am rejected from E, my best strategic fallback is Company_C because it is my second true preference and I am the top priority at C, which makes acceptance there very likely whenever I apply. Listing C second also avoids wasting early rounds on companies where I have weaker priority (D ranks me last; B ranks me 2nd but A is ahead of me), so this order maximizes the chance of ending with E, and otherwise secures C.",True,Company_E,True,True,1
2,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","To maximize my outcome, I should target Company_D first because it is my top true choice and I have strong priority there (Company_D ranks me 2nd, behind only Seeker_A). Seeker_A is expected to apply to Company_E first, so Company_D is likely available to me in round 1. Reporting truthfully also avoids creating a temporary hold that I later abandon (which could trigger the blocking-job-seeker removal and a rerun). If I were somehow rejected from D, my next best and realistic fallback is Company_C, then Company_E, then Company_A, then Company_B, matching my true preferences while keeping only acceptable options.",True,Company_D,True,True,1
2,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_A', 'Company_E', 'Company_B', 'Company_D', 'Company_C']","Given others’ preferences, Company_E will be heavily contested (A, B, and I all rank it #1) and Company_E’s priority ranks me below Seeker_B and Seeker_A, so I cannot secure E. My best attainable match is Company_A because Company_A ranks me #2 and the only serious competitor for A is Seeker_E (who is lower priority than me at A) and possibly Seeker_A (but Seeker_A will hold Company_B due to top priority there). Therefore I should apply to Company_A first to lock it in immediately. Listing Company_E first would only cause an initial rejection and could risk losing the chance to secure A early if competition shifts. After A, I list the remaining firms in true-preference order.",False,Company_A,True,True,2
2,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","I cannot win Company_C or Company_A: Company_C ranks me 4th and will be taken by Seeker_B (top priority there) or Seeker_A/Seeker_D before me; Company_A ranks me last and will be taken by higher-priority seekers. Company_D is my best attainable high option because it ranks me above Seeker_B, so if I apply there first I can be temporarily held unless Seeker_A or Seeker_C apply (they do), but those two are likely to end up at Company_E and Company_D respectively, so I can later secure Company_D when they move away. To avoid being pushed into my worst option (Company_E, where I have top priority but low true preference), I rank Company_E last and keep Company_B ahead of it as a fallback (I can beat Seeker_D at Company_B if needed).",False,Company_C,True,True,1
3,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","I submit my true preference order. With full information, applying first to Company_E is best because I am ranked 3rd there and will secure it if higher-priority applicants (Seeker_E, Seeker_B) are not simultaneously applying there; otherwise my next best is Company_B where I am ranked 1st and can reliably win the seat if I apply. Listing Company_D next is sensible because I am also ranked 1st there, followed by Company_A (ranked 3rd) and Company_C (ranked 2nd). Misreporting to start with Company_B could forgo a chance at Company_E without improving my outcome given I can fall back to B/D where I have top priority.",True,Company_B,True,True,2
3,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","I rank Company_E first because it is my top true choice and Company_E’s priority list ranks me 2nd, giving me a strong chance to win the seat if I apply. If I lose E to Seeker_E (who is ranked 1st there and also applies to E), my best fallback is Company_C because Company_C ranks me 1st, so applying there next virtually guarantees admission. After that, I keep my remaining true preferences in order (D, then B, then A) since A ranks me 1st but is my least-preferred option; with the given priorities, this ordering maximizes my chance of ending at E, and otherwise secures C.",True,Company_E,True,True,1
3,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","To maximize my outcome, I should target the best company I can realistically secure given others’ applications and each company’s priorities. If I apply to Company_D first, I beat any competing applicants there (Company_D priority ranks me above Seeker_D/Seeker_E/Seeker_B), and Seeker_A is expected to go to Company_E instead, so I am very likely to hold D throughout. If Seeker_A were to compete at D, I would lose (they are ranked above me), but then my next best fallback is Company_C; however, Company_C prioritizes me last, making it hard to win if others apply. Therefore, the best strategy is to apply to D first and then list remaining true preferences in descending order as contingencies, with Company_B last because I am behind both Seeker_A and Seeker_B there and it is my least-preferred option.",True,Company_D,True,True,1
