Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","Given everyone’s preferences and schools’ priorities, running student-proposing DA with truthful preferences yields: A->School_C, B->School_B, C->School_D, D->School_A, E->School_E. Student_A cannot obtain School_A because Student_D is preferred there and will apply to School_A in round 2; Student_A also cannot obtain School_D because Student_C is preferred there and applies in round 1. Student_A’s best achievable outcome is therefore School_C (their 2nd true choice). Any misreport that delays applying to School_C risks losing it to Student_D/Student_E (both rank School_C first and are prioritized above Student_A at School_C), pushing Student_A down to School_B or School_E. The Part 2 ‘blocking student’ removal does not change Student_A’s final admission, so the safest best-response is to submit the true order to secure School_C.",True,School_E,False,True,5
1,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","Submit the true preference order. In Part 1 (student-proposing deferred acceptance), listing a less-preferred school above a more-preferred one can only risk getting stuck earlier and cannot improve the final assignment to a more-preferred option. The Part 2 ‘blocking student’ removals do not change my final admission, so there is no strategic benefit from misordering to influence others. Given schools’ priorities, my best achievable outcome is obtained by applying first to my top choice and then proceeding down my true list.",True,School_B,False,True,1
1,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","Submit your true preference order. Under the student-proposing deferred acceptance used in Part 1, ranking a school higher cannot hurt you because you only move down your list when rejected, and temporary holds are based on schools’ priorities. The Part 2 ‘blocking student’ cleanup only removes schools from lists for students who temporarily held a seat they didn’t end up using, and it is stated to never change your final admission. Therefore, no strategic misreport can improve your outcome relative to truthful reporting; the best way to maximize your match on your true preferences is to list them in true order.",True,School_D,False,True,1
1,Student_D,"['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","Given schools’ priorities, I am highly ranked at School_B (1st) and School_D (1st), and reasonably ranked at School_A (2nd) and School_C (3rd). However, School_C is my top choice and I can secure it by listing it first: in round 1, Student_A applies to School_A, Student_B to School_B, Student_C to School_D, Student_E to School_C, and I apply to School_C. School_C then chooses between Student_E and me and prefers me, so I am immediately (and ultimately) admitted to School_C. Listing any other school first would risk locking in a lower true-preference outcome (e.g., School_B) even though School_C is attainable. The blocking-student cleanup in Part 2 does not change my final admission, so the best strategy is to submit my true order with School_C first.",True,School_C,False,True,1
1,Student_E,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","To maximize my outcome under this student-proposing deferred acceptance with the additional blocking-student cleanup (which does not change my final admission), I should submit my true preferences. With everyone else applying to their top choices, School_C initially holds Student_D over me, and I end up competing at School_B where School_B’s priority ranks me last, so I cannot beat Student_A (and later Student_B) there. Any attempt to skip higher choices (e.g., not listing School_C or School_B) can only make me apply earlier to lower-ranked schools and cannot improve my final match because I do not have priority advantages that would let me capture a better school by strategic ordering. Thus, truthful ordering is optimal for me.",True,School_A,False,True,3
2,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","Given full information, submitting the true preference order is optimal here. In the student-proposing deferred acceptance process (Part 1), you cannot improve your outcome by misreporting: you apply to higher-ranked schools first and only move down if rejected. With others’ preferences and schools’ priorities, you are not competitive at School_A (it prefers B and D over you) and School_C (it ranks you last), and you also have the lowest priority at School_D. Your best attainable match is School_B, where you have higher priority than Student_B and Student_C and only lose to Student_D (who is expected to take School_C). Thus ranking School_B below School_D would not harm you (you’ll be rejected by D anyway), while keeping School_A and School_C above preserves any chance (however small) of getting them if others’ applications/priorities shift. Part 2’s blocking-student removals do not change your final admission, so there is no strategic gain from truncation or reordering within your acceptable set.",True,School_E,False,False,5
2,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","Submit the true preference order. Under the student-proposing deferred acceptance in Part 1, misreporting cannot improve your final match; it can only risk losing School_B or School_D by changing where you apply early. The Part 2 blocking-student removals are automatic and (by rule) never change your final admission, so there is no strategic benefit to altering your list for that stage either. Therefore, the best strategy to maximize your outcome on your true preferences is to rank all acceptable schools in your true order.",True,School_B,False,False,1
2,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","Given all students’ preferences and schools’ priorities, submitting my true order is optimal. If I rank School_D first, I am third in School_D’s priority, but Student_D and Student_E are likely to take School_D and School_C respectively, leaving me to compete for School_A/School_B. Any attempt to “game” by skipping School_D or reordering risks ending up at a lower true choice without improving my chances at higher ones, since schools always keep the highest-priority applicant and the Part 2 blocking-student removals do not change my final admission. Therefore, I should submit my true preference list unchanged to maximize the chance of the best attainable match.",True,School_A,False,False,2
2,Student_D,"['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","Submit the true order. With student-proposing deferred acceptance, ranking a more-preferred school higher cannot hurt you because you only move down your list if rejected, and schools always keep their highest-priority applicant among those who apply. Given priorities, you are 3rd at School_C (behind Student_C and Student_B), 2nd at School_A (behind Student_B), and 1st at School_B and School_D. If you rank truthfully, you apply to School_C first (best outcome if accepted); if rejected, you then apply to School_A; if rejected again, you reach School_B where you have top priority and will secure a seat. The Part 2 ‘blocking student’ cleanup does not change your final admission, so there is no strategic gain from misordering.",True,School_C,False,False,1
2,Student_E,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_D', 'School_C', 'School_B', 'School_A', 'School_E']","Given others’ first choices, School_C will initially take Student_C (top priority there), so listing School_C first risks an immediate rejection. The key is whether I can ever beat the likely occupant at each school. At School_B, Student_D applies to School_C first and is rejected (since School_C prefers Student_C), then applies to School_A and is rejected (School_A prefers Student_B), then applies to School_B and School_B ranks Student_D highest—so School_B will be taken by Student_D before I can secure it. At School_A, Student_B is highest priority and will end up there. At School_D, Student_C (after losing School_C) will apply to School_D early and School_D prefers Student_E over Student_C, so I can secure School_D by applying there before/when Student_C arrives. Therefore, to maximize my final outcome, I should place School_D first (best attainable). Higher true-preference schools (C, B, A) are effectively unattainable given priorities and others’ application paths, so they can be listed after without improving my result; School_E is lowest and unnecessary as a fallback since School_D is attainable.",False,School_D,False,False,4
