Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_E', 'School_B', 'School_D', 'School_A', 'School_C']","['School_B', 'School_E', 'School_D', 'School_A', 'School_C']","Because admissions are final each step and schools that fill in Step 1 disappear, you should avoid “wasting” an early application on a school you are unlikely to win in that step. In Step 1, School_E will receive multiple first-choice applications (A, B, D). School_E’s priority ranks B above A, so if you apply to E first you will be rejected and then E will be unavailable later. Instead, applying to School_B first is safe because School_B ranks you highest among all students, so you will be permanently admitted in Step 1. Any alternative first choice (E, D, A, or C) risks rejection in Step 1 and then forces you to compete for remaining schools with worse odds. Therefore, put School_B first; the remaining order can follow your true preferences among the schools you would still consider if somehow not admitted.",False,School_B,True,False,2
1,Student_B,"['School_E', 'School_C', 'School_D', 'School_B', 'School_A']","['School_C', 'School_E', 'School_D', 'School_B', 'School_A']","Under immediate-acceptance, you want to target a school where you are likely to be the highest-priority applicant in the round it is still available. If you rank School_E first, you lose to Student_E (School_E’s top priority) and then School_C will likely already be taken in Step 1 by you (if you had applied) or by Student_E in Step 2 (since School_C ranks Student_E above others who would apply then). By ranking School_C first, you are School_C’s top priority, so you are permanently admitted in Step 1, guaranteeing your #2 true choice. No strategy can secure School_E because Student_E applies to School_E first and is ranked above you there.",False,School_C,True,False,2
1,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_C', 'School_D', 'School_E', 'School_A', 'School_B']","With final admissions each step, the key is to apply early to a school you can actually win before it fills. In Step 1, School_E will take Student_B (higher priority than you), and School_D will take Student_A (higher priority than you), so applying to D first guarantees rejection. If you apply to School_C in Step 1, you are the only applicant there and get permanently admitted immediately. This dominates any strategy that starts with D/E (which leads to being shut out of C once it fills in Step 2) and is better than starting with A/B (also immediate admits but lower on your true preference list than C). Therefore, rank C first, then keep the remaining schools in true-preference order as fallbacks.",False,School_D,True,False,1
1,Student_D,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_A', 'School_E', 'School_B', 'School_D', 'School_C']","Because admissions are final immediately, it is optimal to target the best school you can actually secure at the earliest step. In Step 1, School_E will admit Student_E (its top priority) since Student_E applies there if listing truthfully, so applying to School_E first would almost surely waste Step 1 and lead to later rounds where better options may already be taken. School_A is the best realistic target: Student_B (who outranks you at School_A) applies to School_E first and is likely rejected there (behind Student_E), meaning Student_B will apply to School_C in Step 2 rather than School_A, so you can win School_A in Step 1 (you are School_A's #2 priority). Therefore, rank School_A first. After that, keep the remaining schools in true-preference order; they only matter if something unexpected happens and you are rejected from School_A.",False,School_A,True,False,2
1,Student_E,"['School_C', 'School_A', 'School_D', 'School_B', 'School_E']","['School_C', 'School_A', 'School_D', 'School_B', 'School_E']","Because admissions are final each step and schools that fill in Step 1 disappear, you should apply first to the best school you can realistically secure in Step 1. School_C (your top choice) will be available in Step 1 and you are the highest-priority applicant among those who apply there (only you apply to C first), so ranking School_C first guarantees you get it immediately. Any deviation (e.g., applying to School_A or School_D first) risks being rejected while School_C could be taken later by higher-priority students who get rejected from their first choices. After securing School_C first, the rest of the order is irrelevant for outcomes, but keeping your true preference order is weakly optimal and respects your priorities.",True,School_E,True,False,5
2,Student_A,"['School_E', 'School_B', 'School_D', 'School_A', 'School_C']","['School_E', 'School_B', 'School_D', 'School_A', 'School_C']","With final admissions each step, the key is to secure the best school you can win at the earliest possible step. If I rank School_E first, I lose it to Student_B (who also applies there first and has higher priority than me at School_E), and then in Step 2 I can still apply to School_B (since it remains unfilled in Step 1) and I have top priority there, guaranteeing admission. Any attempt to rank a different school first either yields a worse final match (e.g., ranking School_B first locks in School_B immediately, which is no better than the E-then-B plan) or risks missing School_B if it were filled earlier (it is not, but E-then-B is already optimal). Thus, listing true preferences in order is optimal and achieves School_B as the final outcome (second-best on my true list).",True,School_A,False,False,4
2,Student_B,"['School_E', 'School_C', 'School_D', 'School_B', 'School_A']","['School_C', 'School_E', 'School_D', 'School_B', 'School_A']","Because admissions are final immediately, you should apply first to the best school you can realistically win in Step 1. If you apply to School_E first, you lose to Student_E (School_E’s top priority) and then in Step 2 you cannot apply to School_C because it will already be filled in Step 1 by you if you had applied there, or by Student_E if they were rejected from E (but they won’t be). By applying to School_C first, you are School_C’s top priority, so you secure School_C immediately. This dominates other strategies: applying to E first results in ending up at School_A later (worse than C), and applying to D/B/A first yields outcomes no better than C given others’ Step-1 applications and school priorities. After locking in C, the remaining order is irrelevant for your outcome, so keep your true preferences order for completeness.",False,School_C,False,False,2
2,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","Because admissions are final and schools that fill early disappear, the key is to avoid wasting early rounds applying to schools you cannot win. In Step 1, School_D will receive applications from Student_C (you) and Student_A (who ranks it 3rd but will be rejected from School_E). School_D’s priority ranks Student_A above you, so if you apply to School_D in Step 1 you will be permanently rejected and lose the chance to secure a seat elsewhere early. If instead you apply to School_C in Step 1, you are the only Step-1 applicant to School_C (Student_B applies to School_E; Student_E applies to School_C but will be rejected? actually Student_E ranks School_C first and will apply there too; however School_C’s priority ranks Student_E above Student_C, so you would lose if Student_E applies. To avoid that, apply to School_E first: you will be rejected (School_E admits Student_B), but then in Step 2 you can apply to School_C only if it is still available; School_C will have been taken by Student_E in Step 1, so it won’t be available. The best attainable outcome given others’ first choices and priorities is to secure School_A in Step 2/3 rather than end up forced to School_B last. Ordering as D, C, E, A, B ensures you always try higher true preferences first while still having A ahead of B as the realistic fallback once D/C/E are filled.",True,School_D,False,False,1
2,Student_D,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_B', 'School_E', 'School_A', 'School_D', 'School_C']","With immediate acceptance, the key is to avoid wasting early rounds on schools you cannot win. In Step 1, School_E will receive applications from A, B, and D, and School_E’s priority among them is B > A > D, so you cannot be admitted there. If you rank School_E first, you will be rejected and then cannot apply to School_A in Step 2 because School_A will already be filled in Step 1 by Student_B (its top priority). The best achievable match for you is School_B: you can win School_B in Step 1 because Student_A applies to School_E first (not School_B), and no one else applies to School_B first. Therefore, put School_B first to lock it in immediately. After that, list remaining schools in true-preference order for completeness, but they won’t be reached if you secure School_B in Step 1.",False,School_B,False,False,3
2,Student_E,"['School_C', 'School_A', 'School_D', 'School_B', 'School_E']","['School_E', 'School_C', 'School_A', 'School_D', 'School_B']","Because admissions are final each step and schools that fill in Step 1 disappear, the key is to target a school where you are likely to be the highest-priority applicant at the moment it is still available. If you rank School_C first, you lose to Student_B (higher priority at C), and then in Step 2 you cannot apply to School_A because it will already be filled in Step 1 by Student_D (A is Student_D’s first choice and A prioritizes D over you). By instead ranking School_E first, you are School_E’s top priority, so you are guaranteed to be permanently admitted in Step 1. This yields School_E, which is better than the likely alternative outcomes after being rejected from C (typically ending at School_B or unemployment).",False,School_E,False,False,5
