Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","The procedure is the parent-proposing deferred acceptance algorithm. With complete information, there is no beneficial misreport for a parent: submitting the true preference order is a dominant strategy and yields the best achievable (parent-optimal) stable match for Parent_A. Given others’ first choices, applying to Nursery_A first is still optimal even though Parent_A is only 3rd in Nursery_A’s priority, because if rejected Parent_A can then move to Nursery_C, Nursery_D, etc. Any reordering that puts a less-preferred nursery above a more-preferred one can only risk getting locked into a worse final assignment without improving chances at a better one under deferred acceptance.",True,Nursery_E,True,False,5
1,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","This is the parent-proposing deferred acceptance algorithm, where submitting your true preference order is a dominant strategy: you cannot improve your final match by misreporting, but you can risk ending up with a worse assignment. Therefore, to maximize the chance of receiving the highest possible nursery on your true list, submit your true ranking. (In this market, doing so yields Nursery_A, since Nursery_B is taken by a higher-priority applicant and Nursery_D is taken by a higher-priority applicant, after which Nursery_A prefers you over competing applicants.)",True,Nursery_A,True,False,3
1,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","Given others' first choices, applying to Nursery_D first is safe and optimal: Parent_A applies to Nursery_A, Parent_B to Nursery_B, and Parent_D/Parent_E to Nursery_C, so Nursery_D receives only my application in round 1 and I am immediately (and finally) matched to my top true choice. Any deviation (e.g., starting with Nursery_A or Nursery_B) risks rejection due to those nurseries' higher-priority applicants, potentially pushing me down my preference list. Therefore, submitting my true order is best, with Nursery_D first.",True,Nursery_C,True,False,4
1,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","Submit the true preference order. Under the described parent-proposing deferred acceptance process, you cannot improve your final assignment by misreporting; ranking a less-preferred nursery higher can only risk getting stuck there if it tentatively accepts you. With your priorities: at Nursery_C you are 3rd (behind Parent_C and Parent_B), at Nursery_A you are 2nd, and at Nursery_B and Nursery_D you are 1st. Running the process with truthful reports yields you Nursery_A (your 2nd choice): you apply to Nursery_C first and are rejected (Parent_B wins there), then you apply to Nursery_A and are accepted over Parent_A. Any deviation that places Nursery_A first would still give Nursery_A, while placing Nursery_B first would lock in a worse (3rd-choice) match. Therefore the best strategy is to report your true ranking.",True,Nursery_B,True,False,3
1,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This is a parent-proposing deferred acceptance process, so submitting my true preference order is strategy-proof: misreporting cannot improve my final match and can only risk losing a higher-preferred nursery. Given others’ first choices, I will be rejected from Nursery_C in round 1 (Parent_D applies there and has higher priority than me at Nursery_C). Then I apply to Nursery_B in round 2, where I can displace the current tentative admit (Parent_B) because Nursery_B’s priority ranks Parent_B above me but Parent_B is not there initially; the tentative admit at B after round 1 is Parent_B, and when I apply in round 2 B keeps Parent_B (since B ranks Parent_B above Parent_E), so I proceed to Nursery_A in round 3, where I can be accepted because Nursery_A ranks me above Parent_C and Parent_C is the one who ends up applying there after being rejected from B. Thus the best achievable outcome is Nursery_A, and listing schools truthfully in descending preference is optimal under the mechanism.",True,Nursery_D,True,False,4
2,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","This procedure is the parent-proposing deferred acceptance algorithm. Given full information and strict preferences, it is strategy-proof for parents: you cannot improve your final match by misreporting, and misreporting can only weakly hurt you. Submitting my true order is optimal. With truthful lists, the run is: Round1 A->Nursery_A (rejected because Nursery_A prioritizes Parent_B), B->Nursery_B (rejected because Nursery_B prioritizes Parent_D), C->Nursery_D (rejected because Nursery_D prioritizes Parent_D), D->Nursery_C (tentatively accepted), E->Nursery_C (rejected because Nursery_C prioritizes D over E). Round2 A->Nursery_C (rejected because Nursery_C ranks A last), B->Nursery_D (rejected because Nursery_D keeps D), C->Nursery_A (rejected because Nursery_A keeps B), E->Nursery_B (rejected because Nursery_B keeps D). Round3 A->Nursery_D (rejected because Nursery_D keeps D), C->Nursery_B (rejected because Nursery_B keeps D), E->Nursery_A (rejected because Nursery_A keeps B). Round4 A->Nursery_B (accepted since Nursery_B prefers A over its current C), C->Nursery_C (accepted since Nursery_C prefers C over its current D), D->Nursery_A (accepted since Nursery_A prefers D over its current B), and B then goes to Nursery_E (accepted). Final: A gets Nursery_B. Any attempt to rank Nursery_B higher cannot yield a better-than-B outcome (A, C, D are not realistically attainable due to priorities), and could risk earlier acceptance dynamics; thus truthful ranking is best.",True,Nursery_E,True,False,5
2,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","Submit the true preference order. The procedure is parent-proposing deferred acceptance, where ranking a nursery higher cannot hurt you (it only gives you an earlier chance there, and you can always be rejected and apply to later options). Given others’ first choices, applying first to Nursery_B is safe: Parent_D applies to Nursery_C, Parent_A to Nursery_A, Parent_C to Nursery_D, Parent_E to Nursery_C, so you face no first-round competition at Nursery_B and will be accepted immediately. Any deviation (e.g., not ranking Nursery_B first) risks losing Nursery_B to someone who might later apply there (Parent_A is ahead of you in Nursery_B’s priority) and could force you into a worse match. Therefore the best strategy is to rank exactly your true preferences.",True,Nursery_A,True,False,3
2,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","This is a parent-proposing deferred acceptance process, where (given others’ fixed preferences) you should apply in your true order unless you can safely skip a top choice that you would never get. Here, if you apply to Nursery_D first, you are 3rd in Nursery_D’s priority, but Parent_D and Parent_E both rank Nursery_D last/4th, so neither will apply there early; thus you will be accepted at Nursery_D in round 1 and never need backups. Any attempt to start elsewhere risks getting stuck with a worse final assignment (since acceptances are only tentative and you could be displaced later), without improving your chance at Nursery_D. Therefore, submit your true preference order with Nursery_D first.",True,Nursery_C,True,False,4
2,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","Submit the true preference order. With parent-proposing deferred acceptance (as described), you cannot improve your final match by misreporting: the algorithm is strategy-proof for parents. Given others' preferences and nurseries' priorities, applying first to Nursery_C is safe because you have relatively high priority there (3rd) and it is your top choice; if you were rejected, the process would move you to Nursery_A next where you have even higher priority (2nd). Any attempt to start at Nursery_A or Nursery_B would only risk losing the chance at Nursery_C without creating a better-than-true-top outcome.",True,Nursery_B,True,False,3
2,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This is a parent-proposing deferred acceptance process, where (given others’ submitted lists are their true preferences) reporting your true preference order is a dominant strategy: misordering cannot get you a better nursery than the best one you can obtain truthfully and can only risk losing a more-preferred option. Under truthful play by all, the resulting stable match assigns you Nursery_D (since Nursery_C goes to Parent_C by higher priority, Nursery_B goes to Parent_D, and Nursery_A goes to Parent_B), so the best strategy is to submit your true ranking to ensure you don’t forfeit any chance at a higher choice.",True,Nursery_D,True,False,4
