Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","The procedure described is the Top Trading Cycles (TTC) mechanism: each parent points to their top remaining nursery and each nursery points to its highest-priority remaining parent; any cycle is finalized. In TTC, reporting your true preference order is a dominant strategy (you cannot improve your outcome by misreporting, given others’ preferences and nurseries’ priorities). Therefore, to maximize the chance of receiving the highest possible nursery on my true list, I should submit my true ranking unchanged.",True,Nursery_E,False,True,4
1,Parent_B,"['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","This procedure is the Top Trading Cycles mechanism: each parent points to their top remaining nursery and each nursery points to its highest-priority remaining parent; any cycle is finalized. Under TTC, reporting true preferences is a dominant strategy because you cannot improve your outcome by misreporting, and misreporting can only risk losing a nursery you could have secured in a cycle. Given the full market, the TTC outcome with truthful reporting assigns you Nursery_C (since Nursery_C’s top priority is Parent_B, it points to you; you can end up in the cycle that forms around Nursery_C once higher-priority parents at other nurseries are removed). Any attempt to rank Nursery_C first would not get you Nursery_A or Nursery_B (you lack top priority there) and could only weakly harm, not help. Therefore submit your true order.",True,Nursery_A,False,True,1
1,Parent_C,"['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","Given everyone’s preferences and each nursery’s priority order, the procedure is a Top Trading Cycles–style process where you can only ever be assigned to a nursery you apply to in that round, and closed loops form based on each nursery pointing to its top-priority remaining parent. In round 1, Nursery_B points to Parent_E, Nursery_C points to Parent_B, Nursery_A points to Parent_E, Nursery_D points to Parent_D, Nursery_E points to Parent_A. This creates immediate self-loops for Parent_B at Nursery_A and Parent_E at Nursery_C, removing them. In the next round, Nursery_B’s top remaining priority becomes Parent_C, so if you apply to Nursery_B at that point you form a self-loop and are admitted. Therefore, ranking Nursery_B first is optimal and cannot be improved upon by misreporting, since it yields your true top choice as soon as Nursery_B becomes available to you in the process.",True,Nursery_B,False,True,1
1,Parent_D,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","This procedure is the Top Trading Cycles mechanism. With TTC, submitting your true preference order is a dominant strategy: misreporting cannot get you a better nursery and can only risk a worse assignment. Given others’ preferences and nurseries’ priorities, the TTC outcome assigns you to Nursery_B when you report truthfully, and no alternative ranking can improve upon your top choice.",True,Nursery_D,False,True,5
1,Parent_E,"['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","The procedure described is the Top Trading Cycles mechanism: in each round, each parent points to their top remaining nursery and each nursery points to its highest-priority remaining parent; at least one cycle forms and all agents in cycles are matched. Under TTC, reporting your true preference order is a dominant strategy (you cannot improve your outcome by misreporting given full information). Therefore, to maximize the chance of receiving the highest possible nursery on my true list, I should submit my True Preference List unchanged.",True,Nursery_C,False,True,1
2,Parent_A,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","The procedure is Top Trading Cycles (applications point to top remaining choice; nurseries point to highest-priority remaining parent). Under TTC, reporting true preferences is a dominant strategy: misordering cannot improve your outcome and can only risk losing a better available option when cycles are formed and removed. Given all priorities, you are low priority at Nursery_B and Nursery_C, but you are top priority at Nursery_E; still, TTC will automatically move you to the best nursery you can obtain among your true rankings, so the safest and optimal submission is your true order.",True,Nursery_E,False,True,4
2,Parent_B,"['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","This procedure is the Top Trading Cycles mechanism (parents point to their top remaining nursery; nurseries point to their top-priority remaining parent; cycles are finalized). In TTC, submitting your true preference order is a dominant strategy: misreporting cannot get you a better nursery and can only risk a worse one. With true reporting, the outcome is: Parent_E is taken by Nursery_A (A points to E and E points to C, forming a cycle elsewhere), Parent_B is the top priority at Nursery_C and points to Nursery_A initially but ends up in the cycle that assigns B to Nursery_C, which is the best feasible assignment for B given others’ preferences and nurseries’ priorities. Any attempt to rank Nursery_C above Nursery_A would only make you apply to Nursery_C earlier and still get Nursery_C; ranking lower options earlier could only worsen your result.",True,Nursery_A,False,True,1
2,Parent_C,"['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","Submit the true preference order. Under the described top-trading-cycles style procedure (parents apply to their top remaining option; nurseries point to highest-priority remaining parent; cycles are finalized), misreporting cannot improve your outcome and can only risk losing Nursery_B or Nursery_C. With truthful ranking, in the first round Nursery_B points to Parent_E, Parent_E applies to Nursery_C, and Nursery_C points to Parent_B, who applies to Nursery_A, and Nursery_A points back to Parent_E, forming a cycle that removes Parent_E (to Nursery_C) and Parent_B (to Nursery_A). Then you become Nursery_B’s top remaining priority and will be matched to Nursery_B, your top choice. Any deviation that doesn’t put Nursery_B first could delay your application and potentially forfeit it if priorities and cycles resolve differently.",True,Nursery_B,False,True,1
2,Parent_D,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","This procedure is the Top Trading Cycles mechanism. With strict preferences and priorities, reporting your true preference order is a dominant strategy: misreporting cannot get you a better nursery than what you would obtain by being truthful, and can only risk a worse outcome. Given the full market information, submitting the true order ensures you get the best achievable assignment under TTC.",True,Nursery_D,False,True,5
2,Parent_E,"['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","The procedure is the Top Trading Cycles mechanism: in each round, every parent points to their top remaining nursery and each nursery points to its highest-priority remaining parent; any cycle is immediately finalized. Given full information, submitting your true preference order is optimal (strategy-proof) because you cannot improve your assignment by misreporting, and misreporting can only weakly harm you. With truthful reporting, in round 1 you apply to Nursery_C; Nursery_C points to Parent_B, Parent_B applies to Nursery_A, Nursery_A points to you, forming the cycle (Parent_E -> Nursery_C -> Parent_B -> Nursery_A -> Parent_E), which assigns you to Nursery_C (your top choice). Any deviation risks breaking this favorable cycle and could push you to a lower-ranked option.",True,Nursery_C,False,True,1
3,Parent_A,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","The procedure described is the Top Trading Cycles mechanism (parents point to their top remaining nursery; nurseries point to their top-priority remaining parent; cycles are finalized). In TTC, submitting your true preference order is a dominant strategy: misreporting cannot get you a better assignment and can only weakly harm you. Given all priorities, the TTC outcome with truthful reporting assigns you to Nursery_E (a 4-cycle forms: Parent_A→Nursery_B→Parent_B→Nursery_A→Parent_E→Nursery_C→Parent_C→Nursery_B, and Parent_A ends up at Nursery_E via the cycle Parent_A→Nursery_B, Nursery_B→Parent_E, Parent_E→Nursery_C, Nursery_C→Parent_B, Parent_B→Nursery_A, Nursery_A→Parent_D, Parent_D→Nursery_B etc.; the finalized cycle that includes you gives you Nursery_E). Therefore, the best strategy is to submit your true ranking unchanged.",True,Nursery_E,False,True,4
3,Parent_B,"['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","This procedure is the Top Trading Cycles (TTC) mechanism with parents pointing to their top remaining nursery and each nursery pointing to its highest-priority remaining parent. In TTC, submitting your true preference order is a dominant strategy: misreporting cannot get you a better nursery than truthful reporting given others’ fixed reports and nurseries’ priorities. Here, in the first round Nursery_C points to Parent_B, but Parent_B’s top choice is Nursery_A, so no immediate self-loop forms for B; however, TTC will still eventually place B at the best feasible nursery for B under the mechanism. Any attempt to rank a less-preferred nursery (e.g., Nursery_C) above Nursery_A risks locking into an earlier cycle at a worse outcome without improving access to Nursery_A (where B has relatively low priority). Therefore, the best submission is the true preference list.",True,Nursery_A,False,True,1
3,Parent_C,"['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","The described procedure is the Top Trading Cycles mechanism: each parent points to their top remaining nursery and each nursery points to its highest-priority remaining parent; closed loops are executed. Under TTC, reporting true preferences is a dominant strategy, so misordering cannot improve my outcome and can only risk a worse assignment. With truthful reporting, the first-round pointers form a cycle involving me (Parent_C -> Nursery_B, Nursery_B -> Parent_C), so I secure my top choice immediately.",True,Nursery_B,False,True,1
3,Parent_D,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","This procedure is the Top Trading Cycles mechanism: each parent points to their top remaining nursery, and each nursery points to its highest-priority remaining parent; resulting cycles are finalized. Under TTC, reporting your true preference order is a dominant strategy—misreporting cannot improve your final assignment and can only weakly harm it—because you always receive the best available outcome given the priority structure once cycles are formed. Therefore, to maximize the chance of getting the highest-ranked feasible nursery, I should submit my true ranking unchanged.",True,Nursery_D,False,True,5
3,Parent_E,"['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","Given the cycle-based (top trading cycles) procedure, submitting the true preference order is optimal because any attempt to mis-rank can only move me to a less-preferred nursery without increasing the chance of obtaining a more-preferred one. With full information: in round 1, I apply to Nursery_C while Nursery_C identifies Parent_B; Parent_B applies to Nursery_A and Nursery_A identifies me, forming the closed loop Parent_E -> Nursery_C -> Parent_B -> Nursery_A -> Parent_E, which assigns me to Nursery_C (my top choice). Any deviation from ranking Nursery_C first breaks this favorable loop and risks assignment to a lower-ranked option.",True,Nursery_C,False,True,1
4,Parent_A,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","The described procedure is the Top Trading Cycles mechanism: each parent points to their top remaining choice and each nursery points to its highest-priority remaining parent; any cycle is executed. In TTC, reporting true preferences is a dominant strategy, so misranking cannot improve Parent_A’s outcome and can only risk being matched to a less-preferred nursery. Given full information, Parent_A is lowest priority at Nursery_B and Nursery_C, so trying to game by ranking lower options first could lock in a worse cycle. Submitting the true order maximizes the chance of getting the best feasible assignment under the mechanism.",True,Nursery_E,False,True,4
4,Parent_B,"['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","This procedure is the Top Trading Cycles mechanism: each parent points to their top remaining nursery and each nursery points to its highest-priority remaining parent; any cycle is immediately finalized. Under TTC, reporting your true preference order is a dominant strategy (misreporting cannot get you a better nursery than truthful reporting). Given the full market priorities, you are the top priority at Nursery_C, so you will end up in the cycle that assigns you Nursery_C regardless; any attempt to rank Nursery_C lower cannot improve your outcome and may only risk a worse result if the mechanism’s remaining options change unfavorably. Therefore, submit your true preference list.",True,Nursery_A,False,True,1
4,Parent_C,"['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","Submit the true preference order. In this top-trading-cycles style procedure, you cannot improve your final assignment by misreporting: cycles are formed based on current top choices and each nursery’s top-priority remaining parent, so ranking a less-preferred nursery higher can only cause you to be locked into that worse option earlier. With the given priorities, you have strong priority at Nursery_E (2nd) and good priority at Nursery_C (2nd) and Nursery_B (3rd); keeping your genuine order ensures you only trade down if higher options are unattainable given others’ priorities and choices.",True,Nursery_B,False,True,1
4,Parent_D,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","This procedure is Top Trading Cycles. Given all reported preferences/priorities, in round 1 Parent_D applying to Nursery_B would not be in any closed loop because Nursery_B identifies Parent_E, and the unique cycle formed is Parent_A->B, B->E, Parent_E->C, C->B, which admits A to B and E to C. In round 2, with B and C removed, Parent_D’s best remaining option is Nursery_A (since Nursery_C is full). If Parent_D applies to Nursery_A, Nursery_A identifies Parent_D (its top remaining after Parent_E is removed), creating an immediate 2-cycle (D<->A) and guaranteeing Parent_D gets Nursery_A. Any attempt to chase Nursery_C cannot succeed because it is filled in round 1, and ranking Nursery_E or Nursery_D above Nursery_A would risk being locked into a worse cycle later. Therefore, keep true order with B first (no downside) and A ahead of E and D to secure A as early as possible.",True,Nursery_D,False,True,5
4,Parent_E,"['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","The described procedure is the Top Trading Cycles (TTC) mechanism: each parent points to their top remaining nursery, each nursery points to its highest-priority remaining parent, and cycles are finalized. Under TTC, reporting your true preference order is a dominant strategy (you cannot improve your outcome by misreporting, given full information and fixed priorities/quotas). Therefore, the best submission is to list nurseries exactly in your true order: start with Nursery_C, then Nursery_D, Nursery_A, Nursery_E, and finally Nursery_B.",True,Nursery_C,False,True,1
5,Parent_A,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","This procedure is the Top Trading Cycles mechanism (parents point to their top remaining nursery; nurseries point to their top-priority remaining parent; cycles are finalized). In TTC, submitting your true preference order is a dominant strategy: misreporting cannot improve your outcome and can only risk moving you to a less-preferred nursery. Given the full market information, the TTC outcome for you is Nursery_E (because Nursery_E points to you first, and the cycle Parent_A→Nursery_B→Parent_E→Nursery_C→Parent_B→Nursery_A→Parent_D→Nursery_B closes, leaving you to take Nursery_E next). Any attempt to rank Nursery_E higher would not get you something better than your true top choices, and could only make you accept Nursery_E earlier (never improving beyond Nursery_B/Nursery_C/Nursery_A, which are unattainable for you in TTC due to higher-priority claims). Therefore, the best submission is your true preference list.",True,Nursery_E,False,True,4
5,Parent_B,"['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","Under this top-trading-cycles style procedure, you can never do better than your top true choice, Nursery_A. In Step 1, Nursery_A identifies Parent_E (its top priority), and Parent_E applies to Nursery_C; Nursery_C identifies you (Parent_B), and you apply to Nursery_A if you rank it first. This creates the closed loop: Parent_E -> Nursery_C -> Parent_B -> Nursery_A -> Parent_E, which assigns you to Nursery_A immediately. Any attempt to rank something else first risks placing you into a different closed loop (e.g., with Nursery_B or Nursery_C) and losing Nursery_A permanently once quotas are removed. Therefore, the optimal strategy is to submit your true ranking with Nursery_A first.",True,Nursery_A,False,True,1
5,Parent_C,"['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","['Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E', 'Nursery_A']","Under this top-trading-cycles style procedure, you should rank nurseries truthfully: misreporting cannot get you a better assignment because assignments occur only via closed loops based on current top choices and nurseries’ top-priority remaining parents. With the given priorities, the first loop formed is Parent_E→Nursery_C and Nursery_C→Parent_E, removing Nursery_C. Next, Parent_C applies to Nursery_B, and Nursery_B identifies Parent_C among remaining parents, creating a direct loop that assigns you to Nursery_B. Any deviation that puts Nursery_B below another option risks missing this immediate loop and ending up with a worse remaining seat. Therefore, submit your true order with Nursery_B first.",True,Nursery_B,False,True,1
5,Parent_D,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","This procedure is Top Trading Cycles (TTC). Under TTC with strict priorities, reporting your true preference order is a dominant strategy: misreporting cannot get you a better (higher-ranked) nursery and can only risk a worse assignment. Given others’ preferences and nurseries’ priority lists, the TTC outcome with truthful reports assigns you to Nursery_C (your 2nd choice). Any attempt to rank Nursery_C first would not improve beyond C (since you cannot obtain Nursery_B due to higher-priority claimants), and could only jeopardize the guaranteed cycle that yields C. Therefore, submit your true preference list.",True,Nursery_D,False,True,5
5,Parent_E,"['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","['Nursery_C', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_B']","This procedure is the Top Trading Cycles mechanism. With strict priorities and one seat each, TTC is strategy-proof for parents: you cannot improve your assignment by misreporting your preferences. Therefore, the best submission is your true preference order. Submitting anything else can only weakly worsen your outcome (e.g., by placing a less-preferred nursery earlier and getting locked into it if you are in a cycle).",True,Nursery_C,False,True,1
6,Parent_A,"['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_E', 'Nursery_D']","The described procedure is the Top Trading Cycles mechanism (parents point to their top remaining choice; nurseries point to their top-priority remaining parent; cycles are finalized). In TTC, submitting your true preference order is a dominant strategy: misreporting cannot improve your final assignment and can only risk losing a better cycle you would otherwise be part of. Given all parents’ preferences and all nurseries’ priorities, the best strategy is to report your true ranking unchanged.",True,Nursery_E,False,True,4
6,Parent_B,"['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_D', 'Nursery_E']","This procedure is the top-trading-cycles mechanism: each parent points to their top remaining nursery, and each nursery points to its highest-priority remaining parent; any cycle is immediately finalized. In TTC, submitting your true preference order is a dominant strategy—misreporting cannot get you a better (higher-ranked) assignment and can only risk a worse one. Given the known priorities, you are the top priority at Nursery_C, so you will secure Nursery_C unless you are in a cycle that gives you Nursery_A or Nursery_B; ranking truthfully preserves any chance of a better cycle while guaranteeing you do not forgo a higher true choice. Therefore, submit your true list unchanged.",True,Nursery_A,False,True,1
