Trial,Agent,Matched_Partner,Stability,Efficiency,Is_Honest,Submitted_List,True_Preference
1,Seeker_A,Company_A,True,False,False,[],"['Company_A', 'Company_C', 'Company_B', 'Company_E', 'Company_D']"
1,Seeker_B,Company_B,True,False,False,[],"['Company_B', 'Company_A', 'Company_E', 'Company_C', 'Company_D']"
1,Seeker_C,Company_C,True,False,False,[],"['Company_C', 'Company_D', 'Company_A', 'Company_B', 'Company_E']"
1,Seeker_D,Company_D,True,False,False,[],"['Company_E', 'Company_D', 'Company_C', 'Company_B', 'Company_A']"
1,Seeker_E,Company_E,True,False,False,[],"['Company_A', 'Company_B', 'Company_C', 'Company_D', 'Company_E']"
2,Seeker_A,Company_C,False,False,False,[],"['Company_A', 'Company_C', 'Company_B', 'Company_E', 'Company_D']"
2,Seeker_B,Company_B,False,False,False,[],"['Company_B', 'Company_A', 'Company_E', 'Company_C', 'Company_D']"
2,Seeker_C,Company_A,False,False,False,[],"['Company_C', 'Company_D', 'Company_A', 'Company_B', 'Company_E']"
2,Seeker_D,Company_D,False,False,False,[],"['Company_E', 'Company_D', 'Company_C', 'Company_B', 'Company_A']"
2,Seeker_E,Company_E,False,False,False,[],"['Company_A', 'Company_B', 'Company_C', 'Company_D', 'Company_E']"
3,Seeker_A,Company_C,False,False,False,[],"['Company_A', 'Company_C', 'Company_B', 'Company_E', 'Company_D']"
3,Seeker_B,Company_B,False,False,False,[],"['Company_B', 'Company_A', 'Company_E', 'Company_C', 'Company_D']"
3,Seeker_C,Company_E,False,False,False,[],"['Company_C', 'Company_D', 'Company_A', 'Company_B', 'Company_E']"
3,Seeker_D,Company_D,False,False,False,[],"['Company_E', 'Company_D', 'Company_C', 'Company_B', 'Company_A']"
3,Seeker_E,Unmatched,False,False,False,[],"['Company_A', 'Company_B', 'Company_C', 'Company_D', 'Company_E']"
