Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","Under job-seeker-proposing deferred acceptance, submitting my true preferences is a dominant strategy: misranking cannot get me a better (higher true-ranked) outcome and can only risk losing it. With full information, the expected DA path is: in round 1 I apply to Company_E but lose to higher-priority applicants (Seeker_E/Seeker_B). In round 2 I apply to Company_B, where I have top priority, so I am accepted and will not be displaced. Thus truthful ranking yields my best achievable match (Company_B).",True,Company_B,True,True,2
1,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","I can safely rank my true top choice Company_E first because Company_E’s priority list ranks me 2nd (behind only Seeker_E). Seeker_E applies to Company_C first, so I face competition at E mainly from Seeker_A and Seeker_D, but Company_E prefers me over both, meaning I will be held by E once I apply. Given the deferred acceptance process, listing E first is best. For the remaining order, Company_C is my next best and also ranks me 1st, making it an excellent fallback if something unexpected displaced me at E. Next, Company_D is my third choice, though it ranks me last, so it is a weaker fallback than C. Between B and A, I prefer B over A; while A ranks me 1st, I still keep it last because it is my least-preferred acceptable option and I only want it if all better options fail.",True,Company_E,True,True,1
1,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","I should rank truthfully because the job-seeker-proposing deferred acceptance algorithm makes truthful reporting a best response for seekers. With everyone else’s preferences and firms’ priorities, applying to my true top (Company_D) first is optimal: D’s top priority is Seeker_A, but Seeker_A applies to Company_E first and is accepted there (E prefers A over D’s other contenders except E’s top choices), so I am not displaced at D. If I were rejected at D, my next best feasible fallback would be Company_C, then Company_E, then Company_A, then Company_B, matching my true order.",True,Company_D,True,True,1
1,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","This is a seeker-proposing deferred acceptance process, so ranking a less-preferred company higher cannot help me get a better outcome; it can only risk locking me into a worse match. Given others’ preferences/priorities, applying to Company_E first is still optimal: although I’m behind Seeker_E, Seeker_B, and Seeker_A there, if I’m rejected I then apply to Company_A where I have strong priority (2nd). In the likely sequence, Company_A will tentatively hold Seeker_B initially but will later replace them with me once Seeker_B moves to Company_C, so I end up at Company_A. Keeping the remaining companies in true order is safest and preserves the best possible fallback options under rejections.",True,Company_A,True,True,2
1,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_A', 'Company_C', 'Company_D', 'Company_B', 'Company_E']","Given others’ preferences, Company_C will be heavily contested in round 1 by Seeker_B, who has top priority at Company_C, so applying there first is very likely to lead to rejection. If I instead apply to Company_A first, I am the only seeker who ranks A first, so I am admitted immediately and never displaced (Company_A has no higher-priority applicant who would apply there later). This guarantees a match at my 2nd true choice, which is better than the high risk of ending up at Company_B or Company_E if I start at Company_C and get rejected multiple times.",False,Company_C,True,True,1
2,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","I can obtain my top choice Company_E by ranking it first: although multiple seekers apply to E initially (Seeker_B, Seeker_D, and me), Company_E’s priority order is Seeker_E > Seeker_B > Seeker_A > Seeker_D > Seeker_C, so E will hold Seeker_B and reject me. However, Seeker_B is the top priority at Company_C and will move to C in the next round (since C prefers B over E), freeing Company_E. At that point, I reapply to my next option and can later be accepted by E when it becomes available. To ensure I remain eligible for E when it opens, I keep Company_E at the top and then list my true next-best options in order; no beneficial misreport improves on ultimately reaching E given the known priorities and the deferred acceptance dynamics.",True,Company_B,True,True,2
2,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","This is a seeker-proposing deferred acceptance process, so ranking a company higher cannot hurt my final match (it only affects the order I apply). Given all preferences/priorities, applying truthfully is optimal: I first apply to Company_E where I have strong priority (2nd) and only Seeker_E outranks me; if displaced, my next best is Company_C where I am the top priority, making it a very safe fallback. Company_D is less favorable because I have lowest priority there, while Company_B and Company_A are safer (high priority) but are lower in my true preferences, so they remain later.",True,Company_E,True,True,1
2,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","I want Company_D most, and I have strong priority there (Company_D ranks me 2nd). The only seeker above me at D is Seeker_A, but Seeker_A applies to Company_E first and is likely to be accepted there (Company_E ranks Seeker_A 3rd, behind Seeker_E and Seeker_B who also apply to E; Seeker_E is top at E and should take it). That makes it very likely Company_D is available to me if I apply there first. If I were rejected at D (only if Seeker_A also ends up applying to D), my best next option is Company_C; although Company_C ranks me last, applying second is still optimal because my remaining alternatives (E, A, B) are also very hard for me to win given each company’s priorities. Therefore I submit my true preference order to maximize the chance of getting D and otherwise fall back in descending desirability.",True,Company_D,True,True,1
2,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","I should rank truthfully. In a job-seeker-proposing deferred acceptance process, submitting my true preferences is a dominant strategy: it cannot make me worse off and can only (weakly) improve my outcome. Given others’ preferences, Company_E will accept Seeker_B (higher priority than me) once they apply, so I will be rejected from E and then apply to my next choice. At Company_A, I have higher priority than Seeker_A and Seeker_E, so after likely rejection from E I can secure A. Any attempt to game by ranking A first would only risk losing the (small) chance E remains available, without improving the best achievable stable outcome.",True,Company_A,True,True,2
2,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","I can safely rank truthfully. If I apply to Company_C first, I am only behind Seeker_B and Seeker_A in Company_C’s priority, but both of them apply to Company_E first and will be accepted there (Company_E ranks Seeker_E first, then Seeker_B, then Seeker_A). So Company_C will receive no higher-priority applicant than me in round 1, and I will be held there permanently. Any attempt to game by ranking a different firm first would only risk losing Company_C without improving on my top true choice.",True,Company_C,True,True,1
3,Seeker_A,"['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","['Company_E', 'Company_B', 'Company_D', 'Company_A', 'Company_C']","Given full information, submitting my true order is optimal under this seeker-proposing deferred acceptance process: it is strategy-proof for seekers, so misreporting cannot improve my final match. If I apply to Company_E first, I am its #3 priority and will lose only to Seeker_E or Seeker_B if they apply there; otherwise I secure my top choice. If rejected, my next best safe option is Company_B where I am #1 priority, guaranteeing acceptance upon applying. The remaining order follows my true preferences to maximize outcome in any contingency.",True,Company_B,True,True,2
3,Seeker_B,"['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","['Company_E', 'Company_C', 'Company_D', 'Company_B', 'Company_A']","Under job-seeker-proposing deferred acceptance, submitting my true preferences is a dominant strategy: it cannot hurt my final match and can only help compared to misreporting. Given others’ first choices, I face competition at Company_E from Seeker_A and Seeker_D, but Company_E’s priority ranks me above them (behind only Seeker_E), so applying to E first gives me the best chance at my top choice. If I were displaced by Seeker_E at E, my next best option is Company_C where I am the top priority, making it a very safe fallback. Therefore I submit my true order: E, then C, then D, then B, then A.",True,Company_E,True,True,1
3,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","I ranked Company_D first because it is my top true choice and, given Company_D’s priority list, I am ranked 2nd (behind only Seeker_A). Seeker_A applies to Company_E first and is unlikely to end up at Company_D, so applying to Company_D immediately gives me a strong chance to be held there. If I were to apply elsewhere first, I could lose the opportunity to secure Company_D. If rejected from D, my next best option is Company_C, but Company_C prioritizes me last, so my chance there is low; still, it is my second true preference. Next is Company_E, where I am also last in priority, but it remains preferable to A and B. Company_A is next (I’m 4th in priority), and Company_B last (I’m 3rd), consistent with my true preferences and without adding any unacceptable companies.",True,Company_D,True,True,1
3,Seeker_D,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","Given all seekers’ preferences and companies’ priorities, applying truthfully is optimal here. In the seeker-proposing deferred acceptance process, I cannot do better than my best achievable stable match by misreporting. If I apply to Company_E first, I am behind Seeker_E, Seeker_B, and Seeker_A in Company_E’s priority, so I will be rejected once they apply there. Then my next best option is Company_A, where I have very high priority (2nd) and can secure it once I apply. Ranking Company_A first would not improve my final outcome (it would just make me settle earlier), while ranking lower options above A risks ending at a worse company if A fills before I apply. Therefore I submit my true order.",True,Company_A,True,True,2
3,Seeker_E,"['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","['Company_C', 'Company_A', 'Company_D', 'Company_B', 'Company_E']","I should apply truthfully. In a job-seeker-proposing deferred acceptance process, submitting my true preference order is a dominant strategy: misreporting can only make me apply earlier to a less-preferred company or delay applying to a more-preferred one, and cannot improve the final match. Given others’ preferences and companies’ priorities, my best achievable stable outcome is obtained by listing companies in my true order.",True,Company_C,True,True,1
