Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","I want Company_B most, but Company_B’s top priorities are Seeker_E then Seeker_B, and Seeker_B applies to Company_A first (not B), while Seeker_E applies to Company_C first. So applying to Company_B first gives me a real chance to hold the seat unless Seeker_B later gets rejected from A and comes to B (where B prefers Seeker_B over me). If that happens, my best fallback is Company_C: I can take C unless Seeker_B arrives there (C also prefers Seeker_B over me), in which case I can still secure Company_E, where I am the top priority and will always be accepted once I apply. I therefore keep the truthful top-to-bottom order to maximize the chance at B while preserving the best guaranteed safety net (E) later; misreporting by putting E earlier would only reduce my chance at B/C without improving my final outcome given E is always available to me.",True,Company_E,True,False,4
1,Seeker_B,"['Company_A', 'Company_B', 'Company_C', 'Company_D', 'Company_E']","['Company_A', 'Company_B', 'Company_C', 'Company_D', 'Company_E']","I ranked Company_A first because it is my top true choice and no other seeker applies there first, so I will be the only initial applicant and be temporarily (and ultimately) admitted. Even though Company_A ranks me 4th, that only matters if others apply there, which they do not given the known preferences. This strategy locks in my best possible outcome immediately and avoids any risk of being rejected and cascading into lower choices.",True,Company_B,True,False,2
1,Seeker_C,"['Company_B', 'Company_C', 'Company_D', 'Company_E', 'Company_A']","['Company_C', 'Company_B', 'Company_D', 'Company_E', 'Company_A']","I want Company_B most, but Company_B’s top priorities are Seeker_E then Seeker_B, so if either applies there I will be rejected. Seeker_B ranks Company_B second and will apply there if rejected from Company_A (where Seeker_E has top priority and is likely to take the seat), making my chances at Company_B poor. Company_C ranks me 2nd (behind Seeker_B), and Seeker_B is likely to be held by Company_B, so applying to Company_C first gives me a strong chance to secure Company_C immediately and avoid ending up at lower choices. This maximizes my expected final match on my true preferences under the given dynamics and the blocking-job-seeker reruns (which do not change my final admission).",False,Company_C,True,False,2
1,Seeker_D,"['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","I should rank truthfully. Under the applicant-proposing deferred acceptance in Part 1, reporting true preferences is a dominant strategy for me: misordering cannot get me a better final match, and can only risk ending up at a worse company or unmatched. Given others’ preferences and companies’ priorities, applying first to Company_B is best (it’s my top choice and I’m not last in B’s priority), then Company_C (my next best, where I have mid priority), then Company_A, then Company_E, then Company_D. Part 2 only removes options that create blocking without changing my final admission, so it doesn’t create an incentive to misreport.",True,Company_A,True,False,3
1,Seeker_E,"['Company_C', 'Company_D', 'Company_A', 'Company_E', 'Company_B']","['Company_C', 'Company_D', 'Company_A', 'Company_E', 'Company_B']","I rank Company_C first because it is my top true choice and I can potentially win it if higher-priority applicants (Seeker_B, Seeker_C, Seeker_D) are not applying there at the moment I do. However, since Seeker_C and Seeker_D also start at Company_B and are likely to be rejected there (Company_B prioritizes me and Seeker_B above them), they may later apply to Company_C and outrank me there—so I place Company_D second as a strong fallback where I am ranked relatively well (4th) and where top-priority seekers (Seeker_D, Seeker_A) may be absorbed elsewhere. I put Company_A third because I am Company_A’s top priority, so if I ever apply there I will secure it; placing it behind C and D preserves my chance at those higher true preferences while keeping a guaranteed safety option. Company_E is fourth (I’m only 4th in priority there), and Company_B is last because although I’m top priority at B, it is my least-preferred acceptable company, so I only want it as a final backstop.",True,Company_D,True,False,2
2,Seeker_A,"['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","I rank Company_B first because it is my top true choice and, given Company_B’s priority order, I am very low there and will likely be rejected if higher-priority seekers apply—so there is no strategic benefit to delaying it. Next I rank Company_C (my second choice) even though I am also low priority there; again, if it is feasible at all, applying earlier is weakly better. Company_A is third: I have relatively better priority at A than at B/C (Company_A ranks me 3rd), so if I get rejected from B/C I have a realistic chance at A depending on who is holding it. Finally I keep Company_E then Company_D in true-preference order; E is the only company where I am top priority, so it is a safe fallback if earlier options fail, and listing it later preserves the chance to land B/C/A first. This ordering maximizes my chance at the highest-ranked attainable match under the applicant-proposing process and does not risk being harmed by the blocking-job-seeker cleanup (which cannot worsen my final outcome).",True,Company_E,False,True,4
2,Seeker_B,"['Company_A', 'Company_B', 'Company_C', 'Company_D', 'Company_E']","['Company_A', 'Company_B', 'Company_C', 'Company_D', 'Company_E']","I rank Company_A first because it is my top true choice and there is a realistic path to keep it: Company_A’s top priorities (Seeker_E and Seeker_D) are likely to apply elsewhere first (E to Company_C, D to Company_B), so I can be the only applicant to A in the first step and be held unless a higher-priority seeker later gets rejected and applies to A. Even if that happens, my next best option is Company_B where I have very high priority (2nd overall), so placing B second maximizes my chance of quickly securing a top outcome if displaced. Company_C is third and also ranks me 1st, so it is an excellent fallback. I then list D and E in true-preference order as lower-value backups.",True,Company_A,False,True,1
2,Seeker_C,"['Company_B', 'Company_C', 'Company_D', 'Company_E', 'Company_A']","['Company_B', 'Company_C', 'Company_D', 'Company_E', 'Company_A']","To maximize my outcome, I should target the best company I can realistically win given others’ first choices and each company’s priority. Company_B is my top choice and is contested by A and D, but Company_B’s priority ranks me above both (E > B > C > D > A), so if I apply to B first I will be held there unless Seeker_E applies to B (they won’t; E’s first choice is Company_C). Thus I can secure Company_B immediately and avoid any risk from applying elsewhere first. Listing the rest in true-preference order is safe and satisfies constraints, but they are unlikely to be reached.",True,Company_C,False,True,2
2,Seeker_D,"['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","Given full information, the applicant-proposing process will yield a stable outcome based on submitted rankings, and Part 2 only removes “blocking” options without changing my final assignment. If I rank truthfully, I apply to Company_B first but will lose to higher-priority applicants (Seeker_E then Seeker_B), then to Company_C (Seeker_B/Seeker_C outrank me), and end up at Company_A where I have strong priority (2nd after Seeker_E). Misreporting to put Company_A first would lock me into Company_A immediately and cannot improve me to Company_B or Company_C because those firms prioritize others ahead of me; it could only weakly hurt me. Therefore, submitting my true order is optimal for my outcome.",True,Company_B,False,True,1
2,Seeker_E,"['Company_C', 'Company_D', 'Company_A', 'Company_E', 'Company_B']","['Company_C', 'Company_D', 'Company_A', 'Company_E', 'Company_B']","I can guarantee my best achievable outcome by targeting a firm where I have top priority. Company_C (my #1) ranks me 4th and will prefer Seeker_B/C/D over me, so I’m likely to be displaced there. Company_D (my #2) ranks me 4th as well and will prefer Seeker_D/A/C over me. Company_A (my #3) ranks me 1st, so if I apply there at any point I will be accepted over any competitor. However, if I list Company_A first, I would lock in #3 immediately. By listing Company_C then Company_D first, I take a chance at a better match; if rejected, I then apply to Company_A and secure it. The Part 2 ‘blocking’ removal cannot worsen my final admission, so this ordering is safe for me while preserving upside.",True,Company_D,False,True,2
3,Seeker_A,"['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","To maximize my final match, I should apply in my true preference order. Company_B is my top choice but I have the lowest priority there, so I will likely be rejected if higher-priority seekers apply. Next is Company_C where I am also low priority, and then Company_A where I have relatively better priority (3rd) and can plausibly secure the seat after higher-priority seekers take other options. Listing Company_E before Company_D is consistent with my true preferences; Company_E is also the only firm where I am top priority, serving as a safe fallback if earlier attempts fail. The Part 2 ‘blocking’ removals do not change my final assignment, so there is no strategic benefit to misordering relative to my true ranking.",True,Company_E,False,True,4
3,Seeker_B,"['Company_A', 'Company_B', 'Company_C', 'Company_D', 'Company_E']","['Company_A', 'Company_C', 'Company_B', 'Company_D', 'Company_E']","I rank Company_A first because it is my top true choice and I can still potentially win it if higher-priority seekers (E, D, A) do not apply there initially. If I am rejected from A, my best attainable fallback is Company_C (where I have the highest priority), so I place Company_C second to secure it immediately upon rejection rather than risk losing it by applying to Company_B first (where Seeker_E has higher priority and is likely to apply). Company_B is placed after C since it is competitive and I am not top priority there. Company_D and Company_E are last as they are lower in my true preferences and I have relatively weak priority at D.",False,Company_A,False,True,1
3,Seeker_C,"['Company_B', 'Company_C', 'Company_D', 'Company_E', 'Company_A']","['Company_C', 'Company_B', 'Company_D', 'Company_E', 'Company_A']","I want Company_B most, but Company_B’s top priority is Seeker_E then Seeker_B, and Seeker_B ranks Company_B second (after Company_A). In the first round, both Seeker_A and Seeker_D apply to Company_B (they rank it first), and Company_B will hold Seeker_D (higher priority than A). Then in round 2 Seeker_B applies to Company_B and will displace Seeker_D, so I cannot ultimately win Company_B. Company_C is my next best option and Company_C ranks me 2nd (behind Seeker_B). Seeker_B starts at Company_A and will be accepted there (Company_A ranks B above C and has no higher-priority applicant applying), so Seeker_B will not take Company_C; meanwhile Seeker_E ranks Company_C first but Company_C prefers me over Seeker_E. By applying to Company_C in round 1, I secure Company_C immediately and keep it through the process. Lower choices are kept in true order as backups.",False,Company_B,False,True,1
3,Seeker_D,"['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","['Company_C', 'Company_B', 'Company_A', 'Company_E', 'Company_D']","I should rank companies to maximize my final match under the applicant-proposing process. If I apply to Company_B first, I am low priority there and will be rejected once higher-priority applicants (especially Seeker_E) apply, so it is unlikely to be my final match. Company_C ranks me 3rd and, given others’ top choices, I can end up holding Company_C and keep it against later challengers (Seeker_E is below me at C; Seeker_A is below me at C). Company_A ranks me 2nd but I would likely lose it to Seeker_E if they ever apply there. Therefore, putting Company_C first gives me the best chance at the highest attainable stable outcome, followed by Company_B (small chance if others divert), then Company_A, then Company_E, then Company_D as worst fallback.",False,Company_C,False,True,2
3,Seeker_E,"['Company_C', 'Company_D', 'Company_A', 'Company_E', 'Company_B']","['Company_C', 'Company_D', 'Company_A', 'Company_E', 'Company_B']","I can safely rank my true favorites first because the procedure is applicant-proposing and Company_A and Company_B rank me #1, making them strong fallbacks if I’m rejected elsewhere. I apply to Company_C first (my top choice), but Company_C prioritizes Seeker_B/C/D over me, so I’m likely rejected if any of them apply there. Next I apply to Company_D (my second choice); Company_D ranks me above Seeker_B, so I can win D if B gets displaced from C and then applies to D. If both C and D fail, I then go to Company_A where I have top priority and should secure the seat. Company_E is next, and Company_B is last because it’s my least preferred even though I have top priority there.",True,Company_D,False,True,2
4,Seeker_A,"['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","['Company_B', 'Company_C', 'Company_A', 'Company_E', 'Company_D']","To maximize my outcome, I should rank companies in my true order because the procedure in Part 1 is the job-seeker-proposing deferred acceptance algorithm, which makes truthful reporting a best response for a seeker. Given company priorities, I have very low priority at Company_B and Company_C (last at both), so I am unlikely to hold those seats if higher-priority seekers apply. My best attainable match is Company_A: I am 3rd in Company_A’s priority, and the two ahead of me (Seeker_E and Seeker_D) are likely to be absorbed by Company_C/Company_B respectively, making Company_A available to me. Therefore I keep the true ranking with Company_B and Company_C first (no downside under DA), then Company_A as my realistic target, followed by Company_E (where I am top priority) and Company_D last.",True,Company_E,False,False,4
