Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","['Company_E', 'Company_D', 'Company_A', 'Company_B', 'Company_C']","Because admissions are final each step, the key is to avoid “wasting” early applications on firms that will certainly fill with higher-priority applicants in that step. If I apply to Company_D in Step 1, I lose because Company_D ranks me last and will pick among Seeker_B/Seeker_D/Seeker_E/Seeker_C who all (given their true first choices) apply to D in Step 1, so D will fill immediately without me. Company_A also fills in Step 1 with Seeker_E (A’s top priority) since E’s first choice is D and they will be rejected from D in Step 1 then apply to E only if E is still open; however, if I don’t take E in Step 1, E will be open and Seeker_E will take it in Step 2. The only company where I am top priority is Company_E, so ranking Company_E first guarantees I secure a match in Step 1. After that, I list remaining firms in true-preference order for completeness, though they won’t matter if I’m admitted to E immediately.",False,Company_E,True,False,4
1,Seeker_B,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_D', 'Company_E', 'Company_A', 'Company_B', 'Company_C']","With final admissions each step, the key is to apply first to a company where I have the best chance of being the top-priority applicant among those who will apply there in Step 1. If I apply to Company_E first, I lose to Seeker_A (E ranks A above me) and then likely lose Company_A in Step 2 to Seeker_C (A ranks C above me). By applying to Company_D first, I am Company_D’s top priority, so I am guaranteed a permanent match there in Step 1. Any attempt to target higher true preferences (E or A) first has a high risk of rejection and then being shut out of remaining desirable options due to seats filling immediately.",False,Company_D,True,False,4
1,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_A', 'Company_D', 'Company_C', 'Company_E', 'Company_B']","Applying to Company_D first is too risky because Company_D ranks me 4th and will almost surely fill in Step 1 with Seeker_B/Seeker_D/Seeker_E. If I apply to D and get rejected, I likely cannot apply to my 2nd choice Company_C in Step 2 because C will be taken in Step 1 by Seeker_D (C ranks Seeker_D highest and Seeker_D applies to D first but may be rejected, then would apply to B; however C is still likely to be taken in Step 1 by some applicant if they target it). The safest way to secure my best achievable match is to apply to Company_A first: Company_A ranks me 2nd, and Seeker_E (A's top) is expected to apply to D first, so I should win A in Step 1 and lock in a high outcome rather than risk being left with only low options later. After A, I keep the remaining true preferences in descending order.",False,Company_A,True,False,4
1,Seeker_D,"['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","['Company_B', 'Company_D', 'Company_C', 'Company_A', 'Company_E']","Because admissions are final each step, I should avoid applying first to a company where I am likely to lose and that would still be available later. If I apply to Company_D in Step 1, I lose to Seeker_B (higher priority at D) and then must compete in Step 2 for remaining firms. If instead I apply to Company_B in Step 1, I am Company_B’s top priority, so I lock in my 2nd-best true option immediately. Company_D will be taken in Step 1 anyway (by Seeker_B), so ranking it first is wasted. After B, I rank the remaining firms in true-preference order (C, A, E) as fallbacks in case something unexpected happens.",False,Company_B,True,False,2
1,Seeker_E,"['Company_D', 'Company_E', 'Company_C', 'Company_B', 'Company_A']","['Company_E', 'Company_D', 'Company_C', 'Company_B', 'Company_A']","In Step 1, Seeker_A, Seeker_C, Seeker_D, and I all apply to Company_D, and Company_D’s top priority among us is Seeker_D (since Seeker_B isn’t applying there). So if I rank Company_D first, I am certainly rejected while Company_D becomes unavailable thereafter. By ranking Company_E first instead, I am the highest-priority applicant to Company_E in Step 1 (others’ first choices are Company_D except Seeker_B who chooses Company_E but is ranked below me at Company_E), so I secure a final match with my 2nd-true-choice. This dominates any strategy that starts with Company_D, and is better than starting with Company_C/B/A because those are lower on my true preferences and would lock in a worse final outcome.",False,Company_C,True,False,3
2,Seeker_A,"['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","['Company_B', 'Company_D', 'Company_A', 'Company_E', 'Company_C']","Because admissions are final immediately, I should avoid applying first to a company where I have low priority and high competition, since I’d likely be rejected and lose the chance to apply to a top option that remains open. If everyone applies truthfully in Step 1, Company_D will receive A,C,D,E (and admit Seeker_D), and Company_E will receive B (and admit Seeker_B). That leaves Company_A, Company_B, Company_C open for Step 2. In Step 2, I can secure Company_B because I am #2 in Company_B’s priority list (behind Seeker_D, who is already taken by Company_D). By contrast, if I apply to Company_A in Step 2, I would likely lose to Seeker_C (who is higher priority at A) if they are rejected from D. Therefore I rank Company_B first to lock it in immediately, then keep my true order among the remaining options as much as possible.",False,Company_A,True,False,2
2,Seeker_B,"['Company_E', 'Company_A', 'Company_B', 'Company_D', 'Company_C']","['Company_D', 'Company_E', 'Company_A', 'Company_B', 'Company_C']","Because admissions are final immediately, I should avoid “wasting” my first application on a company where I have low priority and will likely be rejected while it gets filled by someone else. If I apply to Company_E first, Company_E will pick Seeker_A over me and fill, leaving me rejected. If I apply to Company_A first, Company_A will pick Seeker_E over me and fill, also leaving me rejected. Company_D, however, ranks me #1, so applying there first guarantees I am permanently admitted in Step 1. This secures a match (Company_D) rather than risking being shut out of top choices that will fill with higher-priority applicants anyway.",False,Company_D,True,False,4
2,Seeker_C,"['Company_D', 'Company_C', 'Company_E', 'Company_A', 'Company_B']","['Company_C', 'Company_D', 'Company_E', 'Company_A', 'Company_B']","Because admissions are final at each step, I should avoid applying first to a company where I’m likely to be rejected and that will be filled by someone else immediately. If I apply to Company_D first, I lose to Seeker_B (highest priority at D) and D becomes unavailable anyway, so that first-round application is wasted. Company_C is my next-best option and is also realistically attainable: likely first-round applicants to C are only those who list it first (none do), and in later rounds I face competition from seekers who may be rejected elsewhere; importantly, Company_C’s top priorities (Seeker_D, Seeker_E) are likely to be permanently admitted earlier at Company_D, reducing competition. Thus ranking Company_C first maximizes my chance to secure a high-preference match. After that, I keep my remaining true preferences in order as fallbacks.",False,Company_C,True,False,2
2,Seeker_D,"['Company_D', 'Company_B', 'Company_C', 'Company_A', 'Company_E']","['Company_B', 'Company_D', 'Company_C', 'Company_A', 'Company_E']","Because admissions are final immediately, I should avoid applying first to a company where I’m likely to lose and thereby risk having my next-best options fill in Step 1. If I apply to Company_D first, I lose to Seeker_B (Company_D’s top priority) and then Company_B and Company_C could already be taken by higher-priority applicants (notably Seeker_A at B and Seeker_E at C). By applying to Company_B first, I am Company_B’s top priority, so I secure my 2nd true choice immediately and eliminate the risk of being shut out of B/C after a Step-1 rejection at D. Company_D remains first in my true preferences, but strategically it is not attainable given Seeker_B’s incentives and Company_D’s priority ordering.",False,Company_B,True,False,2
2,Seeker_E,"['Company_D', 'Company_E', 'Company_C', 'Company_B', 'Company_A']","['Company_E', 'Company_D', 'Company_C', 'Company_B', 'Company_A']","Because admissions are final each step, the key is to avoid applying first to a company where I am unlikely to be the top-priority applicant among those who apply in that step. If I apply to Company_D first, I lose to Seeker_B (who ranks D first) and then in Step 2 my top remaining option Company_E is likely already permanently filled by Seeker_A (who ranks E first and is Company_E’s top priority). Instead, I should apply first to Company_E where I am the highest-priority applicant among those who apply there in Step 1 (primarily Seeker_B also applies to E first, but Company_E prefers me over Seeker_B). This secures my second-best true option immediately. After that, the remaining order should follow my true preferences among the still-acceptable companies.",False,Company_E,True,False,2
3,Seeker_A,"['Company_D', 'Company_A', 'Company_B', 'Company_E', 'Company_C']","['Company_E', 'Company_D', 'Company_A', 'Company_B', 'Company_C']","This mechanism has final admissions each step, so I should avoid wasting my first application on a company where I have very low priority and strong competition. If I apply to Company_D first, I will certainly be rejected because D ranks me last and multiple seekers (B, D, E, C) apply there first. By applying to Company_E first, I am ranked #1 there and will be permanently admitted immediately, guaranteeing a high outcome (my 4th choice) instead of risking unemployment. After E, the remaining order follows my true preferences among the still-acceptable options.",False,Company_E,False,False,4
