Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Seeker_A,"['Company_B', 'Company_A', 'Company_C', 'Company_D', 'Company_E']","['Company_B', 'Company_A', 'Company_C', 'Company_D', 'Company_E']","All companies rank me (Seeker_A) highest, so if I apply to my top choice Company_B in Step 1 I will be permanently accepted and secured there. Any deviation (e.g., applying elsewhere first) would risk losing Company_B to another seeker in Step 1 and, because admissions are final, I could not later switch back. Therefore I submit my true preference order with Company_B first.",True,Company_B,True,True,1
1,Seeker_B,"['Company_A', 'Company_C', 'Company_B', 'Company_E', 'Company_D']","['Company_A', 'Company_C', 'Company_B', 'Company_E', 'Company_D']","Because admissions are final immediately, I should avoid applying first to a company where I’m likely to be rejected and lose the chance to apply there later once it fills. Company_A will receive applications from Seeker_B and Seeker_D in Step 1, and Company_A’s top priority is Seeker_A, then Seeker_B; since Seeker_A applies to Company_B first, I will be the highest-priority applicant at Company_A in Step 1 and be permanently admitted. This guarantees my top true choice, so I keep the remainder in true preference order as a fallback (though it won’t be needed).",True,Company_A,True,True,1
1,Seeker_C,"['Company_C', 'Company_B', 'Company_A', 'Company_D', 'Company_E']","['Company_C', 'Company_B', 'Company_A', 'Company_D', 'Company_E']","Because admissions are final immediately, I should apply first to the best company where I can actually win the single seat given others’ first choices and companies’ identical priority rankings (A > B > C > D > E). In Step 1, Seeker_A applies to Company_B and Seeker_B applies to Company_A; both are higher priority than me, so I cannot win those seats if I apply there first. Company_C is my top true choice and in Step 1 only I (Seeker_C) apply to Company_C, so I secure it immediately. Thus I submit my true order with Company_C first.",True,Company_C,True,True,1
1,Seeker_D,"['Company_D', 'Company_A', 'Company_C', 'Company_B', 'Company_E']","['Company_D', 'Company_A', 'Company_C', 'Company_B', 'Company_E']","All companies share the same priority order (A > B > C > D > E). In Step 1, Seeker_A applies to Company_B, Seeker_B to Company_A, Seeker_C to Company_C, Seeker_E to Company_E, while I (Seeker_D) want Company_D. No one else ranks Company_D first, so if I rank Company_D first I am the only applicant there and will be permanently admitted immediately. Any attempt to target Company_A/C/B in Step 1 would fail because higher-priority seekers apply there first and fill those seats permanently, leaving me worse off. Therefore, truth-telling with Company_D first guarantees my top choice.",True,Company_D,True,True,1
1,Seeker_E,"['Company_E', 'Company_B', 'Company_A', 'Company_C', 'Company_D']","['Company_E', 'Company_B', 'Company_A', 'Company_C', 'Company_D']","Because admissions are final immediately each step and all companies share the same priority order (A > B > C > D > E), I have the lowest priority everywhere and can only win a company if no higher-priority seeker applies there when it is still available. In Step 1, Company_E will be taken by Seeker_E only if no one else applies there first; but Seeker_A applies to B, Seeker_B to A, Seeker_C to C, and Seeker_D to D, so Company_E is the only company not targeted by higher-priority seekers in Step 1. Therefore, ranking Company_E first guarantees I am admitted to my top true choice immediately; any other first choice would result in rejection and then all remaining companies would already be filled by higher-priority seekers in Step 1, leaving me unmatched.",True,Company_E,True,True,1
2,Seeker_A,"['Company_B', 'Company_A', 'Company_C', 'Company_D', 'Company_E']","['Company_B', 'Company_A', 'Company_C', 'Company_D', 'Company_E']","Because admissions are final and all companies rank Seeker_A highest, the best strategy is to apply first to my top true choice. I will be permanently accepted by Company_B in Step 1 regardless of others’ applications, so listing Company_B first guarantees my best possible outcome; the remaining order follows my true preferences as contingencies.",True,Company_B,True,True,1
2,Seeker_B,"['Company_A', 'Company_C', 'Company_B', 'Company_E', 'Company_D']","['Company_A', 'Company_C', 'Company_B', 'Company_E', 'Company_D']","Because admissions are final at each step, I should target the best company where I can actually win the seat given others’ first choices and the common priority order (A > B > C > D > E for every company). In Step 1, Seeker_A applies to Company_B, Seeker_C to Company_C, Seeker_D to Company_D, and Seeker_E to Company_E. If I apply to Company_A in Step 1, no higher-priority seeker applies there, so I am permanently admitted and get my top true choice. Any deviation would risk losing Company_A to Seeker_A in later steps if Company_B fills immediately, so truthfully ranking Company_A first is optimal.",True,Company_A,True,True,1
2,Seeker_C,"['Company_C', 'Company_B', 'Company_A', 'Company_D', 'Company_E']","['Company_C', 'Company_B', 'Company_A', 'Company_D', 'Company_E']","Because admissions are final and companies have identical priorities (A > B > C > D > E), I should avoid wasting my first application on a company where higher-priority seekers will apply and permanently take the only seat. In Step 1, Seeker_A applies to Company_B, Seeker_B to Company_A, Seeker_D to Company_D, and Seeker_E to Company_E, so those four companies will fill immediately. Company_C is the only company left unfilled after Step 1, and I can secure it by ranking Company_C first (no higher-priority seeker applies there initially). This yields my top true choice and is the best achievable outcome.",True,Company_C,True,True,1
2,Seeker_D,"['Company_D', 'Company_A', 'Company_C', 'Company_B', 'Company_E']","['Company_D', 'Company_A', 'Company_C', 'Company_B', 'Company_E']","Because admissions are final each step and companies all share the same priority order (A > B > C > D > E), the key is to avoid applying first to a company that will be taken in Step 1 by a higher-priority seeker. In Step 1, Seeker_A applies to Company_B (and is top priority there), Seeker_C applies to Company_C (and is top among its applicants), and Seeker_E applies to Company_E (and is top there). Those three companies will be unavailable after Step 1. Company_D is my top true choice and is not anyone else’s first choice, so applying to Company_D first guarantees I am admitted there in Step 1 and achieves my best possible outcome.",True,Company_D,True,True,1
2,Seeker_E,"['Company_E', 'Company_B', 'Company_A', 'Company_C', 'Company_D']","['Company_E', 'Company_B', 'Company_A', 'Company_C', 'Company_D']","Because admissions are final each step and all companies share the same priority order (A > B > C > D > E), I have the lowest priority everywhere. In Step 1, Company_E will receive applications from Seeker_E and also Seeker_A (who ranks Company_B first but not E), Seeker_B (A), Seeker_C (C), Seeker_D (D) — so only I apply to E. That means if I rank Company_E first, I am the only applicant and will be permanently admitted. Any strategy that does not put Company_E first risks losing it in Step 1 to another applicant (especially Seeker_A if they ever apply there while it is still open), and since seats fill immediately, I would then be forced to lower choices. Therefore, I submit my true ranking with Company_E first to lock it in immediately.",True,Company_E,True,True,1
