Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","This procedure is the student-proposing deferred acceptance algorithm. With no information about schools’ priority rankings, the safest strategy to maximize the chance of getting the best attainable outcome is to submit my true preferences in order; misreporting could cause me to lose a higher-preferred seat without any guaranteed benefit.",True,School_E,True,False,5
1,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","The procedure is student-proposing deferred acceptance: ranking a school higher cannot hurt my chance at more-preferred schools because I only move down my list if rejected. Therefore, the best strategy is to submit my true preference order (restricted to acceptable schools) so I always apply first to my most-preferred option and only fall back if rejected.",True,School_A,True,False,3
1,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","The procedure is the student-proposing deferred acceptance algorithm. With strict preferences and no information about schools’ priority rankings, the safest strategy to maximize the chance of getting the best attainable school (and never harm your outcome) is to submit your true preference order. This ensures you apply first to your most-preferred option and only move down if rejected, while a later higher-priority acceptance can still displace a temporary match at a less-preferred school.",True,School_C,True,False,4
1,Student_D,"['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","Under the student-proposing deferred acceptance procedure, submitting my true preferences is the best strategy because I can only be rejected from a school if it is holding a higher-priority applicant, and I then continue to my next option without harming my chances at earlier choices. Therefore, ranking schools exactly in my true order maximizes the chance of matching to the highest possible school on my true list.",True,School_B,True,False,3
1,Student_E,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","This is a student-proposing deferred acceptance process, where listing schools in true preference order is a weakly dominant strategy: ranking a less-preferred school higher cannot improve my final match and can only risk getting stuck with it if accepted. Therefore I submit my true preference list in order, excluding any unacceptable schools.",True,School_D,True,False,4
2,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","The described procedure is the student-proposing deferred acceptance algorithm, where submitting your true preference order is the best strategy to maximize your outcome given the rules. Therefore, I will rank schools exactly as in my True Preference List, excluding any others.",True,School_E,True,False,5
2,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","The procedure is student-proposing deferred acceptance: you apply in order, and higher-ranked choices are never harmed by listing them earlier because you only move to the next option if rejected. With no information about school priorities, the best strategy to maximize the chance of the best feasible match is to submit the true preference order.",True,School_A,True,False,3
2,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","The described procedure is the student-proposing deferred acceptance algorithm. For students, submitting the true preference order is a dominant strategy: it cannot make you worse off and can only help you reach the best feasible match given schools’ priorities. Therefore I list schools exactly in my true preference order and exclude any unacceptable schools.",True,School_C,True,False,4
2,Student_D,"['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","The procedure is a student-proposing deferred acceptance algorithm. With no information about schools’ priority rankings, the safest strategy to maximize the chance of ending up at the highest possible school on my true preferences is to submit my true preference order (truth-telling is weakly dominant for the student side). I therefore rank schools exactly as in my True Preference List and exclude any unacceptable schools.",True,School_B,True,False,3
2,Student_E,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","The described procedure is the student-proposing deferred acceptance algorithm. Given the constraints (only schools on my true list) and to maximize my outcome on my true preferences, the best strategy is to submit my true preference order: I start with my top choice and, if rejected, proceed down the list without risking losing a higher-preferred option by misordering.",True,School_D,True,False,4
3,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","Under student-proposing deferred acceptance, submitting my true preference order is the best strategy because I can only be rejected by a school due to its priorities, and any rejection simply moves me to my next preferred option without risking a worse outcome than if I had ranked truthfully. Since I prefer being unmatched to any school not on my list, I list only acceptable schools in my true order.",True,School_E,True,False,5
3,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","The described procedure is the student-proposing deferred acceptance algorithm. Under this mechanism, submitting my true preference order is a weakly dominant strategy: ranking a less-preferred school above a more-preferred one can only risk locking in a worse final match, while ranking schools truthfully preserves the chance to be considered by higher-ranked schools first and fall back to lower ones only if rejected.",True,School_A,True,False,3
3,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","Under the student-proposing deferred acceptance procedure, submitting your true preference order is the best strategy because you can only be rejected (never harmed) by applying to a more-preferred school first; if rejected, you then move to the next option without losing access to lower-ranked schools. Therefore, rank schools exactly as in your true preference list and exclude any unacceptable schools.",True,School_C,True,False,4
3,Student_D,"['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","The procedure is a student-proposing deferred acceptance algorithm: you apply in order, and higher-ranked applications can only help you (you can never be harmed by ranking a more-preferred school above a less-preferred one). Since I want the best possible outcome according to my true preferences and I’m not allowed to list schools outside them, the optimal strategy is to submit my true preference order.",True,School_B,True,False,3
3,Student_E,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","This is a student-proposing deferred acceptance process, where ranking a school higher cannot hurt you (you only get rejected if the school prefers someone else, and then you move on). Therefore, the best strategy is to submit your true preference order restricted to acceptable schools, so you always have the chance to be considered by your most-preferred schools first without sacrificing fallback options.",True,School_D,True,False,4
4,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","Given the student-proposing deferred acceptance procedure, ranking schools in true preference order is the safest strategy to maximize the chance of the best attainable match: you can only be rejected by a school if it prefers another applicant, and any later acceptance cannot block a higher-preferred school from tentatively holding you if you are competitive there. Since I prefer being unmatched to any unlisted school and cannot list outside my true set, I submit my true ranking unchanged.",True,School_E,True,False,5
4,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","Under the student-proposing deferred acceptance procedure, ranking schools in your true order is a weakly dominant strategy: it never hurts your chances at higher-preferred schools and can only improve outcomes relative to misreporting. Therefore, to maximize the chance of matching with the highest possible school on my true preference list, I should submit the same order.",True,School_A,True,False,3
4,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","Given a student-proposing deferred acceptance process, ranking schools in true preference order is the best strategy because you can only be rejected in favor of higher-priority applicants and can always apply to your next choice without losing the chance at higher-ranked schools. Therefore, I submit my true preference list unchanged to maximize the chance of the best attainable match.",True,School_C,True,False,4
4,Student_D,"['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","This is a student-proposing deferred acceptance process, where listing schools in true preference order is optimal because you can only be rejected (never harmed) by applying to a more-preferred school first; if rejected, you still get to apply to the next choice later. Therefore, I should submit my true preference list unchanged to maximize the chance of matching to the highest-ranked feasible school, while avoiding any schools I would rather not attend.",True,School_B,True,False,3
4,Student_E,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","The procedure is student-proposing deferred acceptance: you apply in order, and schools only ever hold their most-preferred applicant seen so far. As a student, ranking schools in your true preference order is a weakly dominant strategy (it cannot make you worse off and can only help), and listing any less-preferred school above a more-preferred one could only risk locking in a worse final match. Therefore I submit my true preference list in order.",True,School_D,True,False,4
5,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","The described process is the student-proposing deferred acceptance algorithm, where submitting your true preference order is the best strategy because you apply to your top choice first and only move down if rejected, without risking losing a higher-preferred option by ranking it higher. Therefore I submit my True Preference List unchanged and exclude any unacceptable schools.",True,School_E,True,False,5
5,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","Given the student-proposing deferred acceptance procedure, submitting my true preference order is the best strategy to maximize my final match: ranking a school higher cannot hurt me because I only move down the list if rejected, and any tentative hold can be replaced only by a higher-priority applicant. Therefore I list schools exactly in my true preference order.",True,School_A,True,False,3
5,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","The described procedure is the student-proposing deferred acceptance algorithm. Under this mechanism, submitting my true preference order is the best strategy because it cannot hurt my outcome and ensures I get the highest-ranked school I can obtain given schools’ priorities and capacities. I therefore list schools exactly in my true preference order and exclude any unacceptable schools.",True,School_C,True,False,4
5,Student_D,"['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","['School_C', 'School_A', 'School_B', 'School_E', 'School_D']","This is a student-proposing deferred acceptance process, where listing schools in true order is a weakly dominant strategy: it never hurts and can only help because rejections simply move you to the next option without sacrificing priority at later schools. Therefore, to maximize the chance of matching with the highest possible school on my true preference list (and avoid any worse/irrelevant schools), I should submit my true preference order exactly.",True,School_B,True,False,3
5,Student_E,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","The procedure is student-proposing deferred acceptance: ranking a school higher cannot hurt my chances there and can only improve the outcome by ensuring I apply to my most-preferred options first if rejected. Therefore, the best strategy is to submit my true preference order (and exclude any unacceptable schools).",True,School_D,True,False,4
6,Student_A,"['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","['School_A', 'School_C', 'School_D', 'School_B', 'School_E']","Under the student-proposing deferred acceptance procedure, ranking schools truthfully is the best strategy because you can only be rejected by a school for higher-priority applicants, and any rejection simply moves you to your next choice without harming your chances at schools you ranked higher. Therefore, to maximize the chance of matching to the highest possible school on my true preference list (and avoid any worse outcome), I should submit my true order.",True,School_E,True,False,5
6,Student_B,"['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","['School_B', 'School_D', 'School_A', 'School_E', 'School_C']","The described procedure is student-proposing deferred acceptance. In this mechanism, submitting your true preference order is the best strategy because you can only be rejected by a school, never harmed by applying to a more-preferred school first; if rejected, you still get to apply to the next schools in order. So I list schools exactly in my true preference order and exclude any unacceptable schools.",True,School_A,True,False,3
6,Student_C,"['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","['School_D', 'School_A', 'School_B', 'School_C', 'School_E']","Under the student-proposing deferred acceptance procedure, listing schools in the same order as my true preferences is the best strategy because I can only be rejected and then move down my list, while any temporary acceptance can be replaced only by a higher-priority applicant at that school. Ranking a less-preferred school higher cannot improve my final match and can only risk locking me out of a more-preferred option.",True,School_C,True,False,4
