Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","This is a parent-proposing deferred acceptance process. Given the full information, every nursery ranks Parent_A highest, so Parent_A can never be displaced once applying to any nursery. Therefore, the best strategy is to apply to the true top choice first to secure it immediately. Submitting the true preference order guarantees the best possible (top) outcome: Nursery_B.",True,Nursery_B,True,True,1
1,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","This is a parent-proposing deferred acceptance process. Given all nurseries share the same priority order (Parent_A highest, then Parent_B, etc.), you (Parent_B) can only be displaced by Parent_A. Submitting your true preference order is optimal: it ensures you try for Nursery_A first (the only way to get it is if Parent_A does not take it), and if rejected you move to Nursery_C next, where you will beat all parents except Parent_A. Any misreport (e.g., not ranking Nursery_A first) could forfeit a chance at Nursery_A without improving your chances elsewhere, since the algorithm is strategy-proof for proposers in this setting.",True,Nursery_A,True,True,1
1,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This is a parent-proposing deferred acceptance process. Given full acceptability and that each nursery’s priority order is identical (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E), you cannot improve your final match by misreporting: proposing earlier to a less-preferred nursery can only weakly worsen your outcome and cannot help you displace higher-priority parents at more-preferred nurseries. Submitting your true order ensures you apply to your most-preferred options as early as possible and yields your best achievable stable assignment.",True,Nursery_C,True,True,1
1,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","Given the nurseries’ priority lists are identical (Parent_A highest, then B, C, D, E) and each nursery has 1 seat, the parent-proposing deferred acceptance algorithm makes it optimal to report my true preferences. Misreporting cannot improve my outcome and could only risk losing a seat at a more-preferred nursery if I delay applying there. With others’ first choices (A->B, B->A, C->C, E->E), Nursery_D is uncontested in round 1, so ranking it first secures my top choice immediately.",True,Nursery_D,True,True,1
1,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","This is a parent-proposing deferred acceptance process. Given all nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E) and all quotas are 1, Parent_E has the lowest priority everywhere and cannot displace anyone. The best strategy is to rank nurseries truthfully so that you apply first to your most-preferred option; any misreport (e.g., not listing Nursery_E first) can only risk ending at a less-preferred nursery without improving your chance at a better one. Under truthful ranking, Parent_E is rejected from Nursery_E (taken by Parent_A), then rejected from Nursery_B (taken by Parent_C), then rejected from Nursery_A (taken by Parent_B), then rejected from Nursery_C (taken by Parent_D), and finally gets Nursery_D, which is the only remaining seat. No alternative ordering can get you a better final assignment given your lowest priority at every nursery.",True,Nursery_E,True,True,1
2,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","Given all nurseries share the same priority order and Parent_A is ranked highest everywhere, the deferred-acceptance process guarantees Parent_A will never be displaced once tentatively accepted. Therefore, the best strategy is to submit the true preference order to secure the most-preferred feasible seat. Listing Nursery_B first ensures Parent_A is accepted there immediately (no one can outrank Parent_A), and there is no advantage to misreporting.",True,Nursery_B,True,True,1
2,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","This procedure is the parent-proposing deferred acceptance algorithm. Given full information, the best strategy for a parent is to submit the true preference order because you can only be rejected by a nursery for a higher-priority applicant, and misreporting (e.g., ranking a safer option higher) can only cause you to miss a chance at a more-preferred nursery without improving your final assignment. Here, Nursery_A will keep Parent_A (highest priority) once Parent_A applies there after being rejected by Nursery_B, so Parent_B cannot ultimately get Nursery_A. Submitting the true list ensures Parent_B then proceeds to Nursery_C, where Parent_B has higher priority than Parent_C and will be accepted, yielding the best attainable outcome.",True,Nursery_A,True,True,1
2,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","All nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E) and each has 1 seat, so the outcome is the parent-proposing deferred acceptance (DA) matching. Under DA, submitting your true preferences is a dominant strategy: misranking cannot get you a better nursery and can only risk losing a higher-ranked feasible option. With others’ first choices (A->B, B->A, D->D, E->E), you can safely apply first to Nursery_C (your top choice) and will be accepted because no higher-priority parent applies to C before you. Therefore, submit your true order.",True,Nursery_C,True,True,1
2,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","This is a parent-proposing deferred acceptance process. Given all nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E) and each has 1 seat, misreporting cannot help me obtain a nursery I prefer more than what truthful play yields; it can only risk being rejected later and ending up worse. Submitting my true order is optimal: I first try for Nursery_D (my top choice). If rejected due to higher-priority applicants, I then move to Nursery_A, then Nursery_C, then Nursery_B, then Nursery_E, which maximizes my chance of securing the best available option consistent with my preferences under the fixed priority structure.",True,Nursery_D,True,True,1
2,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","All nurseries share the same priority order (Parent_A highest … Parent_E lowest). In a parent-proposing deferred acceptance process, submitting the true preference order is optimal: you will never improve your final match by misreporting because any rejection you face is due to lower priority, and you then move to your next listed option. Since your top choice Nursery_E is not heavily contested in round 1 (only you apply there), ranking it first secures it immediately; any alternative ordering could only risk losing it without creating a path to a better outcome than your true top.",True,Nursery_E,True,True,1
