Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","Submitting the true preference order is optimal here because the procedure is a parent-proposing deferred acceptance variant, and Part 2 only removes options for parents who temporarily blocked others but does not change that parent’s own final assignment. With everyone else’s preferences/priorities, you cannot ultimately win Nursery_A (Nursery_A ranks Parent_B and Parent_D above you, and Parent_B will apply to Nursery_A after being displaced from Nursery_B by Parent_D). Your best achievable final match is Nursery_C: after Parent_B moves to Nursery_A, Nursery_C’s top remaining applicant among those who apply is you (Nursery_C ranks you last, but no higher-priority parent ends up applying there in the final chain). Ranking Nursery_C second ensures you reach it as soon as Nursery_A rejects you, while keeping Nursery_D, Nursery_B, and Nursery_E in true order preserves your best fallback options without risking a worse outcome (since Part 2 cannot harm your final match).",True,Nursery_E,False,False,5
1,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","Submit the true preference order. With parent-proposing deferred acceptance (Part 1), ranking a less-preferred nursery above a more-preferred one can only risk losing the chance at the better nursery and cannot improve the final outcome at a higher-ranked option. Given others’ first choices (A->A, C->D, D/E->C) and priorities, listing Nursery_B first gives the best chance to secure it; if rejected, the next best attainable fallback is Nursery_D, then Nursery_A, then Nursery_E, then Nursery_C. The blocking-parent removal in Part 2 never changes my final admission, so there is no strategic gain from misordering to manipulate blocking; truth-telling remains optimal for my outcome.",True,Nursery_A,False,False,3
1,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","Submit the true preference order. Under the Part 1 deferred-acceptance style process, you cannot improve your final match by misreporting: if you rank a less-preferred nursery above a more-preferred one, you risk being held there and missing the chance to apply to the better option. Given priorities, you are 3rd at Nursery_D (behind Parent_D and Parent_E) and last at Nursery_A, so you may be pushed down your list; keeping the true order ensures you always try the best remaining option first. The Part 2 ‘blocking parent’ removals only ever remove options for parents who temporarily held seats they don’t ultimately take, and it is stated this will never change your final admission, so strategic misordering to influence Part 2 cannot help you.",True,Nursery_D,False,False,1
1,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","Submit the true preference order. Under this deferred-acceptance style procedure, misreporting cannot improve your final assignment: ranking a less-preferred nursery higher can only risk getting stuck there (since you might be accepted earlier and never need to apply to the better option), while ranking a more-preferred nursery higher never harms you because you only move down your list if rejected. Given priorities, you are 3rd at Nursery_C (behind Parent_C and Parent_B) but 2nd at Nursery_A and 1st at Nursery_B and Nursery_D; still, the safest strategy to maximize your outcome relative to your true preferences is to list nurseries in your true order.",True,Nursery_B,False,False,3
1,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","Given full information, the best strategy is to submit the true preference order. This procedure is a deferred-acceptance style process where, with strict priorities and one seat per nursery, misreporting cannot get me a better nursery than my best achievable stable assignment, but can cause me to be rejected earlier and end up worse. Under truthful play by others, the Part 1 outcome for me is Nursery_D (I am 2nd priority there and only Parent_C competes for it after being rejected from Nursery_D initially). The Part 2 ‘blocking parent’ removals do not change my final admission, so there is no benefit to manipulating my list to trigger them. Therefore, I should rank nurseries exactly as my true preferences.",True,Nursery_C,False,False,1
2,Parent_A,"['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_B', 'Nursery_E']","Given all agents’ preferences and nurseries’ priorities, the Part 1 procedure is the standard parent-proposing deferred acceptance. In such a mechanism, submitting your true preference order is a dominant strategy: any misreport can only (i) keep you at the same assignment or (ii) risk pushing you to a less-preferred nursery by skipping/reshuffling applications, without creating a path to a more-preferred nursery that you could not already obtain by applying truthfully. With these priorities, Nursery_A ranks you behind Parent_B and Parent_D, and Nursery_C ranks you last, so strategic reordering cannot improve your priority position; the best you can do is apply in true order to ensure you never forgo a chance at a higher-ranked nursery when it is available. Part 2’s blocking-parent removals do not change your final admission, so there is no benefit to manipulating your list for that stage either.",True,Nursery_E,False,False,5
2,Parent_B,"['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","['Nursery_B', 'Nursery_D', 'Nursery_A', 'Nursery_E', 'Nursery_C']","Given the parent-proposing process, ranking a less-preferred nursery higher cannot help you reach a more-preferred final match, because you can only be displaced to lower-ranked options as you get rejected. Your top choice Nursery_B is attainable: in round 1 Parent_A applies to Nursery_A, Parent_C to Nursery_D, Parent_D to Nursery_C, Parent_E to Nursery_C, and you apply to Nursery_B, so you are the only applicant to Nursery_B and are held there. No later applications to Nursery_B come from higher-priority parents who would displace you (Parent_D and Parent_A both secure/keep seats they prefer before ever applying to Nursery_B). The Part 2 blocking-parent removals do not change your final admission, so the best strategy is to submit your true order to ensure you get Nursery_B.",True,Nursery_A,False,False,3
2,Parent_C,"['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_B', 'Nursery_C', 'Nursery_E']","Submit the true preference order. Under this deferred-acceptance style process, ranking a less-preferred nursery higher cannot help you reach a more-preferred one, and may only cause you to lock in earlier at a worse option. Given others’ first choices (A->A, B->B, D/E->C), your first choice Nursery_D is initially uncontested, and you have relatively high priority there (3rd). Keeping Nursery_D first maximizes the chance of getting it. If later displaced (e.g., by Parent_D or Parent_E), listing Nursery_A next is still optimal because it is your next-best option; strategic misordering doesn’t improve your priority at any nursery. The Part 2 “blocking” removal only affects others and is stated not to change your final admission, so truthful ordering is optimal.",True,Nursery_D,False,False,1
2,Parent_D,"['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_C', 'Nursery_A', 'Nursery_B', 'Nursery_E', 'Nursery_D']","Submit the true preference order. Under this deferred-acceptance style procedure (with the later “blocking parent” waiver step that never changes your own final admission), misreporting cannot improve your final match and can only risk losing a higher-ranked option. With your priorities: you are 3rd at Nursery_C (behind Parent_C, Parent_B) but 2nd at Nursery_A and 1st at Nursery_B and Nursery_D. Applying to Nursery_C first gives you the only chance to get your top choice if Parent_C and Parent_B don’t both end up there; if rejected, you then move to Nursery_A where you can beat Parent_A/Parent_E/Parent_C, and if needed you still have strong fallbacks at Nursery_B and Nursery_D. Thus the best strategy is to list nurseries exactly as your true ranking.",True,Nursery_B,False,False,3
2,Parent_E,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","Submit the true order because the procedure is a parent-proposing deferred acceptance variant, which is strategy-proof for parents: misreporting cannot improve Parent_E’s final match. With truthful ranking, Parent_E is rejected by Nursery_C (it prioritizes Parent_C/Parent_B/Parent_D over E) and Nursery_B (it prioritizes Parent_D/Parent_A/Parent_B/Parent_C over E), then is accepted at Nursery_A (where E outranks Parent_C). The later “blocking parent” removals only eliminate schools that a parent temporarily held but did not ultimately take, and the rules state these removals will never change Parent_E’s final admission, so there is no benefit to manipulating the list to affect Part 2.",True,Nursery_C,False,False,1
