Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","Because admissions are final immediately (no later displacement) and every nursery ranks Parent_A highest, Parent_A is guaranteed to be accepted at whichever nursery they apply to in Step 1 (capacity 1). Therefore, to maximize the outcome relative to the true preferences, Parent_A should apply first to their top true choice, Nursery_B. Any misreport (e.g., listing Nursery_A first) would lock in a worse final match unnecessarily.",True,Nursery_B,True,True,1
1,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","Because admissions are final immediately (Boston mechanism), the key is to apply in Step 1 to the best nursery where you can be the top-priority applicant among those who apply there. All nurseries share the same priority order (Parent_A highest, then Parent_B). In Step 1, Parent_A applies to Nursery_B, Parent_C to Nursery_C, Parent_D to Nursery_D, and Parent_E to Nursery_E. If I apply to Nursery_A first, I am the only applicant there in Step 1 and will be permanently admitted. This yields my top true choice and cannot be improved upon, so I should rank Nursery_A first and then list the remaining options in true-preference order as a fallback (though they won’t be reached).",True,Nursery_A,True,True,1
1,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","All nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E) and each has 1 seat with final (non-tentative) admissions. In Step 1, Parent_A gets their first choice Nursery_B, Parent_B gets Nursery_A, Parent_D gets Nursery_D, and Parent_E gets Nursery_E, leaving only Nursery_C unfilled. As Parent_C, if I rank Nursery_C first, I am the only applicant to Nursery_C in Step 1 and get admitted immediately. Any attempt to rank another nursery first would fail because higher-priority parents take those seats in Step 1 and those nurseries become unavailable later, risking a worse outcome or unemployment. Therefore, submitting my true order with Nursery_C first guarantees my top choice.",True,Nursery_C,True,True,1
1,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","Because admissions are final immediately (no later displacement), the key is to apply first to the best nursery where I can actually be the highest-priority applicant among those who apply there in that step. All nurseries share the same priority order (A > B > C > D > E), so I lose any first-round contest against Parents A/B/C. In Step 1, Nursery_D will receive only my application (others’ first choices are B, A, C, E), so I am admitted for sure if I rank Nursery_D first. This is also my top true preference, so no strategic misreport can improve on that guaranteed outcome.",True,Nursery_D,True,True,1
1,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","All nurseries share the same priority order (A > B > C > D > E), so as Parent_E I have the lowest priority everywhere. In Step 1, each nursery that receives any application will permanently admit the highest-priority applicant among them, which will never be me if any other parent applies there. Therefore my only chance is to apply in Step 1 to a nursery that no other parent applies to in Step 1. From others’ first choices: Parent_A->Nursery_B, Parent_B->Nursery_A, Parent_C->Nursery_C, Parent_D->Nursery_D, leaving Nursery_E as the only unclaimed nursery in Step 1. If I rank Nursery_E first, I am the sole applicant and get permanently admitted immediately. Any deviation (not ranking Nursery_E first) leads to certain rejection in Step 1 and then no remaining vacancies later, resulting in unemployment. After securing Nursery_E first, the rest of the list is irrelevant, but I keep it consistent with my true preferences.",True,Nursery_E,True,True,1
2,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","Because admissions are final at each step (an immediate-acceptance mechanism), the best strategy is to apply first to the nursery you most want among those you can realistically secure. All nurseries share the same priority order with Parent_A ranked highest, so if I apply to my top choice Nursery_B in Step 1, I will be permanently admitted there regardless of what others do. Any deviation (e.g., listing Nursery_A first) would risk locking me into a less-preferred placement unnecessarily.",True,Nursery_B,True,True,1
2,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","This is an immediate-acceptance (Boston) mechanism, so getting into a top choice early is crucial because seats filled in Step 1 are gone forever. If I rank Nursery_A first, I am admitted there in Step 1 because Nursery_A’s top priority is Parent_A, but Parent_A applies to Nursery_B first, so among applicants to Nursery_A I am highest priority. That guarantees my #1 true choice. Any deviation (e.g., ranking Nursery_C first) risks losing Nursery_A permanently if another parent applies there in Step 1 and is admitted (Parent_C could do so if they misreport), so the safest and best strategy is to place Nursery_A first and then follow my true order for the remaining options.",True,Nursery_A,True,True,1
2,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_C', 'Nursery_A', 'Nursery_D', 'Nursery_E']","Given the final-admissions (Boston) mechanism and common nursery priorities (A > B > C > D > E at every nursery), Parent_C is behind Parent_A and Parent_B everywhere. In Step 1, Parent_A applies to Nursery_B and is admitted; Parent_B applies to Nursery_A and is admitted; Parent_D applies to Nursery_D and is admitted; Parent_E applies to Nursery_E and is admitted. Nursery_C is the only seat left after Step 1. Therefore, the only way for Parent_C to be matched is to ensure they apply to Nursery_C in Step 2. To reach Step 2, Parent_C must apply in Step 1 to a nursery that will be filled by a higher-priority applicant (so Parent_C is rejected). Any first choice other than Nursery_C accomplishes this, but choosing Nursery_B first is best because it guarantees rejection by Parent_A while keeping Nursery_C available for Step 2, yielding Parent_C's top true option.",False,Nursery_C,True,True,1
2,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","Because admissions are final each step and all nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E), Parent_D cannot beat A/B/C at any nursery if they apply there the same step. In Step 1, Parent_A applies to Nursery_B, Parent_B to Nursery_A, Parent_C to Nursery_C, Parent_E to Nursery_E, leaving Nursery_D as the only first-choice target not taken by a higher-priority applicant. By ranking Nursery_D first, Parent_D is admitted immediately. Any other first choice would be lost to a higher-priority parent and Nursery_D would be filled in Step 1, making it unavailable later.",True,Nursery_D,True,True,1
2,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","Each nursery has identical priorities (Parent_A highest through Parent_E lowest) and one seat, and admissions are final each step. In Step 1, Parent_A gets their first choice Nursery_B, Parent_B gets Nursery_A, Parent_C gets Nursery_C, Parent_D gets Nursery_D, leaving Nursery_E unfilled. In Step 2, the only remaining seat is Nursery_E, and Parent_E can apply to it and be admitted. Any strategy that does not place Nursery_E first risks losing it in Step 2 to a higher-priority parent who was rejected in Step 1 (e.g., Parent_A could apply to Nursery_E as their second choice if rejected at Nursery_B), so ranking Nursery_E first is optimal and achieves your top true choice.",True,Nursery_E,True,True,1
3,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","This is an immediate-acceptance (Boston) mechanism with final admissions each round. Since every nursery ranks Parent_A highest, any nursery I apply to while it still has an open seat will admit me permanently. Therefore I should apply first to my top true choice to lock it in immediately. In Step 1, Nursery_B will receive applications from Parent_A (me) and Parent_C; with common priorities putting me first, I am admitted to Nursery_B and the outcome is final. No strategic misreport can improve on getting my first choice.",True,Nursery_B,True,True,1
3,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_E', 'Nursery_D', 'Nursery_B']","With final admissions each step, the key is to avoid wasting an early application on a nursery that will be permanently taken by a higher-priority parent in Step 1. Parent_A is first priority at every nursery and will apply to Nursery_B first, so Nursery_B will be filled immediately and is unattainable for me. Nursery_A is my top true choice and is attainable because Parent_A applies elsewhere in Step 1; I have higher priority than Parents C/D/E at Nursery_A, so I will be permanently admitted there in Step 1 if I apply. Therefore I should rank Nursery_A first; the remaining order can follow my true preferences among the remaining options.",False,Nursery_A,True,True,1
3,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_D', 'Nursery_E']","Given the final-admissions rule, the key is to avoid wasting early applications on nurseries that will be permanently taken by higher-priority parents in Step 1. Nursery_C will be taken by Parent_B (who ranks it 2nd but applies there in Step 2 after being rejected by Nursery_A), and Nursery_B will be taken by Parent_A in Step 1. The best achievable match for Parent_C is therefore Nursery_A: Parent_B applies to Nursery_A in Step 1 but Nursery_A’s top priority is Parent_A, who applies to Nursery_B, so Nursery_A permanently admits Parent_B, making Nursery_A unavailable afterward. To secure a seat, Parent_C should apply to Nursery_A in Step 1; Nursery_A then admits Parent_C (since Parent_A applies elsewhere and Parent_B applies to Nursery_A only if Parent_B keeps it first, which they do not). This yields the highest feasible outcome under the procedure.",False,Nursery_C,True,True,1
3,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","Because admissions are final immediately and each nursery has capacity 1, the key is to apply first to the best nursery where I can actually be the highest-priority applicant among those who apply there in Step 1. All nurseries share the same priority order (Parent_A > Parent_B > Parent_C > Parent_D > Parent_E). In Step 1, Parent_A applies to Nursery_B, Parent_B to Nursery_A, Parent_C to Nursery_C, Parent_E to Nursery_E. If I apply to my true top (Nursery_D), I am the only applicant there in Step 1 and will be permanently admitted. Any strategy that applies first to Nursery_A/B/C/E would lose to Parent_B/A/C/A respectively and risk ending up unmatched because seats fill permanently. Therefore I should rank Nursery_D first and can list the remaining options in my true preference order as backups (though they will not be needed).",True,Nursery_D,True,True,1
3,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","Because admissions are final each step and all nurseries share the same priority order (Parent_A highest … Parent_E lowest), applying to a popular nursery early is risky: higher-priority parents will take it and it becomes unavailable later. In Step 1, Nursery_E is demanded only by Parent_E (others rank it last), so ranking Nursery_E first guarantees I am the only applicant and will be permanently admitted immediately. Any deviation (e.g., ranking Nursery_B or Nursery_A first) would lead to rejection by higher-priority applicants and could leave Nursery_E already taken by someone else later if they end up applying there after rejections. Therefore, truthful ranking with Nursery_E first is optimal and safe.",True,Nursery_E,True,True,1
4,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","Because admissions are final immediately and every nursery has the same priority order with Parent_A ranked highest, I will be accepted wherever I apply. Therefore, I should apply first to my top true preference to lock it in at Step 1. Submitting my true preference order is optimal and cannot be improved upon by strategic misreporting.",True,Nursery_B,True,True,1
4,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","All nurseries share the same priority order (Parent_A highest, then Parent_B). In Step 1, Parent_A will apply to Nursery_B and be permanently admitted there, and Parent_B cannot displace them anywhere. If Parent_B applies to Nursery_A in Step 1, they will be the top applicant there (since Parent_A is at Nursery_B), so Parent_B is permanently admitted to their top true choice immediately. Any deviation (e.g., not ranking Nursery_A first) risks losing Nursery_A to Parent_D in Step 1 and forces Parent_B into a worse remaining option. Therefore, submit the true preference order with Nursery_A first.",True,Nursery_A,True,True,1
4,Parent_C,"['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","['Nursery_C', 'Nursery_B', 'Nursery_A', 'Nursery_D', 'Nursery_E']","This is an immediate-acceptance (final admissions) procedure, so the key is to avoid “wasting” an early application on a nursery you have no realistic chance to win in that step given others’ first choices and the common priority order (A > B > C > D > E). In Step 1, Parent_B applies to Nursery_A and outranks me there, so listing Nursery_A first would lead to rejection. Nursery_C is safe to list first because only I apply there first (others’ first choices are B, A, D, E), so I will be permanently admitted to my top true choice immediately. Therefore I should submit my true top choice first; the remaining order can follow my true preferences since Step 1 already secures the best achievable outcome.",True,Nursery_C,True,True,1
4,Parent_D,"['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","['Nursery_D', 'Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E']","This procedure is immediate acceptance (final offers each step) with identical nursery priorities (A>B>C>D>E for all). That means the best strategy is to apply as early as possible to the most-preferred nursery where I can actually be the highest-priority applicant among those who will apply there in that step. In Step 1, Nursery_D will receive only my application (others’ first choices are B, A, C, E), so I am admitted immediately and secure my top true choice. Any deviation (e.g., applying to A/C/B first) risks losing that seat to higher-priority parents and then being unable to apply to D later if it fills, so ranking Nursery_D first is optimal; the remaining order can follow my true preferences.",True,Nursery_D,True,True,1
4,Parent_E,"['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","['Nursery_E', 'Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D']","Because admissions are final at each step and every nursery has identical priorities (A > B > C > D > E), the only way for Parent_E to get any nursery is to apply to one that the higher-priority parents (A–D) do not take in Step 1. In Step 1, Parent_A applies to Nursery_B, Parent_B to Nursery_A, Parent_C to Nursery_C, and Parent_D to Nursery_D, so those four nurseries will be filled immediately. Nursery_E will remain available after Step 1. Therefore, ranking Nursery_E first guarantees acceptance in Step 1 and is the best possible outcome given Parent_E's true preferences.",True,Nursery_E,True,True,1
5,Parent_A,"['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","['Nursery_B', 'Nursery_A', 'Nursery_C', 'Nursery_D', 'Nursery_E']","Because admissions are final at each step and every nursery ranks Parent_A highest, I will be accepted immediately wherever I apply first (if it is still available). Therefore, the optimal strategy is to rank my true favorite first to lock it in at Step 1. I most want Nursery_B, so I place it first; the remaining options follow my true preference order as a fallback (though they will not be reached).",True,Nursery_B,True,True,1
5,Parent_B,"['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","['Nursery_A', 'Nursery_C', 'Nursery_B', 'Nursery_E', 'Nursery_D']","Because admissions are final immediately, the key is to avoid applying first to a nursery you cannot win, since that would waste your best chance while other nurseries permanently fill. In Step 1, Parent_A is first priority at every nursery and will apply to Nursery_B, so Nursery_B will be permanently taken by Parent_A. If I apply to Nursery_A first, I will be accepted there in Step 1 (I am second priority and no one with higher priority applies to Nursery_A first). That guarantees my top true choice and avoids the risk of being rejected and facing a reduced set of available nurseries later.",True,Nursery_A,True,True,1
