Trial,Agent,Matched_Partner,Stability,Efficiency
1,Seeker_A,Company_B,False,False
1,Seeker_B,Company_A,False,False
1,Seeker_C,Company_C,False,False
1,Seeker_D,Company_E,False,False
1,Seeker_E,Company_D,False,False
2,Seeker_A,Company_B,False,False
2,Seeker_B,Company_A,False,False
2,Seeker_C,Company_C,False,False
2,Seeker_D,Unmatched,False,False
2,Seeker_E,Company_E,False,False
3,Seeker_A,Company_B,True,True
3,Seeker_B,Company_A,True,True
3,Seeker_C,Company_C,True,True
3,Seeker_D,Company_D,True,True
3,Seeker_E,Company_E,True,True
4,Seeker_A,Company_B,False,False
4,Seeker_B,Company_C,False,False
4,Seeker_C,Unmatched,False,False
4,Seeker_D,Company_D,False,False
4,Seeker_E,Company_E,False,False
5,Seeker_A,Company_B,False,False
5,Seeker_B,Company_A,False,False
5,Seeker_C,Company_C,False,False
5,Seeker_D,Company_E,False,False
5,Seeker_E,Company_D,False,False
6,Seeker_A,Company_A,False,False
6,Seeker_B,Company_B,False,False
6,Seeker_C,Company_C,False,False
6,Seeker_D,Company_D,False,False
6,Seeker_E,Company_E,False,False
7,Seeker_A,Company_B,False,False
7,Seeker_B,Company_C,False,False
7,Seeker_C,Company_D,False,False
7,Seeker_D,Company_E,False,False
7,Seeker_E,Company_A,False,False
8,Seeker_A,Company_A,False,False
8,Seeker_B,Company_C,False,False
8,Seeker_C,Company_E,False,False
8,Seeker_D,Company_D,False,False
8,Seeker_E,Company_B,False,False
9,Seeker_A,Company_C,False,False
9,Seeker_B,Company_A,False,False
9,Seeker_C,Company_B,False,False
9,Seeker_D,Company_D,False,False
9,Seeker_E,Company_E,False,False
10,Seeker_A,Company_B,False,False
10,Seeker_B,Company_C,False,False
10,Seeker_C,Company_A,False,False
10,Seeker_D,Company_D,False,False
10,Seeker_E,Company_E,False,False
11,Seeker_A,Company_E,False,False
11,Seeker_B,Company_B,False,False
11,Seeker_C,Company_C,False,False
11,Seeker_D,Company_D,False,False
11,Seeker_E,Company_A,False,False
12,Seeker_A,Company_A,False,False
12,Seeker_B,Company_D,False,False
12,Seeker_C,Company_B,False,False
12,Seeker_D,Company_E,False,False
12,Seeker_E,Unmatched,False,False
13,Seeker_A,Company_B,True,True
13,Seeker_B,Company_A,True,True
13,Seeker_C,Company_C,True,True
13,Seeker_D,Company_D,True,True
13,Seeker_E,Company_E,True,True
14,Seeker_A,Company_B,False,False
14,Seeker_B,Company_E,False,False
14,Seeker_C,Company_C,False,False
14,Seeker_D,Company_D,False,False
14,Seeker_E,Unmatched,False,False
15,Seeker_A,Company_A,False,False
15,Seeker_B,Company_C,False,False
15,Seeker_C,Company_B,False,False
15,Seeker_D,Company_D,False,False
15,Seeker_E,Unmatched,False,False
16,Seeker_A,Company_B,False,False
16,Seeker_B,Company_A,False,False
16,Seeker_C,Company_C,False,False
16,Seeker_D,Company_D,False,False
16,Seeker_E,Unmatched,False,False
17,Seeker_A,Company_A,False,False
17,Seeker_B,Company_C,False,False
17,Seeker_C,Company_D,False,False
17,Seeker_D,Company_E,False,False
17,Seeker_E,Unmatched,False,False
18,Seeker_A,Company_B,False,False
18,Seeker_B,Company_C,False,False
18,Seeker_C,Company_D,False,False
18,Seeker_D,Company_A,False,False
18,Seeker_E,Unmatched,False,False
19,Seeker_A,Company_A,False,False
19,Seeker_B,Company_C,False,False
19,Seeker_C,Company_B,False,False
19,Seeker_D,Company_D,False,False
19,Seeker_E,Company_E,False,False
20,Seeker_A,Company_C,False,False
20,Seeker_B,Company_A,False,False
20,Seeker_C,Company_B,False,False
20,Seeker_D,Company_D,False,False
20,Seeker_E,Unmatched,False,False
21,Seeker_A,Company_A,False,False
21,Seeker_B,Company_D,False,False
21,Seeker_C,Company_C,False,False
21,Seeker_D,Company_B,False,False
21,Seeker_E,Unmatched,False,False
22,Seeker_A,Company_B,False,False
22,Seeker_B,Company_A,False,False
22,Seeker_C,Company_C,False,False
22,Seeker_D,Unmatched,False,False
22,Seeker_E,Company_E,False,False
23,Seeker_A,Company_B,False,False
23,Seeker_B,Company_A,False,False
23,Seeker_C,Company_C,False,False
23,Seeker_D,Company_E,False,False
23,Seeker_E,Company_D,False,False
24,Seeker_A,Company_A,False,False
24,Seeker_B,Company_C,False,False
24,Seeker_C,Company_D,False,False
24,Seeker_D,Company_B,False,False
24,Seeker_E,Company_E,False,False
25,Seeker_A,Company_B,True,True
25,Seeker_B,Company_A,True,True
25,Seeker_C,Company_C,True,True
25,Seeker_D,Company_D,True,True
25,Seeker_E,Company_E,True,True
26,Seeker_A,Company_A,False,False
26,Seeker_B,Company_B,False,False
26,Seeker_C,Company_C,False,False
26,Seeker_D,Company_D,False,False
26,Seeker_E,Unmatched,False,False
27,Seeker_A,Company_B,False,False
27,Seeker_B,Company_C,False,False
27,Seeker_C,Company_A,False,False
27,Seeker_D,Company_D,False,False
27,Seeker_E,Company_E,False,False
28,Seeker_A,Company_B,False,False
28,Seeker_B,Company_A,False,False
28,Seeker_C,Company_C,False,False
28,Seeker_D,Company_D,False,False
28,Seeker_E,Unmatched,False,False
29,Seeker_A,Company_B,True,True
29,Seeker_B,Company_A,True,True
29,Seeker_C,Company_C,True,True
29,Seeker_D,Company_D,True,True
29,Seeker_E,Company_E,True,True
30,Seeker_A,Company_B,False,False
30,Seeker_B,Company_C,False,False
30,Seeker_C,Company_A,False,False
30,Seeker_D,Company_E,False,False
30,Seeker_E,Company_D,False,False
31,Seeker_A,Company_B,False,False
31,Seeker_B,Company_A,False,False
31,Seeker_C,Company_C,False,False
31,Seeker_D,Company_E,False,False
31,Seeker_E,Company_D,False,False
32,Seeker_A,Company_B,False,False
32,Seeker_B,Company_A,False,False
32,Seeker_C,Company_C,False,False
32,Seeker_D,Company_D,False,False
32,Seeker_E,Unmatched,False,False
33,Seeker_A,Company_A,False,False
33,Seeker_B,Company_B,False,False
33,Seeker_C,Company_C,False,False
33,Seeker_D,Company_D,False,False
33,Seeker_E,Unmatched,False,False
34,Seeker_A,Company_A,False,False
34,Seeker_B,Company_C,False,False
34,Seeker_C,Company_B,False,False
34,Seeker_D,Company_E,False,False
34,Seeker_E,Unmatched,False,False
35,Seeker_A,Company_B,False,False
35,Seeker_B,Company_C,False,False
35,Seeker_C,Company_D,False,False
35,Seeker_D,Unmatched,False,False
35,Seeker_E,Company_E,False,False
36,Seeker_A,Company_C,False,False
36,Seeker_B,Company_A,False,False
36,Seeker_C,Company_B,False,False
36,Seeker_D,Company_D,False,False
36,Seeker_E,Unmatched,False,False
37,Seeker_A,Company_E,False,False
37,Seeker_B,Company_A,False,False
37,Seeker_C,Company_B,False,False
37,Seeker_D,Company_D,False,False
37,Seeker_E,Company_C,False,False
38,Seeker_A,Company_B,False,False
38,Seeker_B,Company_A,False,False
38,Seeker_C,Company_C,False,False
38,Seeker_D,Company_D,False,False
38,Seeker_E,Unmatched,False,False
39,Seeker_A,Company_B,False,False
39,Seeker_B,Company_E,False,False
39,Seeker_C,Company_C,False,False
39,Seeker_D,Company_D,False,False
39,Seeker_E,Unmatched,False,False
40,Seeker_A,Company_B,False,False
40,Seeker_B,Company_A,False,False
40,Seeker_C,Company_C,False,False
40,Seeker_D,Company_D,False,False
40,Seeker_E,Unmatched,False,False
41,Seeker_A,Company_B,False,False
41,Seeker_B,Company_C,False,False
41,Seeker_C,Company_A,False,False
41,Seeker_D,Company_D,False,False
41,Seeker_E,Unmatched,False,False
42,Seeker_A,Company_B,True,True
42,Seeker_B,Company_A,True,True
42,Seeker_C,Company_C,True,True
42,Seeker_D,Company_D,True,True
42,Seeker_E,Company_E,True,True
43,Seeker_A,Company_C,False,False
43,Seeker_B,Company_A,False,False
43,Seeker_C,Unmatched,False,False
43,Seeker_D,Company_D,False,False
43,Seeker_E,Company_E,False,False
44,Seeker_A,Company_B,False,False
44,Seeker_B,Company_C,False,False
44,Seeker_C,Company_D,False,False
44,Seeker_D,Unmatched,False,False
44,Seeker_E,Company_E,False,False
45,Seeker_A,Company_B,False,False
45,Seeker_B,Company_C,False,False
45,Seeker_C,Company_A,False,False
45,Seeker_D,Company_D,False,False
45,Seeker_E,Unmatched,False,False
46,Seeker_A,Company_B,False,False
46,Seeker_B,Company_D,False,False
46,Seeker_C,Company_C,False,False
46,Seeker_D,Unmatched,False,False
46,Seeker_E,Company_E,False,False
47,Seeker_A,Company_B,False,False
47,Seeker_B,Company_A,False,False
47,Seeker_C,Company_E,False,False
47,Seeker_D,Company_D,False,False
47,Seeker_E,Company_C,False,False
48,Seeker_A,Company_A,False,False
48,Seeker_B,Company_B,False,False
48,Seeker_C,Company_C,False,False
48,Seeker_D,Company_D,False,False
48,Seeker_E,Unmatched,False,False
49,Seeker_A,Company_B,False,False
49,Seeker_B,Company_A,False,False
49,Seeker_C,Company_C,False,False
49,Seeker_D,Company_E,False,False
49,Seeker_E,Company_D,False,False
50,Seeker_A,Company_A,False,False
50,Seeker_B,Company_C,False,False
50,Seeker_C,Company_B,False,False
50,Seeker_D,Company_E,False,False
50,Seeker_E,Unmatched,False,False
51,Seeker_A,Company_C,False,False
51,Seeker_B,Company_B,False,False
51,Seeker_C,Company_A,False,False
51,Seeker_D,Unmatched,False,False
51,Seeker_E,Company_E,False,False
52,Seeker_A,Company_B,False,False
52,Seeker_B,Company_C,False,False
52,Seeker_C,Company_A,False,False
52,Seeker_D,Company_E,False,False
52,Seeker_E,Company_D,False,False
53,Seeker_A,Company_A,False,False
53,Seeker_B,Company_B,False,False
53,Seeker_C,Company_C,False,False
53,Seeker_D,Company_E,False,False
53,Seeker_E,Unmatched,False,False
54,Seeker_A,Company_B,False,False
54,Seeker_B,Company_C,False,False
54,Seeker_C,Company_D,False,False
54,Seeker_D,Company_E,False,False
54,Seeker_E,Unmatched,False,False
55,Seeker_A,Company_B,False,False
55,Seeker_B,Company_C,False,False
55,Seeker_C,Company_A,False,False
55,Seeker_D,Company_D,False,False
55,Seeker_E,Company_E,False,False
56,Seeker_A,Company_A,False,False
56,Seeker_B,Company_C,False,False
56,Seeker_C,Company_B,False,False
56,Seeker_D,Company_D,False,False
56,Seeker_E,Unmatched,False,False
57,Seeker_A,Company_B,False,False
57,Seeker_B,Company_C,False,False
57,Seeker_C,Company_A,False,False
57,Seeker_D,Company_D,False,False
57,Seeker_E,Company_E,False,False
58,Seeker_A,Company_B,False,False
58,Seeker_B,Company_A,False,False
58,Seeker_C,Company_E,False,False
58,Seeker_D,Company_D,False,False
58,Seeker_E,Company_C,False,False
59,Seeker_A,Company_A,False,False
59,Seeker_B,Company_E,False,False
59,Seeker_C,Company_C,False,False
59,Seeker_D,Company_D,False,False
59,Seeker_E,Unmatched,False,False
60,Seeker_A,Company_B,True,True
60,Seeker_B,Company_A,True,True
60,Seeker_C,Company_C,True,True
60,Seeker_D,Company_D,True,True
60,Seeker_E,Company_E,True,True
61,Seeker_A,Company_A,False,False
61,Seeker_B,Company_E,False,False
61,Seeker_C,Company_C,False,False
61,Seeker_D,Company_D,False,False
