Trial,Agent,Matched_Partner,Stability,Efficiency
1,Parent_A,Nursery_B,True,True
1,Parent_B,Nursery_A,True,True
1,Parent_C,Nursery_C,True,True
1,Parent_D,Nursery_D,True,True
1,Parent_E,Nursery_E,True,True
2,Parent_A,Nursery_B,True,True
2,Parent_B,Nursery_A,True,True
2,Parent_C,Nursery_C,True,True
2,Parent_D,Nursery_D,True,True
2,Parent_E,Nursery_E,True,True
3,Parent_A,Nursery_B,False,False
3,Parent_B,Nursery_A,False,False
3,Parent_C,Nursery_D,False,False
3,Parent_D,Nursery_C,False,False
3,Parent_E,Nursery_E,False,False
4,Parent_A,Nursery_B,False,False
4,Parent_B,Nursery_A,False,False
4,Parent_C,Nursery_E,False,False
4,Parent_D,Nursery_D,False,False
4,Parent_E,Nursery_C,False,False
5,Parent_A,Nursery_B,True,True
5,Parent_B,Nursery_A,True,True
5,Parent_C,Nursery_C,True,True
5,Parent_D,Nursery_D,True,True
5,Parent_E,Nursery_E,True,True
6,Parent_A,Nursery_B,False,False
6,Parent_B,Nursery_A,False,False
6,Parent_C,Nursery_E,False,False
6,Parent_D,Nursery_D,False,False
6,Parent_E,Nursery_C,False,False
7,Parent_A,Nursery_B,False,False
7,Parent_B,Nursery_A,False,False
7,Parent_C,Nursery_E,False,False
7,Parent_D,Nursery_D,False,False
7,Parent_E,Nursery_C,False,False
8,Parent_A,Nursery_B,False,False
8,Parent_B,Nursery_A,False,False
8,Parent_C,Nursery_D,False,False
8,Parent_D,Nursery_C,False,False
8,Parent_E,Nursery_E,False,False
9,Parent_A,Nursery_B,True,True
9,Parent_B,Nursery_A,True,True
9,Parent_C,Nursery_C,True,True
9,Parent_D,Nursery_D,True,True
9,Parent_E,Nursery_E,True,True
10,Parent_A,Nursery_B,False,False
10,Parent_B,Nursery_C,False,False
10,Parent_C,Nursery_D,False,False
10,Parent_D,Nursery_E,False,False
10,Parent_E,Unmatched,False,False
11,Parent_A,Nursery_B,True,True
11,Parent_B,Nursery_A,True,True
11,Parent_C,Nursery_C,True,True
11,Parent_D,Nursery_D,True,True
11,Parent_E,Nursery_E,True,True
12,Parent_A,Nursery_B,False,False
12,Parent_B,Nursery_E,False,False
12,Parent_C,Nursery_C,False,False
12,Parent_D,Nursery_D,False,False
12,Parent_E,Nursery_A,False,False
13,Parent_A,Nursery_B,False,False
13,Parent_B,Nursery_A,False,False
13,Parent_C,Nursery_E,False,False
13,Parent_D,Nursery_D,False,False
13,Parent_E,Nursery_C,False,False
14,Parent_A,Nursery_B,True,True
14,Parent_B,Nursery_A,True,True
14,Parent_C,Nursery_C,True,True
14,Parent_D,Nursery_D,True,True
14,Parent_E,Nursery_E,True,True
15,Parent_A,Nursery_B,False,False
15,Parent_B,Nursery_A,False,False
15,Parent_C,Nursery_E,False,False
15,Parent_D,Nursery_C,False,False
15,Parent_E,Nursery_D,False,False
16,Parent_A,Nursery_B,False,False
16,Parent_B,Nursery_A,False,False
16,Parent_C,Nursery_E,False,False
16,Parent_D,Nursery_D,False,False
16,Parent_E,Nursery_C,False,False
17,Parent_A,Nursery_B,True,True
17,Parent_B,Nursery_A,True,True
17,Parent_C,Nursery_C,True,True
17,Parent_D,Nursery_D,True,True
17,Parent_E,Nursery_E,True,True
18,Parent_A,Nursery_B,True,True
18,Parent_B,Nursery_A,True,True
18,Parent_C,Nursery_C,True,True
18,Parent_D,Nursery_D,True,True
18,Parent_E,Nursery_E,True,True
19,Parent_A,Nursery_B,False,False
19,Parent_B,Nursery_A,False,False
19,Parent_C,Nursery_E,False,False
