Trial,Agent,Matched_Partner,Stability,Efficiency
1,Seeker_A,Company_A,False,False
1,Seeker_B,Company_E,False,False
1,Seeker_C,Company_C,False,False
1,Seeker_D,Company_D,False,False
1,Seeker_E,Company_B,False,False
1,Seeker_F,Company_B,False,False
1,Seeker_G,Company_A,False,False
1,Seeker_H,Company_C,False,False
2,Seeker_A,Company_B,False,False
2,Seeker_B,Company_B,False,False
2,Seeker_C,Company_C,False,False
2,Seeker_D,Company_C,False,False
2,Seeker_E,Company_E,False,False
2,Seeker_F,Company_A,False,False
2,Seeker_G,Company_A,False,False
2,Seeker_H,Company_D,False,False
