ID,day,school,gender,male,eduYear,fLitComp,fLitBorr,fLitInfl,fLitDebt,fLitLoan,fLitDive,fLitFore,fLitLiqu,fLitInsu,fLitHrhr,fLitCompScore,fLitBorrScore,fLitInflScore,fLitDebtScore,fLitLoanScore,fLitDiveScore,fLitForeScore,fLitLiquScore,fLitInsuScore,fLitHrhrScore,score03,expScore03,overconfScore03,score10,expScore10,overconfScore10,fBehInve,fBehInfo,fBehInsu,fBehGameChgRank,fBehGameChgAmou,prefDiscNowS,prefDisc1MoS,prefDiscNowL,prefDisc1MoL,prefRiskAver,prefLossAver,gChgRsnSale,gChgRsnComp,gChgRsnEnjo,gChgRsnSpee,gChgRsnComf,gChgRsnLimi,gChgRsnChar,gChgRsnSupp
1001,20181203,20181203,2,0,10,2,2,3,4,1,1,3,1,3,1,0,1,1,0,1,1,1,1,0,1,2,,,7,3,-4,1,1,1,0,0,,,0,0,1,1,,,,,,,,
1002,20181203,20181203,2,0,10,1,2,4,5,3,1,3,4,2,1,1,1,0,0,0,1,1,0,1,1,3,,,6,5,-1,0,0,0,0,0,,,1,1,1,1,,,,,,,,
1003,20181203,20181203,2,0,10,1,2,1,5,2,3,3,4,1,1,1,1,0,0,0,0,1,0,0,1,2,,,4,3,-1,0,0,0,0,0,,,0,0,1,0,,,,,,,,
1004,20181203,20181203,2,0,10,1,1,4,1,2,1,3,2,1,1,1,0,0,0,0,1,1,0,0,1,3,,,4,4,0,1,1,1,0,0,,,0,0,1,1,,,,,,,,
1005,20181203,20181203,2,0,10,1,2,1,3,2,1,3,1,1,1,1,1,0,1,0,1,1,1,0,1,3,,,7,4,-3,1,0,1,0,0,,,1,0,1,0,,,,,,,,
1006,20181203,20181203,1,1,10,1,2,3,1,2,1,1,2,1,1,1,1,1,0,0,1,0,0,0,1,3,,,5,5,0,1,0,0,0,0,,,1,1,1,1,,,,,,,,
1007,20181203,20181203,2,0,10,3,2,3,1,2,2,3,2,2,1,0,1,1,0,0,0,1,0,1,1,1,,,5,2,-3,2,0,-1,2,750,,,0,0,1,0,,,,,,,,
1008,20181203,20181203,2,0,10,2,1,2,4,1,1,3,1,2,1,0,0,0,0,1,1,1,1,1,1,2,,,6,3,-3,0,0,1,0,0,,,0,0,1,1,,,,,,,,
1009,20181203,20181203,1,1,10,2,2,4,5,2,1,3,4,1,1,0,1,0,0,0,1,1,0,0,1,2,,,4,2,-2,2,1,0,0,0,,,0,0,1,1,,,,,,,,
1010,20181203,20181203,2,0,10,1,2,4,5,3,3,4,4,4,4,1,1,0,0,0,0,0,0,0,0,1,,,2,1,-1,0,0,0,0,0,,,1,1,1,1,,,,,,,,
