Trial,Agent,Matched_Partner,Stability,Efficiency
1,Seeker_A,Company_E,False,False
1,Seeker_B,Company_C,False,False
1,Seeker_C,Company_D,False,False
1,Seeker_D,Company_A,False,False
1,Seeker_E,Company_B,False,False
1,Seeker_F,Unmatched,False,False
1,Seeker_G,Unmatched,False,False
1,Seeker_H,Unmatched,False,False
2,Seeker_A,Company_C,False,False
2,Seeker_B,Unmatched,False,False
2,Seeker_C,Company_B,False,False
2,Seeker_D,Company_E,False,False
2,Seeker_E,Company_D,False,False
2,Seeker_F,Company_A,False,False
2,Seeker_G,Unmatched,False,False
2,Seeker_H,Unmatched,False,False
